"Industry";"region.that.adds";"Region";"RD";"RD.added";"full";"share.from.full";"binary";"share.from.bin";"pc";"sum.from";"sum.to";"thmax";"thmaxpc";"expected";"untapped";"link.rca";"name";"parent";"reg";"dutch.reg";"id";"untapped.com";"value"
"Life sciences - Biotechnology";"ITF6";"NL32";78,54;9,66;0;0;0;0;0;258;8;133;0,0036;0,7094;-0,7094;0;"Calabria";"Sleuteltechnologieen";"NL32";"west";"ITF6";79,0262;79,0262
"Life sciences - Biotechnology";"UKM5";"NL32";78,54;5,66;0;0;0;0;0;258;85;171,5;0,0046;0,9148;-0,9148;0;"North Eastern Scotland";"Sleuteltechnologieen";"NL32";"west";"UKM5";55,4307;55,4307
"Life sciences - Biotechnology";"UKK2";"NL32";78,54;3,66;0;0;0;0;0;258;12;135;0,0036;0,7201;-0,7201;0;"Dorset and Somerset";"Sleuteltechnologieen";"NL32";"west";"UKK2";48,0649;48,0649
"Life sciences - Biotechnology";"DE40";"NL32";78,54;6,98;0;0;0;0;0;258;193;225,5;0,0061;1,203;-1,203;0;"Brandenburg";"Sleuteltechnologieen";"NL32";"west";"DE40";63,6704;63,6704
"Life sciences - Biotechnology";"NL13";"NL32";78,54;11,41;1;0,1065;1;0,3876;0,0051;258;22;140;0,0038;0,7468;0,2532;1,3391;"Drenthe";"Sleuteltechnologieen";"NL32";"west";"NL13";55,9301;55,9301
"Life sciences - Biotechnology";"DEB3";"NL32";78,54;8,44;2;0,213;1;0,3876;0,0051;258;515;386,5;0,0104;2,0619;-1,0619;0,485;"Rheinhessen-Pfalz";"Sleuteltechnologieen";"NL32";"west";"DEB3";40,6991;40,6991
"Life sciences - Biotechnology";"BE21";"NL32";78,54;9,02;2;0,213;1;0,3876;0,0051;258;212;235;0,0063;1,2536;-0,2536;0,7977;"Prov. Antwerpen";"Sleuteltechnologieen";"NL32";"west";"BE21";45,3184;45,3184
"Life sciences - Biotechnology";"ES13";"NL32";78,54;3,12;0;0;0;0;0;258;1;129,5;0,0035;0,6909;-0,6909;0;"Cantabria";"Sleuteltechnologieen";"NL32";"west";"ES13";45,8177;45,8177
"Life sciences - Biotechnology";"ES30";"NL32";78,54;5,02;2;0,213;2;0,7752;0,0101;258;254;256;0,0069;1,3657;0,6343;1,4644;"Comunidad de Madrid";"Sleuteltechnologieen";"NL32";"west";"ES30";17,2285;17,2285
"Life sciences - Biotechnology";"PL34";"NL32";78,54;5,76;0;0;0;0;0;13;258;135,5;0,0037;0,7229;-0,7229;0;"Podlaskie";"Sleuteltechnologieen";"NL32";"west";"PL34";55,9301;55,9301
