"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"Regeneratieve geneeskunde","DE30","NL32",53.44,27.87,0,0,0,0,0,23,129,76,0.0113,0.4592,-0.4592,0,"Berlin","Gezondheid","NL32","west","DE30",86.3843,86.3843
"Regeneratieve geneeskunde","DEA3","NL32",53.44,11.15,0,0,0,0,0,23,25,24,0.0036,0.145,-0.145,0,"Münster","Gezondheid","NL32","west","DEA3",44.4781,44.4781
"Regeneratieve geneeskunde","CH02","NL32",53.44,6.89,0,0,0,0,0,23,35,29,0.0043,0.1752,-0.1752,0,"Espace Mittelland","Gezondheid","NL32","west","CH02",39.3343,39.3343
"Regeneratieve geneeskunde","DEB2","NL32",53.44,3.5,0,0,0,0,0,23,6,14.5,0.0022,0.0876,-0.0876,0,"Trier","Gezondheid","NL32","west","DEB2",32.829,32.829
"Regeneratieve geneeskunde","AT13","NL32",53.44,34.21,0,0,0,0,0,88,23,55.5,0.0083,0.3353,-0.3353,0,"Wien","Gezondheid","NL32","west","AT13",96.6717,96.6717
"Regeneratieve geneeskunde","DE14","NL32",53.44,17.81,0,0,0,0,0,23,217,120,0.0179,0.725,-0.725,0,"Tübingen","Gezondheid","NL32","west","DE14",62.3298,62.3298
"Regeneratieve geneeskunde","DEE0","NL32",53.44,17.27,0,0,0,0,0,23,10,16.5,0.0025,0.0997,-0.0997,0,"Sachsen-Anhalt","Gezondheid","NL32","west","DEE0",60.5144,60.5144
"Regeneratieve geneeskunde","DE93","NL32",53.44,24.81,0,0,0,0,0,23,6,14.5,0.0022,0.0876,-0.0876,0,"Lüneburg","Gezondheid","NL32","west","DE93",80.0303,80.0303
"Regeneratieve geneeskunde","UKM5","NL32",53.44,7.87,0,0,0,0,0,23,4,13.5,0.002,0.0816,-0.0816,0,"North Eastern Scotland","Gezondheid","NL32","west","UKM5",40.0908,40.0908
"Regeneratieve geneeskunde","DEF0","NL32",53.44,28.52,0,0,0,0,0,23,41,32,0.0048,0.1934,-0.1934,0,"Schleswig-Holstein","Gezondheid","NL32","west","DEF0",88.0484,88.0484
"Regeneratieve geneeskunde","ITF6","NL32",53.44,17.27,0,0,0,0,0,23,0,11.5,0.0017,0.0695,-0.0695,0,"Calabria","Gezondheid","NL32","west","ITF6",60.5144,60.5144
"Regeneratieve geneeskunde","AT11","NL32",53.44,12.9,0,0,0,0,0,23,1,12,0.0018,0.0725,-0.0725,0,"Burgenland (AT)","Gezondheid","NL32","west","AT11",49.3192,49.3192
"Regeneratieve geneeskunde","DE21","NL32",53.44,10.71,0,0,0,0,0,23,218,120.5,0.0179,0.728,-0.728,0,"Oberbayern","Gezondheid","NL32","west","DE21",43.1165,43.1165
"Regeneratieve geneeskunde","DEB3","NL32",53.44,21.31,0,0,0,0,0,23,69,46,0.0068,0.2779,-0.2779,0,"Rheinhessen-Pfalz","Gezondheid","NL32","west","DEB3",71.1044,71.1044
"Regeneratieve geneeskunde","ITG1","NL32",53.44,29.84,0,0,0,0,0,23,3,13,0.0019,0.0786,-0.0786,0,"Sicilia","Gezondheid","NL32","west","ITG1",90.1664,90.1664
"Regeneratieve geneeskunde","AT21","NL32",53.44,2.73,0,0,0,0,0,23,3,13,0.0019,0.0786,-0.0786,0,"Kärnten","Gezondheid","NL32","west","AT21",32.2239,32.2239
"Regeneratieve geneeskunde","AT32","NL32",53.44,23.93,0,0,0,0,0,23,10,16.5,0.0025,0.0997,-0.0997,0,"Salzburg","Gezondheid","NL32","west","AT32",78.2148,78.2148
"Regeneratieve geneeskunde","FI1B","NL32",53.44,4.37,0,0,0,0,0,23,30,26.5,0.0039,0.1601,-0.1601,0,"Helsinki-Uusimaa","Gezondheid","NL32","west","FI1B",34.3419,34.3419
"Regeneratieve geneeskunde","UKJ1","NL32",53.44,32.13,0,0,0,0,0,23,139,81,0.0121,0.4894,-0.4894,0,"Berkshire, Buckinghamshire and Oxfordshire","Gezondheid","NL32","west","UKJ1",93.3434,93.3434
"Regeneratieve geneeskunde","NL21","NL32",53.44,28.31,0,0,0,0,0,23,6,14.5,0.0022,0.0876,-0.0876,0,"Overijssel","Gezondheid","NL32","west","NL21",87.4433,87.4433
"Regeneratieve geneeskunde","BE24","NL32",53.44,30.6,0,0,0,0,0,23,63,43,0.0064,0.2598,-0.2598,0,"Prov. Vlaams-Brabant","Gezondheid","NL32","west","BE24",92.4357,92.4357
"Regeneratieve geneeskunde","FR52","NL32",53.44,10.38,0,0,0,0,0,23,24,23.5,0.0035,0.142,-0.142,0,"Bretagne","Gezondheid","NL32","west","FR52",41.9062,41.9062
"Regeneratieve geneeskunde","BE21","NL32",53.44,14.43,0,0,0,0,0,23,25,24,0.0036,0.145,-0.145,0,"Prov. Antwerpen","Gezondheid","NL32","west","BE21",52.4962,52.4962
