"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"Cybersecurity","UKC1","NL33",12.55,5.3,0,0,0,0,0,45,2,23.5,0.0019,0.1397,-0.1397,0,"Tees Valley and Durham","Veiligheid","NL33","west","UKC1",42.5068,42.5068
"Cybersecurity","SK04","NL33",12.55,16.3,0,0,0,0,0,45,1,23,0.0019,0.1367,-0.1367,0,"Východné Slovensko","Veiligheid","NL33","west","SK04",69.7548,69.7548
"Cybersecurity","AT21","NL33",12.55,16.46,0,0,0,0,0,45,17,31,0.0025,0.1843,-0.1843,0,"Kärnten","Veiligheid","NL33","west","AT21",70.0272,70.0272
"Cybersecurity","RO12","NL33",12.55,46.37,0,0,0,0,0,45,5,25,0.002,0.1486,-0.1486,0,"Centru","Veiligheid","NL33","west","RO12",88.8283,88.8283
"Cybersecurity","CZ02","NL33",12.55,47.6,0,0,0,0,0,48,45,46.5,0.0038,0.2764,-0.2764,0,"Střední Čechy","Veiligheid","NL33","west","CZ02",89.1008,89.1008
"Cybersecurity","UKF1","NL33",12.55,5.22,0,0,0,0,0,17,45,31,0.0025,0.1843,-0.1843,0,"Derbyshire and Nottinghamshire","Veiligheid","NL33","west","UKF1",41.5531,41.5531
"Cybersecurity","DK02","NL33",12.55,10.19,0,0,0,0,0,45,1,23,0.0019,0.1367,-0.1367,0,"Sjælland","Veiligheid","NL33","west","DK02",58.4469,58.4469
"Cybersecurity","NO06","NL33",12.55,60.64,0,0,0,0,0,45,13,29,0.0024,0.1724,-0.1724,0,"Trøndelag","Veiligheid","NL33","west","NO06",96.1853,96.1853
"Cybersecurity","UKM3","NL33",12.55,16.71,0,0,0,0,0,45,3,24,0.002,0.1427,-0.1427,0,"South Western Scotland","Veiligheid","NL33","west","UKM3",70.7084,70.7084
"Cybersecurity","ITI4","NL33",12.55,39.53,0,0,0,0,0,45,46,45.5,0.0037,0.2705,-0.2705,0,"Lazio","Veiligheid","NL33","west","ITI4",86.1035,86.1035
"Cybersecurity","PT11","NL33",12.55,28.69,0,0,0,0,0,45,12,28.5,0.0023,0.1694,-0.1694,0,"Norte","Veiligheid","NL33","west","PT11",77.6567,77.6567
"Cybersecurity","BE32","NL33",12.55,4.56,0,0,0,0,0,45,8,26.5,0.0022,0.1575,-0.1575,0,"Prov. Hainaut","Veiligheid","NL33","west","BE32",40.1907,40.1907
"Cybersecurity","RO11","NL33",12.55,47.68,0,0,0,0,0,45,4,24.5,0.002,0.1457,-0.1457,0,"Nord-Vest","Veiligheid","NL33","west","RO11",89.5095,89.5095
"Cybersecurity","HU31","NL33",12.55,50.77,0,0,0,0,0,45,11,28,0.0023,0.1664,-0.1664,0,"Észak-Magyarország","Veiligheid","NL33","west","HU31",91.4169,91.4169
"Cybersecurity","BE34","NL33",12.55,8.48,0,0,0,0,0,45,1,23,0.0019,0.1367,-0.1367,0,"Prov. Luxembourg (BE)","Veiligheid","NL33","west","BE34",52.4523,52.4523
"Cybersecurity","DEA3","NL33",12.55,7.09,0,0,0,0,0,45,25,35,0.0029,0.208,-0.208,0,"Münster","Veiligheid","NL33","west","DEA3",49.0463,49.0463
"Cybersecurity","BE24","NL33",12.55,18.5,2,1.8868,2,4.4444,0.0275,45,63,54,0.0044,0.321,1.679,6.2304,"Prov. Vlaams-Brabant","Veiligheid","NL33","west","BE24",38.1471,38.1471
"Cybersecurity","DE71","NL33",12.55,35.45,0,0,0,0,0,244,45,144.5,0.0118,0.8589,-0.8589,0,"Darmstadt","Veiligheid","NL33","west","DE71",83.7875,83.7875
"Cybersecurity","AT11","NL33",12.55,6.6,0,0,0,0,0,45,0,22.5,0.0018,0.1337,-0.1337,0,"Burgenland (AT)","Veiligheid","NL33","west","AT11",47.2752,47.2752
"Cybersecurity","DE22","NL33",12.55,12.96,0,0,0,0,0,45,30,37.5,0.0031,0.2229,-0.2229,0,"Niederbayern","Veiligheid","NL33","west","DE22",63.4877,63.4877
"Cybersecurity","FI1C","NL33",12.55,5.7,0,0,0,0,0,45,51,48,0.0039,0.2853,-0.2853,0,"Etelä-Suomi","Veiligheid","NL33","west","FI1C",44.2779,44.2779
"Cybersecurity","DE23","NL33",12.55,22.9,0,0,0,0,0,107,45,76,0.0062,0.4518,-0.4518,0,"Oberpfalz","Veiligheid","NL33","west","DE23",74.6594,74.6594
"Cybersecurity","DEE0","NL33",12.55,15.81,0,0,0,0,0,13,45,29,0.0024,0.1724,-0.1724,0,"Sachsen-Anhalt","Veiligheid","NL33","west","DEE0",68.5286,68.5286
"Cybersecurity","UKM6","NL33",12.55,12.47,0,0,0,0,0,45,7,26,0.0021,0.1545,-0.1545,0,"Highlands and Islands","Veiligheid","NL33","west","UKM6",63.079,63.079
"Cybersecurity","DED4","NL33",12.55,15.08,0,0,0,0,0,45,13,29,0.0024,0.1724,-0.1724,0,"Chemnitz","Veiligheid","NL33","west","DED4",67.8474,67.8474
"Cybersecurity","ITC3","NL33",12.55,53.63,0,0,0,0,0,45,6,25.5,0.0021,0.1515,-0.1515,0,"Liguria","Veiligheid","NL33","west","ITC3",92.0981,92.0981
"Cybersecurity","UKM2","NL33",12.55,22.49,0,0,0,0,0,45,17,31,0.0025,0.1843,-0.1843,0,"Eastern Scotland","Veiligheid","NL33","west","UKM2",74.1144,74.1144
"Cybersecurity","ITG1","NL33",12.55,57.78,0,0,0,0,0,45,43,44,0.0036,0.2615,-0.2615,0,"Sicilia","Veiligheid","NL33","west","ITG1",92.9155,92.9155
"Cybersecurity","UKK2","NL33",12.55,8.96,0,0,0,0,0,45,8,26.5,0.0022,0.1575,-0.1575,0,"Dorset and Somerset","Veiligheid","NL33","west","UKK2",55.0409,55.0409
"Cybersecurity","EL43","NL33",12.55,7.01,0,0,0,0,0,45,3,24,0.002,0.1427,-0.1427,0,"Kriti","Veiligheid","NL33","west","EL43",48.5014,48.5014
"Cybersecurity","HU21","NL33",12.55,25.51,0,0,0,0,0,45,2,23.5,0.0019,0.1397,-0.1397,0,"Közép-Dunántúl","Veiligheid","NL33","west","HU21",75.4768,75.4768
"Cybersecurity","FR26","NL33",12.55,5.79,0,0,0,0,0,4,45,24.5,0.002,0.1457,-0.1457,0,"Bourgogne","Veiligheid","NL33","west","FR26",44.8229,44.8229
"Cybersecurity","BE22","NL33",12.55,13.45,0,0,0,0,0,45,8,26.5,0.0022,0.1575,-0.1575,0,"Prov. Limburg (BE)","Veiligheid","NL33","west","BE22",64.5777,64.5777
"Cybersecurity","FR71","NL33",12.55,27.3,0,0,0,0,0,160,45,102.5,0.0084,0.6093,-0.6093,0,"Rhône-Alpes","Veiligheid","NL33","west","FR71",76.2943,76.2943
"Cybersecurity","CZ05","NL33",12.55,13.45,0,0,0,0,0,45,8,26.5,0.0022,0.1575,-0.1575,0,"Severovýchod","Veiligheid","NL33","west","CZ05",64.5777,64.5777
"Cybersecurity","RO22","NL33",12.55,50.77,0,0,0,0,0,45,7,26,0.0021,0.1545,-0.1545,0,"Sud-Est","Veiligheid","NL33","west","RO22",91.4169,91.4169
"Cybersecurity","PL63","NL33",12.55,43.68,0,0,0,0,0,45,7,26,0.0021,0.1545,-0.1545,0,"Pomorskie","Veiligheid","NL33","west","PL63",87.7384,87.7384
"Cybersecurity","FR51","NL33",12.55,9.21,0,0,0,0,0,45,16,30.5,0.0025,0.1813,-0.1813,0,"Pays de la Loire","Veiligheid","NL33","west","FR51",55.9946,55.9946
"Cybersecurity","DE26","NL33",12.55,7.82,0,0,0,0,0,14,45,29.5,0.0024,0.1754,-0.1754,0,"Unterfranken","Veiligheid","NL33","west","DE26",50.2725,50.2725
"Cybersecurity","DE91","NL33",12.55,61.53,0,0,0,0,0,99,45,72,0.0059,0.428,-0.428,0,"Braunschweig","Veiligheid","NL33","west","DE91",96.7302,96.7302
"Cybersecurity","IE01","NL33",12.55,34.8,0,0,0,0,0,45,6,25.5,0.0021,0.1515,-0.1515,0,"Border, Midland and Western","Veiligheid","NL33","west","IE01",83.3787,83.3787
"Cybersecurity","DE80","NL33",12.55,4.16,0,0,0,0,0,45,11,28,0.0023,0.1664,-0.1664,0,"Mecklenburg-Vorpommern","Veiligheid","NL33","west","DE80",38.1471,38.1471
"Cybersecurity","ES24","NL33",12.55,6.36,0,0,0,0,0,45,1,23,0.0019,0.1367,-0.1367,0,"Aragón","Veiligheid","NL33","west","ES24",46.4578,46.4578
"Cybersecurity","DK05","NL33",12.55,34.15,0,0,0,0,0,11,45,28,0.0023,0.1664,-0.1664,0,"Nordjylland","Veiligheid","NL33","west","DK05",82.8338,82.8338
"Cybersecurity","FR62","NL33",12.55,10.35,0,0,0,0,0,45,48,46.5,0.0038,0.2764,-0.2764,0,"Midi-Pyrénées","Veiligheid","NL33","west","FR62",58.8556,58.8556
"Cybersecurity","FI1D","NL33",12.55,54.6,0,0,0,0,0,45,35,40,0.0033,0.2377,-0.2377,0,"Pohjois- ja Itä-Suomi","Veiligheid","NL33","west","FI1D",92.3706,92.3706
"Cybersecurity","HU32","NL33",12.55,26.57,0,0,0,0,0,45,2,23.5,0.0019,0.1397,-0.1397,0,"Észak-Alföld","Veiligheid","NL33","west","HU32",75.7493,75.7493
