"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"Engineering Fabrication - Additive manufacturing","SK02","NL33",31.44,24.64,0,0,0,0,0,38,3,20.5,0.0031,0.1287,-0.1287,0,"Západné Slovensko","Sleuteltechnologieen","NL33","west","SK02",74.7368,74.7368
"Engineering Fabrication - Additive manufacturing","NO06","NL33",31.44,12.91,0,0,0,0,0,38,1,19.5,0.003,0.1224,-0.1224,0,"Trøndelag","Sleuteltechnologieen","NL33","west","NO06",50.3759,50.3759
"Engineering Fabrication - Additive manufacturing","FR21","NL33",31.44,29.63,0,0,0,0,0,38,1,19.5,0.003,0.1224,-0.1224,0,"Champagne-Ardenne","Sleuteltechnologieen","NL33","west","FR21",86.3158,86.3158
"Engineering Fabrication - Additive manufacturing","ITC3","NL33",31.44,23.94,0,0,0,0,0,38,7,22.5,0.0034,0.1412,-0.1412,0,"Liguria","Sleuteltechnologieen","NL33","west","ITC3",72.3308,72.3308
"Engineering Fabrication - Additive manufacturing","PL51","NL33",31.44,19.99,0,0,0,0,0,38,13,25.5,0.0039,0.1601,-0.1601,0,"Dolnośląskie","Sleuteltechnologieen","NL33","west","PL51",63.3083,63.3083
"Engineering Fabrication - Additive manufacturing","UKH2","NL33",31.44,6.66,0,0,0,0,0,2,38,20,0.0031,0.1255,-0.1255,0,"Bedfordshire and Hertfordshire","Sleuteltechnologieen","NL33","west","UKH2",35.6391,35.6391
"Engineering Fabrication - Additive manufacturing","PL62","NL33",31.44,22.55,0,0,0,0,0,38,13,25.5,0.0039,0.1601,-0.1601,0,"Warmińsko-Mazurskie","Sleuteltechnologieen","NL33","west","PL62",69.1729,69.1729
"Engineering Fabrication - Additive manufacturing","PL63","NL33",31.44,30.33,0,0,0,0,0,38,14,26,0.004,0.1632,-0.1632,0,"Pomorskie","Sleuteltechnologieen","NL33","west","PL63",86.9173,86.9173
"Engineering Fabrication - Additive manufacturing","SE32","NL33",31.44,21.24,0,0,0,0,0,38,5,21.5,0.0033,0.1349,-0.1349,0,"Mellersta Norrland","Sleuteltechnologieen","NL33","west","SE32",65.4135,65.4135
"Engineering Fabrication - Additive manufacturing","CZ02","NL33",31.44,19.57,0,0,0,0,0,38,1,19.5,0.003,0.1224,-0.1224,0,"Střední Čechy","Sleuteltechnologieen","NL33","west","CZ02",62.406,62.406
"Engineering Fabrication - Additive manufacturing","PL21","NL33",31.44,27.62,0,0,0,0,0,38,25,31.5,0.0048,0.1977,-0.1977,0,"Małopolskie","Sleuteltechnologieen","NL33","west","PL21",81.6541,81.6541
"Engineering Fabrication - Additive manufacturing","CH06","NL33",31.44,32.96,0,0,0,0,0,38,38,38,0.0058,0.2385,-0.2385,0,"Zentralschweiz","Sleuteltechnologieen","NL33","west","CH06",91.5789,91.5789
"Engineering Fabrication - Additive manufacturing","CH01","NL33",31.44,14.99,0,0,0,0,0,38,55,46.5,0.0071,0.2919,-0.2919,0,"Région lémanique","Sleuteltechnologieen","NL33","west","CH01",53.3835,53.3835
