"Industry","region.that.adds","Region","RD","RD.added","full","share.from.full","binary","share.from.bin","pc","sum.from","sum.to","thmax","thmaxpc","expected","untapped","link.rca","name","parent","reg","dutch.reg","id","untapped.com","value"
"Hergebruik plastic","UKI2","west",7246.284,2.7927,0,0,0,0,0,3,6,4.5,0.0071,0.0389,-0.0389,0,"Outer London","Energie en Klimaat","west","west","UKI2",36.0406,36.0406
"Hergebruik plastic","BE34","west",7246.284,26.518,0,0,0,0,0,6,3,4.5,0.0071,0.0389,-0.0389,0,"Prov. Luxembourg (BE)","Energie en Klimaat","west","west","BE34",83.1762,83.1762
"Hergebruik plastic","ITH5","west",7246.284,39.6293,0,0,0,0,0,12,6,9,0.0143,0.0778,-0.0778,0,"Emilia-Romagna","Energie en Klimaat","west","west","ITH5",98.6947,98.6947
"Hergebruik plastic","FR72","west",7246.284,31.526,0,0,0,0,0,5,6,5.5,0.0087,0.0475,-0.0475,0,"Auvergne","Energie en Klimaat","west","west","FR72",91.008,91.008
"Hergebruik plastic","UKJ2","west",7246.284,5.5107,0,0,0,0,0,6,1,3.5,0.0055,0.0302,-0.0302,0,"Surrey, East and West Sussex","Energie en Klimaat","west","west","UKJ2",41.2618,41.2618
"Hergebruik plastic","FI1B","west",7246.284,14.656,0,0,0,0,0,6,16,11,0.0174,0.095,-0.095,0,"Helsinki-Uusimaa","Energie en Klimaat","west","west","FI1B",59.6809,59.6809
"Hergebruik plastic","SK02","west",7246.284,15.6153,0,0,0,0,0,1,6,3.5,0.0055,0.0302,-0.0302,0,"Západné Slovensko","Energie en Klimaat","west","west","SK02",60.9862,60.9862
"Hergebruik plastic","DE23","west",7246.284,16.1473,0,0,0,0,0,6,1,3.5,0.0055,0.0302,-0.0302,0,"Oberpfalz","Energie en Klimaat","west","west","DE23",62.7266,62.7266
"Hergebruik plastic","BE32","west",7246.284,26.6847,0,0,0,0,0,23,6,14.5,0.023,0.1253,-0.1253,0,"Prov. Hainaut","Energie en Klimaat","west","west","BE32",83.6113,83.6113
"Hergebruik plastic","DE27","west",7246.284,19.5447,0,0,0,0,0,4,6,5,0.0079,0.0432,-0.0432,0,"Schwaben","Energie en Klimaat","west","west","DE27",70.5584,70.5584
"Hergebruik plastic","CH05","west",7246.284,30.844,0,0,0,0,0,4,6,5,0.0079,0.0432,-0.0432,0,"Ostschweiz","Energie en Klimaat","west","west","CH05",90.1378,90.1378
"Hergebruik plastic","DE93","west",7246.284,35.178,0,0,0,0,0,7,6,6.5,0.0103,0.0562,-0.0562,0,"Lüneburg","Energie en Klimaat","west","west","DE93",94.0537,94.0537
"Hergebruik plastic","DK01","west",7246.284,5.7973,0,0,0,0,0,1,6,3.5,0.0055,0.0302,-0.0302,0,"Hovedstaden","Energie en Klimaat","west","west","DK01",41.6969,41.6969
"Hergebruik plastic","RO21","west",7246.284,21.3487,0,0,0,0,0,6,1,3.5,0.0055,0.0302,-0.0302,0,"Nord-Est","Energie en Klimaat","west","west","RO21",74.9094,74.9094
"Hergebruik plastic","UKD1","west",7246.284,29.3847,0,0,0,0,0,6,2,4,0.0063,0.0346,-0.0346,0,"Cumbria","Energie en Klimaat","west","west","UKD1",86.2219,86.2219
