"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"7058";"Alsace (FR42)";"United States (US)";1;25;0,06;0,02;7,33;"Drones"
"26527";"Alsace (FR42)";"United States (US)";6;9,38;0,13;0,09;6,42;"Pollution Control"
"1515032";"Alsace (FR42)";"United States (US)";1;1,85;0,02;0,11;11,65;"Carbon Capture & Storage"
"1717830";"Alsace (FR42)";"United States (US)";1;2,27;0,02;0,07;6,73;"Biomass Energy"
"1913142";"Alsace (FR42)";"United States (US)";4;15,38;0,07;0,02;4,71;"Internet of Things (IoT)"
"2067922";"Alsace (FR42)";"United States (US)";5;10;0,09;0,06;6,37;"Water Management"
"2247220";"Alsace (FR42)";"United States (US)";17;28,81;0,15;0,08;15,64;"Nuclear Energy"
"2257418";"Alsace (FR42)";"United States (US)";6;4,26;0,08;0,12;6,49;"Solar Energy"
"1860224";"Alsace (FR42)";"United States (US)";3;9,38;0,04;0,04;8,08;"Cloud Computing & Edge Computing"
"39905";"Alsace (FR42)";"United States (US)";4;5;0,05;0,05;5,55;"Waste Management"
"1227330";"Alsace (FR42)";"United States (US)";4;7,41;0,04;0,06;10,05;"Generative AI"
"1645523";"Alsace (FR42)";"United States (US)";4;12,5;0,08;0,03;4,71;"Blockchain Technologies"
"2027620";"Alsace (FR42)";"United States (US)";1;3,12;0,02;0,04;7,09;"Energy Efficiency"
"1883619";"Alsace (FR42)";"United States (US)";3;9,68;0,03;0,02;8,72;"Smart Grid"
"2393119";"Alsace (FR42)";"United States (US)";4;4,08;0,06;0,09;6,77;"Green Building"
"2044716";"Alsace (FR42)";"United States (US)";3;8,57;0,05;0,04;6,84;"Biofuels"
"44612";"Alsace (FR42)";"United States (US)";390;44,22;1,05;0,27;11,32;"Quantum Technologies"
"1094128";"Alsace (FR42)";"United States (US)";11;23,91;0,49;0,17;8,37;"Geothermal Energy"
"50715";"Alsace (FR42)";"United States (US)";26;9,42;0,08;0,08;10,35;"Environmental Engineering"
"1872614";"Alsace (FR42)";"United States (US)";2;4,88;0,03;0,05;7,17;"EVs & Charging Infrastructure"
"2399313";"Alsace (FR42)";"United States (US)";13;7,1;0,07;0,07;7,26;"Battery"
"2580115";"Alsace (FR42)";"United States (US)";11;8,73;0,05;0,06;11,62;"Semiconductors/Chips"
"373196";"Alsace (FR42)";"United States (US)";27;5,41;0,12;0,15;6,9;"Biomaterials"
"1931611";"Alsace (FR42)";"United States (US)";10;9,43;0,09;0,07;7,87;"Hydrogen Fuel Cells"
"1595911";"Alsace (FR42)";"United States (US)";3;5,66;0,04;0,05;7,13;"Heat Pumps"
"211569";"Alsace (FR42)";"United States (US)";5;11,63;0,04;0,03;7,52;"Mobile Networks (5G/6G)"
"1201015";"Alsace (FR42)";"United States (US)";3;18,75;0,07;0,05;12,69;"Satellite Connectivity"
"248178";"Alsace (FR42)";"United States (US)";7;12,5;0,06;0,08;17,7;"High-Performance Computing (HPC)"
"117842";"Alsace (FR42)";"United States (US)";232;16,98;0,05;0,06;19,15;"Other"
"262166";"Alsace (FR42)";"United States (US)";10;12,05;0,04;0,04;11,89;"Cybersecurity Technologies"
"162836";"Alsace (FR42)";"United States (US)";4;25;0,04;0,02;14,5;"Software Engineering & System Development"
"461682";"Alsace (FR42)";"United States (US)";28;7,82;0,04;0,05;10,79;"Computer Vision, Language Processing & Object Recognition"
"380783";"Alsace (FR42)";"United States (US)";10;4,26;0,07;0,09;5,19;"Green Consumer Goods"
"355552";"Alsace (FR42)";"United States (US)";10;6,33;0,11;0,09;5,22;"Recycling"
"312992";"Alsace (FR42)";"United States (US)";23;11;0,06;0,06;10,24;"Robotics"
"638741";"Alsace (FR42)";"United States (US)";91;10,73;0,05;0,06;13,34;"Artificial Intelligence"
