"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"26633";"Auvergne (FR72)";"United States (US)";6;8,57;0,13;0,1;6,42;"Pollution Control"
"1502532";"Auvergne (FR72)";"United States (US)";1;5;0,02;0,04;11,65;"Carbon Capture & Storage"
"1667631";"Auvergne (FR72)";"United States (US)";3;8,82;0,06;0,06;7,7;"Sustainable Agriculture"
"1720630";"Auvergne (FR72)";"United States (US)";2;6,25;0,05;0,05;6,73;"Biomass Energy"
"1904726";"Auvergne (FR72)";"United States (US)";2;9,52;0,04;0,02;4,71;"Internet of Things (IoT)"
"2065022";"Auvergne (FR72)";"United States (US)";2;2,53;0,04;0,09;6,37;"Water Management"
"2254617";"Auvergne (FR72)";"United States (US)";9;26,47;0,12;0,03;6,49;"Solar Energy"
"1847128";"Auvergne (FR72)";"United States (US)";1;10;0,01;0,01;8,08;"Cloud Computing & Edge Computing"
"40179";"Auvergne (FR72)";"United States (US)";4;4,88;0,05;0,05;5,55;"Waste Management"
"1243830";"Auvergne (FR72)";"United States (US)";1;4,76;0,01;0,02;10,05;"Generative AI"
"1663623";"Auvergne (FR72)";"United States (US)";3;21,43;0,06;0,01;4,71;"Blockchain Technologies"
"2029222";"Auvergne (FR72)";"United States (US)";3;42,86;0,05;0,01;7,09;"Energy Efficiency"
"1879419";"Auvergne (FR72)";"United States (US)";3;25;0,03;0,01;8,72;"Smart Grid"
"2390814";"Auvergne (FR72)";"United States (US)";6;10;0,09;0,06;6,77;"Green Building"
"2019817";"Auvergne (FR72)";"United States (US)";5;5,49;0,09;0,11;6,84;"Biofuels"
"44735";"Auvergne (FR72)";"United States (US)";18;12,41;0,05;0,04;11,32;"Quantum Technologies"
"1108024";"Auvergne (FR72)";"United States (US)";3;21,43;0,13;0,05;8,37;"Geothermal Energy"
"50512";"Auvergne (FR72)";"United States (US)";27;15,34;0,08;0,05;10,35;"Environmental Engineering"
"2387011";"Auvergne (FR72)";"United States (US)";1;2,38;0,01;0,02;7,26;"Battery"
"2580411";"Auvergne (FR72)";"United States (US)";6;9,09;0,03;0,03;11,62;"Semiconductors/Chips"
"3730112";"Auvergne (FR72)";"United States (US)";5;2,49;0,02;0,06;6,9;"Biomaterials"
"1605811";"Auvergne (FR72)";"United States (US)";1;6,67;0,01;0,01;7,13;"Heat Pumps"
"2131410";"Auvergne (FR72)";"United States (US)";1;4;0,01;0,02;7,52;"Mobile Networks (5G/6G)"
"117785";"Auvergne (FR72)";"United States (US)";222;17,01;0,05;0,05;19,15;"Other"
"261976";"Auvergne (FR72)";"United States (US)";4;7,84;0,02;0,02;11,89;"Cybersecurity Technologies"
"464742";"Auvergne (FR72)";"United States (US)";21;8,14;0,03;0,04;10,79;"Computer Vision, Language Processing & Object Recognition"
"381893";"Auvergne (FR72)";"United States (US)";8;4,79;0,06;0,06;5,19;"Green Consumer Goods"
"354952";"Auvergne (FR72)";"United States (US)";5;5,62;0,06;0,05;5,22;"Recycling"
"315342";"Auvergne (FR72)";"United States (US)";6;3,47;0,02;0,05;10,24;"Robotics"
"637321";"Auvergne (FR72)";"United States (US)";57;6,82;0,03;0,06;13,34;"Artificial Intelligence"
