"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"532256";"Azerbaijan (AZ)";"China (CN)";2;25;0,01;0,01;26,86;"Pollution Control"
"2985109";"Azerbaijan (AZ)";"China (CN)";5;45,45;0,03;0,02;29;"Carbon Capture & Storage"
"2978108";"Azerbaijan (AZ)";"China (CN)";2;100;0,01;0;22,11;"Sustainable Agriculture"
"3235107";"Azerbaijan (AZ)";"China (CN)";2;10;0,01;0,03;21,49;"Biomass Energy"
"406078";"Azerbaijan (AZ)";"China (CN)";4;26,67;0,01;0,02;36,46;"Water Management"
"391278";"Azerbaijan (AZ)";"China (CN)";10;27,03;0,07;0,05;21,43;"Nuclear Energy"
"428556";"Azerbaijan (AZ)";"China (CN)";3;15,79;0,01;0,02;23,25;"Solar Energy"
"767933";"Azerbaijan (AZ)";"China (CN)";4;16;0,01;0,02;20,73;"Waste Management"
"2853102";"Azerbaijan (AZ)";"China (CN)";2;7,14;0,01;0,03;12,8;"Blockchain Technologies"
"352660";"Azerbaijan (AZ)";"China (CN)";8;50;0,03;0,02;32,36;"Energy Efficiency"
"336870";"Azerbaijan (AZ)";"China (CN)";5;22,73;0,01;0,02;31,98;"Smart Grid"
"458939";"Azerbaijan (AZ)";"China (CN)";7;33,33;0,04;0,02;18,28;"Green Building"
"378180";"Azerbaijan (AZ)";"China (CN)";1;14,29;0,01;0,01;21,04;"Biofuels"
"835825";"Azerbaijan (AZ)";"China (CN)";224;86,15;0,35;0,08;19,34;"Quantum Technologies"
"2412102";"Azerbaijan (AZ)";"China (CN)";2;18,18;0,03;0,04;24,78;"Geothermal Energy"
"954223";"Azerbaijan (AZ)";"China (CN)";29;32,95;0,03;0,03;27,65;"Environmental Engineering"
"339647";"Azerbaijan (AZ)";"China (CN)";13;52;0,06;0,03;25,13;"EVs & Charging Infrastructure"
"409634";"Azerbaijan (AZ)";"China (CN)";4;10;0;0,02;42,46;"Battery"
"467628";"Azerbaijan (AZ)";"China (CN)";3;1,34;0,01;0,11;24,48;"Semiconductors/Chips"
"700518";"Azerbaijan (AZ)";"China (CN)";12;14,46;0,01;0,02;26,04;"Biomaterials"
"332536";"Azerbaijan (AZ)";"China (CN)";2;13,33;0;0,01;42,46;"Hydrogen Fuel Cells"
"305630";"Azerbaijan (AZ)";"China (CN)";24;52,17;0,08;0,04;26,05;"Heat Pumps"
"388135";"Azerbaijan (AZ)";"China (CN)";1;2,7;0;0,02;28,79;"Mobile Networks (5G/6G)"
"457820";"Azerbaijan (AZ)";"China (CN)";3;100;0,02;0;21,74;"High-Performance Computing (HPC)"
"211807";"Azerbaijan (AZ)";"China (CN)";133;22,32;0,03;0,02;18,88;"Other"
"456117";"Azerbaijan (AZ)";"China (CN)";3;3,8;0,01;0,04;23,26;"Cybersecurity Technologies"
"288219";"Azerbaijan (AZ)";"China (CN)";1;33,33;0,01;0;17,08;"Software Engineering & System Development"
"843951";"Azerbaijan (AZ)";"China (CN)";9;16,07;0;0,01;36,18;"Computer Vision, Language Processing & Object Recognition"
"687013";"Azerbaijan (AZ)";"China (CN)";31;47,69;0,05;0,02;24,08;"Green Consumer Goods"
"658912";"Azerbaijan (AZ)";"China (CN)";11;29,73;0,03;0,02;23,53;"Recycling"
"547211";"Azerbaijan (AZ)";"China (CN)";4;1,56;0;0,07;32,76;"Robotics"
"1160511";"Azerbaijan (AZ)";"China (CN)";20;3,75;0,01;0,04;18,93;"Artificial Intelligence"
