"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"540189";"Bourgogne (FR26)";"China (CN)";2;9,52;0,01;0,03;26,86;"Pollution Control"
"3134108";"Bourgogne (FR26)";"China (CN)";4;10,53;0,03;0,06;22,11;"Sustainable Agriculture"
"3079107";"Bourgogne (FR26)";"China (CN)";3;11,54;0,02;0,04;21,49;"Biomass Energy"
"3574101";"Bourgogne (FR26)";"China (CN)";1;5,88;0;0,01;21,82;"Internet of Things (IoT)"
"399270";"Bourgogne (FR26)";"China (CN)";3;11,11;0,02;0,04;21,43;"Nuclear Energy"
"429856";"Bourgogne (FR26)";"China (CN)";4;40;0,02;0,01;23,25;"Solar Energy"
"346379";"Bourgogne (FR26)";"China (CN)";1;6,67;0,01;0,02;21,85;"Cloud Computing & Edge Computing"
"745733";"Bourgogne (FR26)";"China (CN)";2;3,39;0,01;0,04;20,73;"Waste Management"
"2198107";"Bourgogne (FR26)";"China (CN)";3;14,29;0,01;0,02;43,6;"Generative AI"
"2799103";"Bourgogne (FR26)";"China (CN)";1;10;0,01;0,01;12,8;"Blockchain Technologies"
"349559";"Bourgogne (FR26)";"China (CN)";2;25;0;0,01;31,98;"Smart Grid"
"379750";"Bourgogne (FR26)";"China (CN)";2;6,9;0,01;0,04;21,04;"Biofuels"
"808025";"Bourgogne (FR26)";"China (CN)";15;9,55;0,02;0,05;19,34;"Quantum Technologies"
"938126";"Bourgogne (FR26)";"China (CN)";2;2,94;0;0,02;27,65;"Environmental Engineering"
"423138";"Bourgogne (FR26)";"China (CN)";3;23,08;0;0,01;42,46;"Battery"
"476228";"Bourgogne (FR26)";"China (CN)";1;3,7;0;0,01;24,48;"Semiconductors/Chips"
"689025";"Bourgogne (FR26)";"China (CN)";4;2,44;0;0,05;26,04;"Biomaterials"
"344236";"Bourgogne (FR26)";"China (CN)";13;41,94;0,02;0,02;42,46;"Hydrogen Fuel Cells"
"294146";"Bourgogne (FR26)";"China (CN)";1;11,11;0;0,01;26,05;"Heat Pumps"
"209577";"Bourgogne (FR26)";"China (CN)";46;4,44;0,01;0,04;18,88;"Other"
"449117";"Bourgogne (FR26)";"China (CN)";3;8,57;0,01;0,02;23,26;"Cybersecurity Technologies"
"815451";"Bourgogne (FR26)";"China (CN)";23;10,8;0,01;0,03;36,18;"Computer Vision, Language Processing & Object Recognition"
"709941";"Bourgogne (FR26)";"China (CN)";4;4,21;0,01;0,04;24,08;"Green Consumer Goods"
"652312";"Bourgogne (FR26)";"China (CN)";2;5,71;0;0,02;23,53;"Recycling"
"558911";"Bourgogne (FR26)";"China (CN)";2;2,06;0;0,03;32,76;"Robotics"
"1170911";"Bourgogne (FR26)";"China (CN)";14;3,25;0,01;0,03;18,93;"Artificial Intelligence"
