"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1163";"Brazil (BR)";"China (CN)";13;5,46;0,13;1;40,87;"Drones"
"517556";"Brazil (BR)";"China (CN)";32;1,59;0,16;2,77;26,86;"Pollution Control"
"2901120";"Brazil (BR)";"China (CN)";24;4,28;0,17;1,13;29;"Carbon Capture & Storage"
"2926108";"Brazil (BR)";"China (CN)";12;0,97;0,09;2,05;22,11;"Sustainable Agriculture"
"3050107";"Brazil (BR)";"China (CN)";22;1;0,16;3,5;21,49;"Biomass Energy"
"3412109";"Brazil (BR)";"China (CN)";40;2,14;0,15;1,58;21,82;"Internet of Things (IoT)"
"1026157";"Brazil (BR)";"China (CN)";8;2,48;0,11;1,74;39,44;"Hydroelectric Power"
"975156";"Brazil (BR)";"China (CN)";13;5,02;0,23;1,49;32,38;"Wind Energy"
"408568";"Brazil (BR)";"China (CN)";36;1,25;0,11;3,32;36,46;"Water Management"
"401870";"Brazil (BR)";"China (CN)";23;2,4;0,15;1,35;21,43;"Nuclear Energy"
"428056";"Brazil (BR)";"China (CN)";43;2,21;0,16;1,7;23,25;"Solar Energy"
"3421107";"Brazil (BR)";"China (CN)";47;2,31;0,25;2,33;21,85;"Cloud Computing & Edge Computing"
"755833";"Brazil (BR)";"China (CN)";65;1,02;0,21;4,19;20,73;"Waste Management"
"2195107";"Brazil (BR)";"China (CN)";26;4,01;0,06;0,68;43,6;"Generative AI"
"302880";"Brazil (BR)";"China (CN)";16;1,9;0,12;0,81;12,8;"Blockchain Technologies"
"342779";"Brazil (BR)";"China (CN)";23;2,09;0,09;1,37;32,36;"Energy Efficiency"
"337070";"Brazil (BR)";"China (CN)";28;1,32;0,07;1,61;31,98;"Smart Grid"
"447539";"Brazil (BR)";"China (CN)";11;0,44;0,06;2,4;18,28;"Green Building"
"382550";"Brazil (BR)";"China (CN)";53;1,38;0,31;4,68;21,04;"Biofuels"
"813925";"Brazil (BR)";"China (CN)";894;18,87;1,41;1,45;19,34;"Quantum Technologies"
"245690";"Brazil (BR)";"China (CN)";15;2,74;0,22;2,03;24,78;"Geothermal Energy"
"955823";"Brazil (BR)";"China (CN)";193;2,8;0,21;2,06;27,65;"Environmental Engineering"
"341168";"Brazil (BR)";"China (CN)";18;1,75;0,09;1,27;25,13;"EVs & Charging Infrastructure"
"421229";"Brazil (BR)";"China (CN)";54;3,16;0,05;0,66;42,46;"Battery"
"476528";"Brazil (BR)";"China (CN)";45;2,87;0,09;0,76;24,48;"Semiconductors/Chips"
"709818";"Brazil (BR)";"China (CN)";111;1,27;0,13;2,63;26,04;"Biomaterials"
"333536";"Brazil (BR)";"China (CN)";44;4,93;0,07;0,61;42,46;"Hydrogen Fuel Cells"
"291230";"Brazil (BR)";"China (CN)";42;4,37;0,15;0,87;26,05;"Heat Pumps"
"391326";"Brazil (BR)";"China (CN)";65;3,07;0,14;1,3;28,79;"Mobile Networks (5G/6G)"
"231330";"Brazil (BR)";"China (CN)";7;2,36;0,06;0,93;33,92;"Satellite Connectivity"
"451820";"Brazil (BR)";"China (CN)";26;1,79;0,17;2,02;21,74;"High-Performance Computing (HPC)"
"2114112";"Brazil (BR)";"China (CN)";1424;1,54;0,31;3,82;18,88;"Other"
"452117";"Brazil (BR)";"China (CN)";52;2,36;0,11;1,07;23,26;"Cybersecurity Technologies"
"280219";"Brazil (BR)";"China (CN)";18;0,69;0,16;4,03;17,08;"Software Engineering & System Development"
"825551";"Brazil (BR)";"China (CN)";195;3,76;0,08;0,77;36,18;"Computer Vision, Language Processing & Object Recognition"
"707341";"Brazil (BR)";"China (CN)";93;0,83;0,14;4,16;24,08;"Green Consumer Goods"
"663812";"Brazil (BR)";"China (CN)";72;1,02;0,18;4,12;23,53;"Recycling"
"545111";"Brazil (BR)";"China (CN)";65;1,82;0,05;0,98;32,76;"Robotics"
"1154211";"Brazil (BR)";"China (CN)";295;1,74;0,11;1,21;18,93;"Artificial Intelligence"
