"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"7146";"Campania (ITF3)";"United States (US)";6;10;0,34;0,25;7,33;"Drones"
"26764";"Campania (ITF3)";"United States (US)";31;7,36;0,67;0,58;6,42;"Pollution Control"
"1500032";"Campania (ITF3)";"United States (US)";10;11,76;0,17;0,17;11,65;"Carbon Capture & Storage"
"1652148";"Campania (ITF3)";"United States (US)";2;2,02;0,04;0,16;7,7;"Sustainable Agriculture"
"1723430";"Campania (ITF3)";"United States (US)";6;5,5;0,14;0,17;6,73;"Biomass Energy"
"1908026";"Campania (ITF3)";"United States (US)";18;13,53;0,32;0,11;4,71;"Internet of Things (IoT)"
"497755";"Campania (ITF3)";"United States (US)";2;3,51;0,21;0,31;5,05;"Hydroelectric Power"
"501185";"Campania (ITF3)";"United States (US)";7;26,92;0,65;0,15;6,15;"Wind Energy"
"2089137";"Campania (ITF3)";"United States (US)";16;10,88;0,29;0,17;6,37;"Water Management"
"2255018";"Campania (ITF3)";"United States (US)";23;26,74;0,21;0,12;15,64;"Nuclear Energy"
"2250017";"Campania (ITF3)";"United States (US)";15;6,85;0,2;0,19;6,49;"Solar Energy"
"1857722";"Campania (ITF3)";"United States (US)";14;8,75;0,2;0,18;8,08;"Cloud Computing & Edge Computing"
"40040";"Campania (ITF3)";"United States (US)";27;5,67;0,32;0,31;5,55;"Waste Management"
"1224730";"Campania (ITF3)";"United States (US)";6;9,09;0,06;0,07;10,05;"Generative AI"
"1644723";"Campania (ITF3)";"United States (US)";18;15,79;0,37;0,11;4,71;"Blockchain Technologies"
"2031322";"Campania (ITF3)";"United States (US)";12;8,7;0,21;0,17;7,09;"Energy Efficiency"
"1877819";"Campania (ITF3)";"United States (US)";35;17,95;0,3;0,15;8,72;"Smart Grid"
"2372316";"Campania (ITF3)";"United States (US)";21;3,6;0,3;0,56;6,77;"Green Building"
"2024717";"Campania (ITF3)";"United States (US)";22;7,8;0,39;0,34;6,84;"Biofuels"
"44509";"Campania (ITF3)";"United States (US)";518;49,57;1,4;0,32;11,32;"Quantum Technologies"
"1106624";"Campania (ITF3)";"United States (US)";4;4,21;0,18;0,35;8,37;"Geothermal Energy"
"50725";"Campania (ITF3)";"United States (US)";96;10,13;0,28;0,28;10,35;"Environmental Engineering"
"1887014";"Campania (ITF3)";"United States (US)";12;5,02;0,21;0,29;7,17;"EVs & Charging Infrastructure"
"2389412";"Campania (ITF3)";"United States (US)";17;6,59;0,09;0,1;7,26;"Battery"
"2587810";"Campania (ITF3)";"United States (US)";29;12,89;0,12;0,11;11,62;"Semiconductors/Chips"
"371756";"Campania (ITF3)";"United States (US)";87;7,54;0,38;0,35;6,9;"Biomaterials"
"1948311";"Campania (ITF3)";"United States (US)";14;11,76;0,12;0,08;7,87;"Hydrogen Fuel Cells"
"1606811";"Campania (ITF3)";"United States (US)";20;9,3;0,25;0,19;7,13;"Heat Pumps"
"2126410";"Campania (ITF3)";"United States (US)";27;14,84;0,22;0,11;7,52;"Mobile Networks (5G/6G)"
"1201314";"Campania (ITF3)";"United States (US)";19;14,18;0,47;0,42;12,69;"Satellite Connectivity"
"246588";"Campania (ITF3)";"United States (US)";14;11,11;0,11;0,18;17,7;"High-Performance Computing (HPC)"
"117979";"Campania (ITF3)";"United States (US)";814;16,4;0,18;0,21;19,15;"Other"
"263096";"Campania (ITF3)";"United States (US)";49;12,13;0,2;0,2;11,89;"Cybersecurity Technologies"
"163666";"Campania (ITF3)";"United States (US)";25;10,04;0,27;0,39;14,5;"Software Engineering & System Development"
"464682";"Campania (ITF3)";"United States (US)";78;7,43;0,11;0,16;10,79;"Computer Vision, Language Processing & Object Recognition"
"382563";"Campania (ITF3)";"United States (US)";55;5,21;0,39;0,39;5,19;"Green Consumer Goods"
"353732";"Campania (ITF3)";"United States (US)";45;6,16;0,51;0,43;5,22;"Recycling"
"314312";"Campania (ITF3)";"United States (US)";71;10,47;0,19;0,19;10,24;"Robotics"
"639981";"Campania (ITF3)";"United States (US)";288;9,73;0,15;0,21;13,34;"Artificial Intelligence"
