"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"7086";"Ecuador (EC)";"United States (US)";2;20;0,11;0,04;7,33;"Drones"
"26637";"Ecuador (EC)";"United States (US)";19;22,09;0,41;0,12;6,42;"Pollution Control"
"1515432";"Ecuador (EC)";"United States (US)";5;23,81;0,09;0,04;11,65;"Carbon Capture & Storage"
"1671831";"Ecuador (EC)";"United States (US)";4;4,49;0,09;0,15;7,7;"Sustainable Agriculture"
"1720331";"Ecuador (EC)";"United States (US)";12;8,33;0,28;0,23;6,73;"Biomass Energy"
"1910031";"Ecuador (EC)";"United States (US)";11;4,3;0,2;0,22;4,71;"Internet of Things (IoT)"
"502455";"Ecuador (EC)";"United States (US)";3;10,71;0,32;0,15;5,05;"Hydroelectric Power"
"2065722";"Ecuador (EC)";"United States (US)";14;7,87;0,25;0,21;6,37;"Water Management"
"2239918";"Ecuador (EC)";"United States (US)";3;42,86;0,03;0,01;15,64;"Nuclear Energy"
"2239817";"Ecuador (EC)";"United States (US)";3;1,68;0,04;0,16;6,49;"Solar Energy"
"1832128";"Ecuador (EC)";"United States (US)";7;4,27;0,1;0,19;8,08;"Cloud Computing & Edge Computing"
"40188";"Ecuador (EC)";"United States (US)";32;10,81;0,38;0,19;5,55;"Waste Management"
"1240530";"Ecuador (EC)";"United States (US)";6;22,22;0,06;0,03;10,05;"Generative AI"
"1659723";"Ecuador (EC)";"United States (US)";5;6,33;0,1;0,08;4,71;"Blockchain Technologies"
"2023820";"Ecuador (EC)";"United States (US)";3;1,73;0,05;0,22;7,09;"Energy Efficiency"
"1902919";"Ecuador (EC)";"United States (US)";13;4,5;0,11;0,22;8,72;"Smart Grid"
"2364714";"Ecuador (EC)";"United States (US)";13;6,05;0,18;0,21;6,77;"Green Building"
"2038817";"Ecuador (EC)";"United States (US)";20;11,63;0,36;0,21;6,84;"Biofuels"
"44502";"Ecuador (EC)";"United States (US)";213;239,33;0,57;0,03;11,32;"Quantum Technologies"
"1100524";"Ecuador (EC)";"United States (US)";3;17,65;0,13;0,06;8,37;"Geothermal Energy"
"50676";"Ecuador (EC)";"United States (US)";68;16,04;0,2;0,13;10,35;"Environmental Engineering"
"1867119";"Ecuador (EC)";"United States (US)";12;5,43;0,21;0,27;7,17;"EVs & Charging Infrastructure"
"2372511";"Ecuador (EC)";"United States (US)";10;7,04;0,05;0,05;7,26;"Battery"
"2576411";"Ecuador (EC)";"United States (US)";2;5;0,01;0,02;11,62;"Semiconductors/Chips"
"372086";"Ecuador (EC)";"United States (US)";37;12,01;0,16;0,09;6,9;"Biomaterials"
"1931710";"Ecuador (EC)";"United States (US)";4;8;0,04;0,03;7,87;"Hydrogen Fuel Cells"
"1613312";"Ecuador (EC)";"United States (US)";4;6,25;0,05;0,06;7,13;"Heat Pumps"
"212879";"Ecuador (EC)";"United States (US)";25;11,36;0,2;0,14;7,52;"Mobile Networks (5G/6G)"
"1211614";"Ecuador (EC)";"United States (US)";2;11,76;0,05;0,05;12,69;"Satellite Connectivity"
"2487310";"Ecuador (EC)";"United States (US)";6;12,5;0,05;0,07;17,7;"High-Performance Computing (HPC)"
"118087";"Ecuador (EC)";"United States (US)";1177;22,39;0,25;0,22;19,15;"Other"
"262546";"Ecuador (EC)";"United States (US)";8;3,52;0,03;0,11;11,89;"Cybersecurity Technologies"
"164646";"Ecuador (EC)";"United States (US)";6;5,94;0,06;0,16;14,5;"Software Engineering & System Development"
"462492";"Ecuador (EC)";"United States (US)";40;11,73;0,06;0,05;10,79;"Computer Vision, Language Processing & Object Recognition"
"382363";"Ecuador (EC)";"United States (US)";41;9,51;0,29;0,16;5,19;"Green Consumer Goods"
"356392";"Ecuador (EC)";"United States (US)";26;10,28;0,29;0,15;5,22;"Recycling"
"314462";"Ecuador (EC)";"United States (US)";37;8,19;0,1;0,12;10,24;"Robotics"
"637781";"Ecuador (EC)";"United States (US)";112;9,74;0,06;0,08;13,34;"Artificial Intelligence"
