"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1267";"Galicia (ES11)";"China (CN)";2;10,53;0,02;0,08;40,87;"Drones"
"532556";"Galicia (ES11)";"China (CN)";16;7,08;0,08;0,31;26,86;"Pollution Control"
"2968109";"Galicia (ES11)";"China (CN)";2;5,56;0,01;0,07;29;"Carbon Capture & Storage"
"3006108";"Galicia (ES11)";"China (CN)";4;10,81;0,03;0,06;22,11;"Sustainable Agriculture"
"3093108";"Galicia (ES11)";"China (CN)";4;5,26;0,03;0,12;21,49;"Biomass Energy"
"3514102";"Galicia (ES11)";"China (CN)";3;3,75;0,01;0,07;21,82;"Internet of Things (IoT)"
"955157";"Galicia (ES11)";"China (CN)";1;9,09;0,01;0,06;39,44;"Hydroelectric Power"
"973156";"Galicia (ES11)";"China (CN)";1;2,78;0,02;0,21;32,38;"Wind Energy"
"416768";"Galicia (ES11)";"China (CN)";14;9,86;0,04;0,16;36,46;"Water Management"
"417660";"Galicia (ES11)";"China (CN)";1;1,56;0;0,06;23,25;"Solar Energy"
"356979";"Galicia (ES11)";"China (CN)";3;4,11;0,02;0,08;21,85;"Cloud Computing & Edge Computing"
"754146";"Galicia (ES11)";"China (CN)";17;6,09;0,05;0,18;20,73;"Waste Management"
"2248107";"Galicia (ES11)";"China (CN)";3;6,38;0,01;0,05;43,6;"Generative AI"
"2783103";"Galicia (ES11)";"China (CN)";2;6,9;0,01;0,03;12,8;"Blockchain Technologies"
"345760";"Galicia (ES11)";"China (CN)";5;8,2;0,02;0,08;32,36;"Energy Efficiency"
"353190";"Galicia (ES11)";"China (CN)";2;4,55;0;0,03;31,98;"Smart Grid"
"383050";"Galicia (ES11)";"China (CN)";24;9,52;0,14;0,31;21,04;"Biofuels"
"809725";"Galicia (ES11)";"China (CN)";250;54;0,39;0,14;19,34;"Quantum Technologies"
"232490";"Galicia (ES11)";"China (CN)";1;5,88;0,01;0,06;24,78;"Geothermal Energy"
"959723";"Galicia (ES11)";"China (CN)";19;4,07;0,02;0,14;27,65;"Environmental Engineering"
"338847";"Galicia (ES11)";"China (CN)";1;3,33;0;0,04;25,13;"EVs & Charging Infrastructure"
"416634";"Galicia (ES11)";"China (CN)";1;1,49;0;0,03;42,46;"Battery"
"464728";"Galicia (ES11)";"China (CN)";8;7,14;0,02;0,05;24,48;"Semiconductors/Chips"
"694525";"Galicia (ES11)";"China (CN)";60;9,9;0,07;0,18;26,04;"Biomaterials"
"339936";"Galicia (ES11)";"China (CN)";3;13,04;0;0,02;42,46;"Hydrogen Fuel Cells"
"296630";"Galicia (ES11)";"China (CN)";4;5,8;0,01;0,06;26,05;"Heat Pumps"
"392926";"Galicia (ES11)";"China (CN)";2;1,8;0;0,07;28,79;"Mobile Networks (5G/6G)"
"465820";"Galicia (ES11)";"China (CN)";1;1,61;0,01;0,09;21,74;"High-Performance Computing (HPC)"
"213087";"Galicia (ES11)";"China (CN)";291;8,49;0,06;0,14;18,88;"Other"
"459917";"Galicia (ES11)";"China (CN)";4;3,67;0,01;0,05;23,26;"Cybersecurity Technologies"
"277419";"Galicia (ES11)";"China (CN)";5;9,26;0,05;0,08;17,08;"Software Engineering & System Development"
"831751";"Galicia (ES11)";"China (CN)";15;3,42;0,01;0,07;36,18;"Computer Vision, Language Processing & Object Recognition"
"705541";"Galicia (ES11)";"China (CN)";92;19,21;0,14;0,18;24,08;"Green Consumer Goods"
"640912";"Galicia (ES11)";"China (CN)";23;8,42;0,06;0,16;23,53;"Recycling"
"554711";"Galicia (ES11)";"China (CN)";16;8,56;0,01;0,05;32,76;"Robotics"
"1164211";"Galicia (ES11)";"China (CN)";55;4,76;0,02;0,08;18,93;"Artificial Intelligence"
