"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1180";"Île de France (FR10)";"China (CN)";33;18,03;0,34;0,77;40,87;"Drones"
"544856";"Île de France (FR10)";"China (CN)";64;6,12;0,33;1,44;26,86;"Pollution Control"
"2850120";"Île de France (FR10)";"China (CN)";80;9,12;0,56;1,77;29;"Carbon Capture & Storage"
"3075108";"Île de France (FR10)";"China (CN)";34;6,37;0,25;0,88;22,11;"Sustainable Agriculture"
"3055107";"Île de France (FR10)";"China (CN)";47;7,38;0,35;1,01;21,49;"Biomass Energy"
"3455101";"Île de France (FR10)";"China (CN)";83;9,3;0,32;0,75;21,82;"Internet of Things (IoT)"
"1092157";"Île de France (FR10)";"China (CN)";46;22,12;0,63;1,12;39,44;"Hydroelectric Power"
"971156";"Île de France (FR10)";"China (CN)";38;21,35;0,67;1,02;32,38;"Wind Energy"
"416968";"Île de France (FR10)";"China (CN)";131;17,08;0,42;0,89;36,46;"Water Management"
"403970";"Île de France (FR10)";"China (CN)";138;6,15;0,91;3,16;21,43;"Nuclear Energy"
"409360";"Île de France (FR10)";"China (CN)";143;10,26;0,54;1,22;23,25;"Solar Energy"
"346679";"Île de France (FR10)";"China (CN)";72;8,14;0,38;1,01;21,85;"Cloud Computing & Edge Computing"
"749733";"Île de France (FR10)";"China (CN)";114;7,58;0,36;0,99;20,73;"Waste Management"
"2285107";"Île de France (FR10)";"China (CN)";110;10,02;0,26;1,15;43,6;"Generative AI"
"297780";"Île de France (FR10)";"China (CN)";40;7,43;0,3;0,51;12,8;"Blockchain Technologies"
"350460";"Île de France (FR10)";"China (CN)";65;9,79;0,25;0,83;32,36;"Energy Efficiency"
"343770";"Île de France (FR10)";"China (CN)";88;8,72;0,21;0,76;31,98;"Smart Grid"
"447239";"Île de France (FR10)";"China (CN)";107;6,41;0,56;1,6;18,28;"Green Building"
"388650";"Île de France (FR10)";"China (CN)";81;6,33;0,47;1,56;21,04;"Biofuels"
"809825";"Île de France (FR10)";"China (CN)";1437;14,62;2,27;3;19,34;"Quantum Technologies"
"2451103";"Île de France (FR10)";"China (CN)";88;17,09;1,32;1,91;24,78;"Geothermal Energy"
"944126";"Île de France (FR10)";"China (CN)";687;12,01;0,74;1,71;27,65;"Environmental Engineering"
"332347";"Île de France (FR10)";"China (CN)";91;10,96;0,45;1,02;25,13;"EVs & Charging Infrastructure"
"412734";"Île de France (FR10)";"China (CN)";420;15,17;0,38;1,07;42,46;"Battery"
"479028";"Île de France (FR10)";"China (CN)";297;6,43;0,59;2,24;24,48;"Semiconductors/Chips"
"692325";"Île de France (FR10)";"China (CN)";400;8,33;0,46;1,45;26,04;"Biomaterials"
"348429";"Île de France (FR10)";"China (CN)";312;16,37;0,51;1,31;42,46;"Hydrogen Fuel Cells"
"284837";"Île de France (FR10)";"China (CN)";141;9,33;0,49;1,36;26,05;"Heat Pumps"
"372427";"Île de France (FR10)";"China (CN)";289;11,67;0,62;1,52;28,79;"Mobile Networks (5G/6G)"
"231830";"Île de France (FR10)";"China (CN)";49;8,24;0,45;1,87;33,92;"Satellite Connectivity"
"470020";"Île de France (FR10)";"China (CN)";91;6,49;0,58;1,96;21,74;"High-Performance Computing (HPC)"
"211957";"Île de France (FR10)";"China (CN)";5372;12,68;1,18;1,75;18,88;"Other"
"460017";"Île de France (FR10)";"China (CN)";154;6,11;0,32;1,23;23,26;"Cybersecurity Technologies"
"293919";"Île de France (FR10)";"China (CN)";46;4,06;0,42;1,76;17,08;"Software Engineering & System Development"
"846051";"Île de France (FR10)";"China (CN)";882;9,31;0,36;1,41;36,18;"Computer Vision, Language Processing & Object Recognition"
"688513";"Île de France (FR10)";"China (CN)";291;9,64;0,45;1,12;24,08;"Green Consumer Goods"
"651412";"Île de France (FR10)";"China (CN)";186;9,1;0,46;1,2;23,53;"Recycling"
"573411";"Île de France (FR10)";"China (CN)";402;7,91;0,34;1,4;32,76;"Robotics"
"1167411";"Île de France (FR10)";"China (CN)";1099;4,34;0,41;1,8;18,93;"Artificial Intelligence"
