"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"7027";"Île de France (FR10)";"United States (US)";28;15,3;1,61;0,77;7,33;"Drones"
"26701";"Île de France (FR10)";"United States (US)";102;9,76;2,19;1,44;6,42;"Pollution Control"
"1524932";"Île de France (FR10)";"United States (US)";165;18,81;2,85;1,77;11,65;"Carbon Capture & Storage"
"1653232";"Île de France (FR10)";"United States (US)";73;13,67;1,56;0,88;7,7;"Sustainable Agriculture"
"1704331";"Île de France (FR10)";"United States (US)";83;13,03;1,95;1,01;6,73;"Biomass Energy"
"1905426";"Île de France (FR10)";"United States (US)";117;13,12;2,09;0,75;4,71;"Internet of Things (IoT)"
"508177";"Île de France (FR10)";"United States (US)";19;9,13;2,03;1,12;5,05;"Hydroelectric Power"
"502554";"Île de France (FR10)";"United States (US)";17;9,55;1,59;1,02;6,15;"Wind Energy"
"2082022";"Île de France (FR10)";"United States (US)";102;13,3;1,85;0,89;6,37;"Water Management"
"2254419";"Île de France (FR10)";"United States (US)";459;20,45;4,12;3,16;15,64;"Nuclear Energy"
"2260717";"Île de France (FR10)";"United States (US)";180;12,91;2,43;1,22;6,49;"Solar Energy"
"1855922";"Île de France (FR10)";"United States (US)";154;17,42;2,18;1,01;8,08;"Cloud Computing & Edge Computing"
"40002";"Île de France (FR10)";"United States (US)";190;12,63;2,26;0,99;5,55;"Waste Management"
"1229630";"Île de France (FR10)";"United States (US)";114;10,38;1,19;1,15;10,05;"Generative AI"
"1639723";"Île de France (FR10)";"United States (US)";108;20,07;2,19;0,51;4,71;"Blockchain Technologies"
"2039620";"Île de France (FR10)";"United States (US)";174;26,2;3,06;0,83;7,09;"Energy Efficiency"
"1893719";"Île de France (FR10)";"United States (US)";123;12,19;1,07;0,76;8,72;"Smart Grid"
"2369316";"Île de France (FR10)";"United States (US)";137;8,21;1,94;1,6;6,77;"Green Building"
"2039517";"Île de France (FR10)";"United States (US)";119;9,3;2,12;1,56;6,84;"Biofuels"
"44562";"Île de France (FR10)";"United States (US)";2513;25,56;6,78;3;11,32;"Quantum Technologies"
"1091724";"Île de France (FR10)";"United States (US)";80;15,53;3,55;1,91;8,37;"Geothermal Energy"
"50547";"Île de France (FR10)";"United States (US)";1028;17,98;2,98;1,71;10,35;"Environmental Engineering"
"1881914";"Île de France (FR10)";"United States (US)";177;21,33;3,04;1,02;7,17;"EVs & Charging Infrastructure"
"2393911";"Île de France (FR10)";"United States (US)";379;13,69;2,01;1,07;7,26;"Battery"
"2581810";"Île de France (FR10)";"United States (US)";608;13,17;2,54;2,24;11,62;"Semiconductors/Chips"
"373056";"Île de France (FR10)";"United States (US)";459;9,55;2;1,45;6,9;"Biomaterials"
"1950710";"Île de France (FR10)";"United States (US)";237;12,43;2,08;1,31;7,87;"Hydrogen Fuel Cells"
"1612611";"Île de France (FR10)";"United States (US)";156;10,32;1,98;1,36;7,13;"Heat Pumps"
"2128211";"Île de France (FR10)";"United States (US)";278;11,22;2,27;1,52;7,52;"Mobile Networks (5G/6G)"
"1218014";"Île de France (FR10)";"United States (US)";153;25,71;3,78;1,87;12,69;"Satellite Connectivity"
"246748";"Île de France (FR10)";"United States (US)";327;23,31;2,58;1,96;17,7;"High-Performance Computing (HPC)"
"117847";"Île de France (FR10)";"United States (US)";12169;28,73;2,63;1,75;19,15;"Other"
"263466";"Île de France (FR10)";"United States (US)";371;14,72;1,52;1,23;11,89;"Cybersecurity Technologies"
"162336";"Île de France (FR10)";"United States (US)";130;11,47;1,39;1,76;14,5;"Software Engineering & System Development"
"464092";"Île de France (FR10)";"United States (US)";1306;13,79;1,81;1,41;10,79;"Computer Vision, Language Processing & Object Recognition"
"381033";"Île de France (FR10)";"United States (US)";298;9,87;2,14;1,12;5,19;"Green Consumer Goods"
"353222";"Île de France (FR10)";"United States (US)";227;11,1;2,55;1,2;5,22;"Recycling"
"314062";"Île de France (FR10)";"United States (US)";678;13,35;1,82;1,4;10,24;"Robotics"
"639731";"Île de France (FR10)";"United States (US)";2742;10,83;1,46;1,8;13,34;"Artificial Intelligence"
