"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"7134";"Kentriki Makedonia (EL12)";"United States (US)";7;11,11;0,4;0,26;7,33;"Drones"
"26715";"Kentriki Makedonia (EL12)";"United States (US)";8;6,25;0,17;0,18;6,42;"Pollution Control"
"1509732";"Kentriki Makedonia (EL12)";"United States (US)";3;3,33;0,05;0,18;11,65;"Carbon Capture & Storage"
"1659332";"Kentriki Makedonia (EL12)";"United States (US)";4;2,67;0,09;0,25;7,7;"Sustainable Agriculture"
"1719830";"Kentriki Makedonia (EL12)";"United States (US)";8;8,25;0,19;0,15;6,73;"Biomass Energy"
"1915327";"Kentriki Makedonia (EL12)";"United States (US)";10;4,5;0,18;0,19;4,71;"Internet of Things (IoT)"
"2079323";"Kentriki Makedonia (EL12)";"United States (US)";2;1,96;0,04;0,12;6,37;"Water Management"
"2231719";"Kentriki Makedonia (EL12)";"United States (US)";7;41,18;0,06;0,02;15,64;"Nuclear Energy"
"2259917";"Kentriki Makedonia (EL12)";"United States (US)";3;3,75;0,04;0,07;6,49;"Solar Energy"
"1853323";"Kentriki Makedonia (EL12)";"United States (US)";11;5,53;0,16;0,23;8,08;"Cloud Computing & Edge Computing"
"40033";"Kentriki Makedonia (EL12)";"United States (US)";10;4,12;0,12;0,16;5,55;"Waste Management"
"1232930";"Kentriki Makedonia (EL12)";"United States (US)";5;3,52;0,05;0,15;10,05;"Generative AI"
"1642623";"Kentriki Makedonia (EL12)";"United States (US)";9;8,18;0,18;0,11;4,71;"Blockchain Technologies"
"2020820";"Kentriki Makedonia (EL12)";"United States (US)";3;1,78;0,05;0,21;7,09;"Energy Efficiency"
"1878819";"Kentriki Makedonia (EL12)";"United States (US)";4;1,76;0,03;0,17;8,72;"Smart Grid"
"2385914";"Kentriki Makedonia (EL12)";"United States (US)";8;3,05;0,11;0,25;6,77;"Green Building"
"2019917";"Kentriki Makedonia (EL12)";"United States (US)";5;4,5;0,09;0,14;6,84;"Biofuels"
"44807";"Kentriki Makedonia (EL12)";"United States (US)";120;70,18;0,32;0,05;11,32;"Quantum Technologies"
"1090424";"Kentriki Makedonia (EL12)";"United States (US)";2;4;0,09;0,19;8,37;"Geothermal Energy"
"50869";"Kentriki Makedonia (EL12)";"United States (US)";49;9,39;0,14;0,16;10,35;"Environmental Engineering"
"1880014";"Kentriki Makedonia (EL12)";"United States (US)";3;2,94;0,05;0,13;7,17;"EVs & Charging Infrastructure"
"2372811";"Kentriki Makedonia (EL12)";"United States (US)";3;2,94;0,02;0,04;7,26;"Battery"
"2603410";"Kentriki Makedonia (EL12)";"United States (US)";5;5,05;0,02;0,05;11,62;"Semiconductors/Chips"
"373756";"Kentriki Makedonia (EL12)";"United States (US)";16;3,87;0,07;0,12;6,9;"Biomaterials"
"1612811";"Kentriki Makedonia (EL12)";"United States (US)";4;7,14;0,05;0,05;7,13;"Heat Pumps"
"2130410";"Kentriki Makedonia (EL12)";"United States (US)";33;10,41;0,27;0,19;7,52;"Mobile Networks (5G/6G)"
"1218814";"Kentriki Makedonia (EL12)";"United States (US)";11;35,48;0,27;0,1;12,69;"Satellite Connectivity"
"2487210";"Kentriki Makedonia (EL12)";"United States (US)";12;10,71;0,09;0,16;17,7;"High-Performance Computing (HPC)"
"117748";"Kentriki Makedonia (EL12)";"United States (US)";327;13,02;0,07;0,1;19,15;"Other"
"260596";"Kentriki Makedonia (EL12)";"United States (US)";25;7,2;0,1;0,17;11,89;"Cybersecurity Technologies"
"164626";"Kentriki Makedonia (EL12)";"United States (US)";13;9,29;0,14;0,22;14,5;"Software Engineering & System Development"
"462618";"Kentriki Makedonia (EL12)";"United States (US)";56;6,09;0,08;0,14;10,79;"Computer Vision, Language Processing & Object Recognition"
"380843";"Kentriki Makedonia (EL12)";"United States (US)";14;2,75;0,1;0,19;5,19;"Green Consumer Goods"
"353422";"Kentriki Makedonia (EL12)";"United States (US)";8;2,39;0,09;0,2;5,22;"Recycling"
"314052";"Kentriki Makedonia (EL12)";"United States (US)";31;8,29;0,08;0,1;10,24;"Robotics"
"636991";"Kentriki Makedonia (EL12)";"United States (US)";117;7,13;0,06;0,12;13,34;"Artificial Intelligence"
