"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"533756";"Łódzkie (PL11)";"China (CN)";2;2,44;0,01;0,11;26,86;"Pollution Control"
"2806122";"Łódzkie (PL11)";"China (CN)";1;8,33;0,01;0,02;29;"Carbon Capture & Storage"
"3135108";"Łódzkie (PL11)";"China (CN)";2;12,5;0,01;0,03;22,11;"Sustainable Agriculture"
"3043108";"Łódzkie (PL11)";"China (CN)";3;8,33;0,02;0,06;21,49;"Biomass Energy"
"3474101";"Łódzkie (PL11)";"China (CN)";1;10;0;0,01;21,82;"Internet of Things (IoT)"
"1002156";"Łódzkie (PL11)";"China (CN)";2;200;0,04;0,01;32,38;"Wind Energy"
"413868";"Łódzkie (PL11)";"China (CN)";3;9,68;0,01;0,04;36,46;"Water Management"
"413067";"Łódzkie (PL11)";"China (CN)";1;2,22;0,01;0,06;21,43;"Nuclear Energy"
"412360";"Łódzkie (PL11)";"China (CN)";4;6,25;0,02;0,06;23,25;"Solar Energy"
"3436100";"Łódzkie (PL11)";"China (CN)";1;7,14;0,01;0,02;21,85;"Cloud Computing & Edge Computing"
"748633";"Łódzkie (PL11)";"China (CN)";4;4,65;0,01;0,06;20,73;"Waste Management"
"2819103";"Łódzkie (PL11)";"China (CN)";1;8,33;0,01;0,01;12,8;"Blockchain Technologies"
"357660";"Łódzkie (PL11)";"China (CN)";1;5,88;0;0,02;32,36;"Energy Efficiency"
"332270";"Łódzkie (PL11)";"China (CN)";1;4,35;0;0,02;31,98;"Smart Grid"
"383179";"Łódzkie (PL11)";"China (CN)";12;15,79;0,07;0,09;21,04;"Biofuels"
"830025";"Łódzkie (PL11)";"China (CN)";7;6,42;0,01;0,03;19,34;"Quantum Technologies"
"238890";"Łódzkie (PL11)";"China (CN)";1;16,67;0,01;0,02;24,78;"Geothermal Energy"
"954823";"Łódzkie (PL11)";"China (CN)";14;10,45;0,02;0,04;27,65;"Environmental Engineering"
"325747";"Łódzkie (PL11)";"China (CN)";2;7,14;0,01;0,03;25,13;"EVs & Charging Infrastructure"
"408434";"Łódzkie (PL11)";"China (CN)";11;26,19;0,01;0,02;42,46;"Battery"
"486528";"Łódzkie (PL11)";"China (CN)";4;5,71;0,01;0,03;24,48;"Semiconductors/Chips"
"705218";"Łódzkie (PL11)";"China (CN)";15;2,75;0,02;0,16;26,04;"Biomaterials"
"341236";"Łódzkie (PL11)";"China (CN)";7;24,14;0,01;0,02;42,46;"Hydrogen Fuel Cells"
"298830";"Łódzkie (PL11)";"China (CN)";9;13,64;0,03;0,06;26,05;"Heat Pumps"
"211737";"Łódzkie (PL11)";"China (CN)";89;7,97;0,02;0,05;18,88;"Other"
"448817";"Łódzkie (PL11)";"China (CN)";2;5,88;0;0,02;23,26;"Cybersecurity Technologies"
"828051";"Łódzkie (PL11)";"China (CN)";5;4,13;0;0,02;36,18;"Computer Vision, Language Processing & Object Recognition"
"691213";"Łódzkie (PL11)";"China (CN)";9;1,89;0,01;0,18;24,08;"Green Consumer Goods"
"638812";"Łódzkie (PL11)";"China (CN)";4;1,52;0,01;0,15;23,53;"Recycling"
"558711";"Łódzkie (PL11)";"China (CN)";3;2,75;0;0,03;32,76;"Robotics"
"1144011";"Łódzkie (PL11)";"China (CN)";15;3,46;0,01;0,03;18,93;"Artificial Intelligence"
