"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"538456";"Liberia (LR)";"China (CN)";3;300;0,02;0;26,86;"Pollution Control"
"428186";"Liberia (LR)";"China (CN)";2;200;0,01;0;23,25;"Solar Energy"
"772833";"Liberia (LR)";"China (CN)";15;500;0,05;0;20,73;"Waste Management"
"339070";"Liberia (LR)";"China (CN)";3;100;0,01;0;31,98;"Smart Grid"
"957023";"Liberia (LR)";"China (CN)";3;150;0;0;27,65;"Environmental Engineering"
"331847";"Liberia (LR)";"China (CN)";3;300;0,01;0;25,13;"EVs & Charging Infrastructure"
"695525";"Liberia (LR)";"China (CN)";3;33,33;0;0;26,04;"Biomaterials"
"213437";"Liberia (LR)";"China (CN)";30;96,77;0,01;0;18,88;"Other"
"696413";"Liberia (LR)";"China (CN)";3;100;0;0;24,08;"Green Consumer Goods"
"657312";"Liberia (LR)";"China (CN)";13;650;0,03;0;23,53;"Recycling"
"1162711";"Liberia (LR)";"China (CN)";1;3,45;0;0;18,93;"Artificial Intelligence"
