"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"26714";"Lietuva (LT00)";"United States (US)";10;7,75;0,21;0,18;6,42;"Pollution Control"
"1648332";"Lietuva (LT00)";"United States (US)";2;1,98;0,04;0,17;7,7;"Sustainable Agriculture"
"1719430";"Lietuva (LT00)";"United States (US)";4;1,97;0,09;0,32;6,73;"Biomass Energy"
"1895526";"Lietuva (LT00)";"United States (US)";2;5,13;0,04;0,03;4,71;"Internet of Things (IoT)"
"2079922";"Lietuva (LT00)";"United States (US)";4;10,81;0,07;0,04;6,37;"Water Management"
"2234618";"Lietuva (LT00)";"United States (US)";13;14,94;0,12;0,12;15,64;"Nuclear Energy"
"2243122";"Lietuva (LT00)";"United States (US)";14;6,48;0,19;0,19;6,49;"Solar Energy"
"1840722";"Lietuva (LT00)";"United States (US)";1;2,17;0,01;0,05;8,08;"Cloud Computing & Edge Computing"
"39865";"Lietuva (LT00)";"United States (US)";11;3,83;0,13;0,19;5,55;"Waste Management"
"1645128";"Lietuva (LT00)";"United States (US)";6;7,89;0,12;0,07;4,71;"Blockchain Technologies"
"2017820";"Lietuva (LT00)";"United States (US)";5;5,15;0,09;0,12;7,09;"Energy Efficiency"
"2384614";"Lietuva (LT00)";"United States (US)";8;2,99;0,11;0,26;6,77;"Green Building"
"2026517";"Lietuva (LT00)";"United States (US)";1;1,05;0,02;0,12;6,84;"Biofuels"
"44641";"Lietuva (LT00)";"United States (US)";185;45,34;0,5;0,12;11,32;"Quantum Technologies"
"1099324";"Lietuva (LT00)";"United States (US)";1;3,57;0,04;0,1;8,37;"Geothermal Energy"
"50693";"Lietuva (LT00)";"United States (US)";23;6,41;0,07;0,11;10,35;"Environmental Engineering"
"1875514";"Lietuva (LT00)";"United States (US)";4;6,9;0,07;0,07;7,17;"EVs & Charging Infrastructure"
"2374711";"Lietuva (LT00)";"United States (US)";4;3,77;0,02;0,04;7,26;"Battery"
"2591412";"Lietuva (LT00)";"United States (US)";22;8,53;0,09;0,13;11,62;"Semiconductors/Chips"
"373606";"Lietuva (LT00)";"United States (US)";21;7,61;0,09;0,08;6,9;"Biomaterials"
"1945212";"Lietuva (LT00)";"United States (US)";4;4,12;0,04;0,07;7,87;"Hydrogen Fuel Cells"
"1611611";"Lietuva (LT00)";"United States (US)";2;2,35;0,03;0,08;7,13;"Heat Pumps"
"212079";"Lietuva (LT00)";"United States (US)";2;4,55;0,02;0,03;7,52;"Mobile Networks (5G/6G)"
"1207614";"Lietuva (LT00)";"United States (US)";1;33,33;0,02;0,01;12,69;"Satellite Connectivity"
"247708";"Lietuva (LT00)";"United States (US)";9;27,27;0,07;0,05;17,7;"High-Performance Computing (HPC)"
"118091";"Lietuva (LT00)";"United States (US)";284;12,31;0,06;0,1;19,15;"Other"
"263436";"Lietuva (LT00)";"United States (US)";11;6,96;0,05;0,08;11,89;"Cybersecurity Technologies"
"164766";"Lietuva (LT00)";"United States (US)";6;13,04;0,06;0,07;14,5;"Software Engineering & System Development"
"462818";"Lietuva (LT00)";"United States (US)";25;8,39;0,03;0,04;10,79;"Computer Vision, Language Processing & Object Recognition"
"382993";"Lietuva (LT00)";"United States (US)";40;6,88;0,29;0,22;5,19;"Green Consumer Goods"
"354802";"Lietuva (LT00)";"United States (US)";21;4,77;0,24;0,26;5,22;"Recycling"
"315752";"Lietuva (LT00)";"United States (US)";9;4,5;0,02;0,05;10,24;"Robotics"
"637581";"Lietuva (LT00)";"United States (US)";61;6,57;0,03;0,07;13,34;"Artificial Intelligence"
