"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"2246818";"Limousin (FR63)";"United States (US)";9;28,12;0,08;0,04;15,64;"Nuclear Energy"
"40049";"Limousin (FR63)";"United States (US)";2;25;0,02;0,01;5,55;"Waste Management"
"44795";"Limousin (FR63)";"United States (US)";7;23,33;0,02;0,01;11,32;"Quantum Technologies"
"2386911";"Limousin (FR63)";"United States (US)";1;4,35;0,01;0,01;7,26;"Battery"
"2603610";"Limousin (FR63)";"United States (US)";10;10,99;0,04;0,04;11,62;"Semiconductors/Chips"
"3731410";"Limousin (FR63)";"United States (US)";3;4,62;0,01;0,02;6,9;"Biomaterials"
"1933311";"Limousin (FR63)";"United States (US)";1;6,25;0,01;0,01;7,87;"Hydrogen Fuel Cells"
"1605011";"Limousin (FR63)";"United States (US)";2;20;0,03;0,01;7,13;"Heat Pumps"
"1209115";"Limousin (FR63)";"United States (US)";1;12,5;0,02;0,03;12,69;"Satellite Connectivity"
"248848";"Limousin (FR63)";"United States (US)";1;25;0,01;0,01;17,7;"High-Performance Computing (HPC)"
"117792";"Limousin (FR63)";"United States (US)";16;10,46;0;0,01;19,15;"Other"
"261556";"Limousin (FR63)";"United States (US)";2;6,06;0,01;0,02;11,89;"Cybersecurity Technologies"
"462782";"Limousin (FR63)";"United States (US)";6;8,22;0,01;0,01;10,79;"Computer Vision, Language Processing & Object Recognition"
"383483";"Limousin (FR63)";"United States (US)";2;10,53;0,01;0,01;5,19;"Green Consumer Goods"
"355942";"Limousin (FR63)";"United States (US)";5;10,87;0,06;0,03;5,22;"Recycling"
"313382";"Limousin (FR63)";"United States (US)";7;30,43;0,02;0,01;10,24;"Robotics"
"637241";"Limousin (FR63)";"United States (US)";8;5,63;0;0,01;13,34;"Artificial Intelligence"
