"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1160";"Malaysia (MY)";"China (CN)";31;13,72;0,32;0,95;40,87;"Drones"
"541089";"Malaysia (MY)";"China (CN)";175;16,39;0,9;1,47;26,86;"Pollution Control"
"2921120";"Malaysia (MY)";"China (CN)";118;11,6;0,82;2,05;29;"Carbon Capture & Storage"
"2931119";"Malaysia (MY)";"China (CN)";72;7,64;0,54;1,55;22,11;"Sustainable Agriculture"
"3277107";"Malaysia (MY)";"China (CN)";291;15,89;2,14;2,9;21,49;"Biomass Energy"
"3619101";"Malaysia (MY)";"China (CN)";155;6,84;0,6;1,91;21,82;"Internet of Things (IoT)"
"1052157";"Malaysia (MY)";"China (CN)";33;16,75;0,45;1,06;39,44;"Hydroelectric Power"
"1037156";"Malaysia (MY)";"China (CN)";18;9,05;0,32;1,14;32,38;"Wind Energy"
"415468";"Malaysia (MY)";"China (CN)";168;15,23;0,53;1,27;36,46;"Water Management"
"398870";"Malaysia (MY)";"China (CN)";16;5,06;0,1;0,44;21,43;"Nuclear Energy"
"408560";"Malaysia (MY)";"China (CN)";213;11,51;0,8;1,62;23,25;"Solar Energy"
"3347100";"Malaysia (MY)";"China (CN)";118;9,04;0,62;1,5;21,85;"Cloud Computing & Edge Computing"
"767633";"Malaysia (MY)";"China (CN)";447;15,31;1,42;1,92;20,73;"Waste Management"
"2289107";"Malaysia (MY)";"China (CN)";122;19,27;0,29;0,66;43,6;"Generative AI"
"3021103";"Malaysia (MY)";"China (CN)";130;8,62;0,97;1,44;12,8;"Blockchain Technologies"
"364060";"Malaysia (MY)";"China (CN)";139;14,43;0,54;1,2;32,36;"Energy Efficiency"
"3341101";"Malaysia (MY)";"China (CN)";132;10,22;0,31;0,98;31,98;"Smart Grid"
"456939";"Malaysia (MY)";"China (CN)";154;8,4;0,81;1,76;18,28;"Green Building"
"379650";"Malaysia (MY)";"China (CN)";273;15,15;1,58;2,2;21,04;"Biofuels"
"833825";"Malaysia (MY)";"China (CN)";337;33,5;0,53;0,31;19,34;"Quantum Technologies"
"2281104";"Malaysia (MY)";"China (CN)";19;6,38;0,28;1,11;24,78;"Geothermal Energy"
"948923";"Malaysia (MY)";"China (CN)";554;15,13;0,6;1,1;27,65;"Environmental Engineering"
"330547";"Malaysia (MY)";"China (CN)";189;17,61;0,93;1,32;25,13;"EVs & Charging Infrastructure"
"427729";"Malaysia (MY)";"China (CN)";265;14,87;0,24;0,69;42,46;"Battery"
"478328";"Malaysia (MY)";"China (CN)";129;10,52;0,26;0,6;24,48;"Semiconductors/Chips"
"702518";"Malaysia (MY)";"China (CN)";440;7,42;0,51;1,78;26,04;"Biomaterials"
"344535";"Malaysia (MY)";"China (CN)";194;23,12;0,31;0,58;42,46;"Hydrogen Fuel Cells"
"300430";"Malaysia (MY)";"China (CN)";176;10,78;0,61;1,47;26,05;"Heat Pumps"
"370827";"Malaysia (MY)";"China (CN)";162;8,39;0,35;1,19;28,79;"Mobile Networks (5G/6G)"
"239930";"Malaysia (MY)";"China (CN)";20;15,38;0,19;0,41;33,92;"Satellite Connectivity"
"470320";"Malaysia (MY)";"China (CN)";56;12,67;0,36;0,62;21,74;"High-Performance Computing (HPC)"
"2106112";"Malaysia (MY)";"China (CN)";3123;15,73;0,68;0,82;18,88;"Other"
"470017";"Malaysia (MY)";"China (CN)";239;8,61;0,5;1,35;23,26;"Cybersecurity Technologies"
"283819";"Malaysia (MY)";"China (CN)";26;4,54;0,24;0,89;17,08;"Software Engineering & System Development"
"834051";"Malaysia (MY)";"China (CN)";720;15,13;0,3;0,71;36,18;"Computer Vision, Language Processing & Object Recognition"
"684113";"Malaysia (MY)";"China (CN)";875;13,07;1,35;2,49;24,08;"Green Consumer Goods"
"637412";"Malaysia (MY)";"China (CN)";521;14,5;1,3;2,11;23,53;"Recycling"
"568611";"Malaysia (MY)";"China (CN)";255;11,46;0,21;0,61;32,76;"Robotics"
"1158811";"Malaysia (MY)";"China (CN)";1126;8,62;0,42;0,93;18,93;"Artificial Intelligence"
