"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"404269";"Mali (ML)";"China (CN)";1;16,67;0;0,01;23,25;"Solar Energy"
"3374100";"Mali (ML)";"China (CN)";1;50;0,01;0;21,85;"Cloud Computing & Edge Computing"
"296880";"Mali (ML)";"China (CN)";1;100;0,01;0;12,8;"Blockchain Technologies"
"345560";"Mali (ML)";"China (CN)";3;150;0,01;0;32,36;"Energy Efficiency"
"818325";"Mali (ML)";"China (CN)";2;40;0;0;19,34;"Quantum Technologies"
"961323";"Mali (ML)";"China (CN)";1;7,14;0;0;27,65;"Environmental Engineering"
"328747";"Mali (ML)";"China (CN)";2;25;0,01;0,01;25,13;"EVs & Charging Infrastructure"
"479137";"Mali (ML)";"China (CN)";2;100;0;0;24,48;"Semiconductors/Chips"
"678625";"Mali (ML)";"China (CN)";1;20;0;0;26,04;"Biomaterials"
"210907";"Mali (ML)";"China (CN)";16;10,67;0;0,01;18,88;"Other"
"453017";"Mali (ML)";"China (CN)";2;50;0;0;23,26;"Cybersecurity Technologies"
"692113";"Mali (ML)";"China (CN)";1;25;0;0;24,08;"Green Consumer Goods"
"544811";"Mali (ML)";"China (CN)";1;100;0;0;32,76;"Robotics"
"1155711";"Mali (ML)";"China (CN)";3;4,17;0;0,01;18,93;"Artificial Intelligence"
