"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"26572";"Malta (MT00)";"United States (US)";6;40;0,13;0,02;6,42;"Pollution Control"
"1895626";"Malta (MT00)";"United States (US)";1;8,33;0,02;0,01;4,71;"Internet of Things (IoT)"
"1834522";"Malta (MT00)";"United States (US)";1;5,88;0,01;0,02;8,08;"Cloud Computing & Edge Computing"
"40055";"Malta (MT00)";"United States (US)";6;37,5;0,07;0,01;5,55;"Waste Management"
"1236030";"Malta (MT00)";"United States (US)";1;5,26;0,01;0,02;10,05;"Generative AI"
"1666224";"Malta (MT00)";"United States (US)";4;16,67;0,08;0,02;4,71;"Blockchain Technologies"
"1886919";"Malta (MT00)";"United States (US)";1;2,5;0,01;0,03;8,72;"Smart Grid"
"2368814";"Malta (MT00)";"United States (US)";1;2,38;0,01;0,04;6,77;"Green Building"
"44580";"Malta (MT00)";"United States (US)";6;42,86;0,02;0;11,32;"Quantum Technologies"
"1108128";"Malta (MT00)";"United States (US)";5;41,67;0,22;0,04;8,37;"Geothermal Energy"
"50819";"Malta (MT00)";"United States (US)";6;10,53;0,02;0,02;10,35;"Environmental Engineering"
"1874514";"Malta (MT00)";"United States (US)";3;9,09;0,05;0,04;7,17;"EVs & Charging Infrastructure"
"2392711";"Malta (MT00)";"United States (US)";3;16,67;0,02;0,01;7,26;"Battery"
"2597710";"Malta (MT00)";"United States (US)";1;33,33;0;0;11,62;"Semiconductors/Chips"
"1215014";"Malta (MT00)";"United States (US)";1;14,29;0,02;0,02;12,69;"Satellite Connectivity"
"118051";"Malta (MT00)";"United States (US)";98;28;0,02;0,01;19,15;"Other"
"263946";"Malta (MT00)";"United States (US)";6;9,68;0,02;0,03;11,89;"Cybersecurity Technologies"
"462142";"Malta (MT00)";"United States (US)";10;9,01;0,01;0,02;10,79;"Computer Vision, Language Processing & Object Recognition"
"383933";"Malta (MT00)";"United States (US)";6;21,43;0,04;0,01;5,19;"Green Consumer Goods"
"353702";"Malta (MT00)";"United States (US)";6;26,09;0,07;0,01;5,22;"Recycling"
"316013";"Malta (MT00)";"United States (US)";3;5,66;0,01;0,01;10,24;"Robotics"
"639921";"Malta (MT00)";"United States (US)";33;8,42;0,02;0,03;13,34;"Artificial Intelligence"
