"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1669731";"Moldova (MD)";"United States (US)";1;12,5;0,02;0,01;7,7;"Sustainable Agriculture"
"1703430";"Moldova (MD)";"United States (US)";1;9,09;0,02;0,02;6,73;"Biomass Energy"
"2093137";"Moldova (MD)";"United States (US)";3;10,71;0,05;0,03;6,37;"Water Management"
"2237518";"Moldova (MD)";"United States (US)";1;25;0,01;0,01;15,64;"Nuclear Energy"
"2019219";"Moldova (MD)";"United States (US)";2;10;0,04;0,02;6,84;"Biofuels"
"44661";"Moldova (MD)";"United States (US)";8;9,88;0,02;0,02;11,32;"Quantum Technologies"
"50718";"Moldova (MD)";"United States (US)";1;5,56;0;0,01;10,35;"Environmental Engineering"
"2381712";"Moldova (MD)";"United States (US)";1;5,56;0,01;0,01;7,26;"Battery"
"2584510";"Moldova (MD)";"United States (US)";2;2,2;0,01;0,04;11,62;"Semiconductors/Chips"
"1953910";"Moldova (MD)";"United States (US)";1;16,67;0,01;0;7,87;"Hydrogen Fuel Cells"
"210779";"Moldova (MD)";"United States (US)";1;10;0,01;0,01;7,52;"Mobile Networks (5G/6G)"
"247908";"Moldova (MD)";"United States (US)";1;100;0,01;0;17,7;"High-Performance Computing (HPC)"
"118107";"Moldova (MD)";"United States (US)";58;15,1;0,01;0,02;19,15;"Other"
"262736";"Moldova (MD)";"United States (US)";1;4,55;0;0,01;11,89;"Cybersecurity Technologies"
"464982";"Moldova (MD)";"United States (US)";3;15,79;0;0;10,79;"Computer Vision, Language Processing & Object Recognition"
"382043";"Moldova (MD)";"United States (US)";2;6,06;0,01;0,01;5,19;"Green Consumer Goods"
"313542";"Moldova (MD)";"United States (US)";3;4,41;0,01;0,02;10,24;"Robotics"
"636801";"Moldova (MD)";"United States (US)";11;7,1;0,01;0,01;13,34;"Artificial Intelligence"
