"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1212";"Nigeria (NG)";"China (CN)";3;6,25;0,03;0,2;40,87;"Drones"
"527356";"Nigeria (NG)";"China (CN)";57;11,54;0,29;0,68;26,86;"Pollution Control"
"2893109";"Nigeria (NG)";"China (CN)";13;9,7;0,09;0,27;29;"Carbon Capture & Storage"
"3056108";"Nigeria (NG)";"China (CN)";14;3,5;0,1;0,66;22,11;"Sustainable Agriculture"
"3211118";"Nigeria (NG)";"China (CN)";52;4,71;0,38;1,75;21,49;"Biomass Energy"
"3399106";"Nigeria (NG)";"China (CN)";15;2,01;0,06;0,63;21,82;"Internet of Things (IoT)"
"973157";"Nigeria (NG)";"China (CN)";8;14,55;0,11;0,3;39,44;"Hydroelectric Power"
"996156";"Nigeria (NG)";"China (CN)";10;35,71;0,18;0,16;32,38;"Wind Energy"
"3951103";"Nigeria (NG)";"China (CN)";48;7,67;0,15;0,72;36,46;"Water Management"
"415967";"Nigeria (NG)";"China (CN)";16;5,19;0,1;0,43;21,43;"Nuclear Energy"
"407199";"Nigeria (NG)";"China (CN)";27;4,56;0,1;0,52;23,25;"Solar Energy"
"347679";"Nigeria (NG)";"China (CN)";15;4,35;0,08;0,4;21,85;"Cloud Computing & Edge Computing"
"757633";"Nigeria (NG)";"China (CN)";103;4,96;0,33;1,37;20,73;"Waste Management"
"2346106";"Nigeria (NG)";"China (CN)";17;26,56;0,04;0,07;43,6;"Generative AI"
"2817103";"Nigeria (NG)";"China (CN)";16;4,36;0,12;0,35;12,8;"Blockchain Technologies"
"346460";"Nigeria (NG)";"China (CN)";16;3,53;0,06;0,56;32,36;"Energy Efficiency"
"351659";"Nigeria (NG)";"China (CN)";7;1,28;0,02;0,41;31,98;"Smart Grid"
"446439";"Nigeria (NG)";"China (CN)";22;2,66;0,12;0,79;18,28;"Green Building"
"385250";"Nigeria (NG)";"China (CN)";40;4,26;0,23;1,14;21,04;"Biofuels"
"806225";"Nigeria (NG)";"China (CN)";76;12,52;0,12;0,19;19,34;"Quantum Technologies"
"2298100";"Nigeria (NG)";"China (CN)";18;1,95;0,27;3,43;24,78;"Geothermal Energy"
"948223";"Nigeria (NG)";"China (CN)";140;7,75;0,15;0,54;27,65;"Environmental Engineering"
"334447";"Nigeria (NG)";"China (CN)";19;3,58;0,09;0,65;25,13;"EVs & Charging Infrastructure"
"429138";"Nigeria (NG)";"China (CN)";56;15,34;0,05;0,14;42,46;"Battery"
"459628";"Nigeria (NG)";"China (CN)";26;7,2;0,05;0,18;24,48;"Semiconductors/Chips"
"708918";"Nigeria (NG)";"China (CN)";91;4,89;0,11;0,56;26,04;"Biomaterials"
"336236";"Nigeria (NG)";"China (CN)";31;25,62;0,05;0,08;42,46;"Hydrogen Fuel Cells"
"293730";"Nigeria (NG)";"China (CN)";43;5,36;0,15;0,72;26,05;"Heat Pumps"
"371927";"Nigeria (NG)";"China (CN)";23;2,99;0,05;0,47;28,79;"Mobile Networks (5G/6G)"
"229030";"Nigeria (NG)";"China (CN)";4;5,71;0,04;0,22;33,92;"Satellite Connectivity"
"451120";"Nigeria (NG)";"China (CN)";6;4,35;0,04;0,19;21,74;"High-Performance Computing (HPC)"
"210677";"Nigeria (NG)";"China (CN)";837;5,8;0,18;0,6;18,88;"Other"
"471017";"Nigeria (NG)";"China (CN)";40;3,88;0,08;0,5;23,26;"Cybersecurity Technologies"
"279119";"Nigeria (NG)";"China (CN)";7;4,7;0,06;0,23;17,08;"Software Engineering & System Development"
"845451";"Nigeria (NG)";"China (CN)";70;7,22;0,03;0,14;36,18;"Computer Vision, Language Processing & Object Recognition"
"706041";"Nigeria (NG)";"China (CN)";112;5,52;0,17;0,75;24,08;"Green Consumer Goods"
"661212";"Nigeria (NG)";"China (CN)";81;7,01;0,2;0,68;23,53;"Recycling"
"566411";"Nigeria (NG)";"China (CN)";24;4,44;0,02;0,15;32,76;"Robotics"
"1161411";"Nigeria (NG)";"China (CN)";174;3,26;0,07;0,38;18,93;"Artificial Intelligence"
