"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"26771";"Nord-Est (RO21)";"United States (US)";3;8,33;0,06;0,05;6,42;"Pollution Control"
"1705144";"Nord-Est (RO21)";"United States (US)";1;4;0,02;0,04;6,73;"Biomass Energy"
"1907926";"Nord-Est (RO21)";"United States (US)";2;2,44;0,04;0,07;4,71;"Internet of Things (IoT)"
"2072822";"Nord-Est (RO21)";"United States (US)";3;5,08;0,05;0,07;6,37;"Water Management"
"2240017";"Nord-Est (RO21)";"United States (US)";1;1,35;0,01;0,06;6,49;"Solar Energy"
"1860822";"Nord-Est (RO21)";"United States (US)";4;6,9;0,06;0,07;8,08;"Cloud Computing & Edge Computing"
"39975";"Nord-Est (RO21)";"United States (US)";5;5,21;0,06;0,06;5,55;"Waste Management"
"1663823";"Nord-Est (RO21)";"United States (US)";3;6,98;0,06;0,04;4,71;"Blockchain Technologies"
"2373514";"Nord-Est (RO21)";"United States (US)";2;1,32;0,03;0,15;6,77;"Green Building"
"44750";"Nord-Est (RO21)";"United States (US)";104;80;0,28;0,04;11,32;"Quantum Technologies"
"50788";"Nord-Est (RO21)";"United States (US)";5;2,92;0,01;0,05;10,35;"Environmental Engineering"
"1883414";"Nord-Est (RO21)";"United States (US)";1;2,22;0,02;0,06;7,17;"EVs & Charging Infrastructure"
"2389511";"Nord-Est (RO21)";"United States (US)";5;9,62;0,03;0,02;7,26;"Battery"
"2574710";"Nord-Est (RO21)";"United States (US)";3;9,09;0,01;0,02;11,62;"Semiconductors/Chips"
"371456";"Nord-Est (RO21)";"United States (US)";10;2,73;0,04;0,11;6,9;"Biomaterials"
"1944115";"Nord-Est (RO21)";"United States (US)";3;11,54;0,03;0,02;7,87;"Hydrogen Fuel Cells"
"1593611";"Nord-Est (RO21)";"United States (US)";1;1,85;0,01;0,05;7,13;"Heat Pumps"
"2126310";"Nord-Est (RO21)";"United States (US)";2;3,23;0,02;0,04;7,52;"Mobile Networks (5G/6G)"
"1199214";"Nord-Est (RO21)";"United States (US)";1;14,29;0,02;0,02;12,69;"Satellite Connectivity"
"2472210";"Nord-Est (RO21)";"United States (US)";11;25,58;0,09;0,06;17,7;"High-Performance Computing (HPC)"
"117777";"Nord-Est (RO21)";"United States (US)";96;9,51;0,02;0,04;19,15;"Other"
"261326";"Nord-Est (RO21)";"United States (US)";5;4,35;0,02;0,06;11,89;"Cybersecurity Technologies"
"163536";"Nord-Est (RO21)";"United States (US)";1;6,67;0,01;0,02;14,5;"Software Engineering & System Development"
"464862";"Nord-Est (RO21)";"United States (US)";3;1,55;0;0,03;10,79;"Computer Vision, Language Processing & Object Recognition"
"381063";"Nord-Est (RO21)";"United States (US)";11;3,81;0,08;0,11;5,19;"Green Consumer Goods"
"354282";"Nord-Est (RO21)";"United States (US)";6;3,3;0,07;0,11;5,22;"Recycling"
"313732";"Nord-Est (RO21)";"United States (US)";3;1,18;0,01;0,07;10,24;"Robotics"
"637751";"Nord-Est (RO21)";"United States (US)";15;3,19;0,01;0,03;13,34;"Artificial Intelligence"
