"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"544956";"Nord-Norge (NO07)";"China (CN)";8;8,89;0,04;0,12;26,86;"Pollution Control"
"3049108";"Nord-Norge (NO07)";"China (CN)";2;28,57;0,01;0,01;22,11;"Sustainable Agriculture"
"3271119";"Nord-Norge (NO07)";"China (CN)";3;75;0,02;0,01;21,49;"Biomass Energy"
"402270";"Nord-Norge (NO07)";"China (CN)";2;28,57;0,01;0,01;21,43;"Nuclear Energy"
"751833";"Nord-Norge (NO07)";"China (CN)";5;7,81;0,02;0,04;20,73;"Waste Management"
"2182109";"Nord-Norge (NO07)";"China (CN)";9;34,62;0,02;0,03;43,6;"Generative AI"
"290480";"Nord-Norge (NO07)";"China (CN)";1;7,14;0,01;0,01;12,8;"Blockchain Technologies"
"353360";"Nord-Norge (NO07)";"China (CN)";4;12,12;0,02;0,04;32,36;"Energy Efficiency"
"3321102";"Nord-Norge (NO07)";"China (CN)";1;3,33;0;0,02;31,98;"Smart Grid"
"440159";"Nord-Norge (NO07)";"China (CN)";1;8,33;0,01;0,01;18,28;"Green Building"
"385850";"Nord-Norge (NO07)";"China (CN)";2;6,45;0,01;0,04;21,04;"Biofuels"
"807425";"Nord-Norge (NO07)";"China (CN)";1;3,7;0;0,01;19,34;"Quantum Technologies"
"247590";"Nord-Norge (NO07)";"China (CN)";2;100;0,03;0,01;24,78;"Geothermal Energy"
"957523";"Nord-Norge (NO07)";"China (CN)";5;5,88;0,01;0,03;27,65;"Environmental Engineering"
"323647";"Nord-Norge (NO07)";"China (CN)";1;4,35;0;0,03;25,13;"EVs & Charging Infrastructure"
"698925";"Nord-Norge (NO07)";"China (CN)";4;4,3;0;0,03;26,04;"Biomaterials"
"347929";"Nord-Norge (NO07)";"China (CN)";1;9,09;0;0,01;42,46;"Hydrogen Fuel Cells"
"306830";"Nord-Norge (NO07)";"China (CN)";2;50;0,01;0;26,05;"Heat Pumps"
"236830";"Nord-Norge (NO07)";"China (CN)";1;12,5;0,01;0,03;33,92;"Satellite Connectivity"
"211977";"Nord-Norge (NO07)";"China (CN)";184;8,81;0,04;0,09;18,88;"Other"
"455417";"Nord-Norge (NO07)";"China (CN)";3;10,34;0,01;0,01;23,26;"Cybersecurity Technologies"
"291019";"Nord-Norge (NO07)";"China (CN)";1;8,33;0,01;0,02;17,08;"Software Engineering & System Development"
"833351";"Nord-Norge (NO07)";"China (CN)";27;19,85;0,01;0,02;36,18;"Computer Vision, Language Processing & Object Recognition"
"689413";"Nord-Norge (NO07)";"China (CN)";7;7,14;0,01;0,04;24,08;"Green Consumer Goods"
"658012";"Nord-Norge (NO07)";"China (CN)";4;4,94;0,01;0,05;23,53;"Recycling"
"560211";"Nord-Norge (NO07)";"China (CN)";3;6,38;0;0,01;32,76;"Robotics"
"1176211";"Nord-Norge (NO07)";"China (CN)";23;4,36;0,01;0,04;18,93;"Artificial Intelligence"
