"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"26841";"Nord-Vest (RO11)";"United States (US)";2;4,26;0,04;0,06;6,42;"Pollution Control"
"1520732";"Nord-Vest (RO11)";"United States (US)";6;12,24;0,1;0,1;11,65;"Carbon Capture & Storage"
"1661150";"Nord-Vest (RO11)";"United States (US)";1;3,12;0,02;0,05;7,7;"Sustainable Agriculture"
"1716530";"Nord-Vest (RO11)";"United States (US)";1;2,56;0,02;0,06;6,73;"Biomass Energy"
"1892228";"Nord-Vest (RO11)";"United States (US)";6;4,92;0,11;0,1;4,71;"Internet of Things (IoT)"
"2066323";"Nord-Vest (RO11)";"United States (US)";7;17,07;0,13;0,05;6,37;"Water Management"
"2238518";"Nord-Vest (RO11)";"United States (US)";5;16,13;0,04;0,04;15,64;"Nuclear Energy"
"2247318";"Nord-Vest (RO11)";"United States (US)";4;4,6;0,05;0,08;6,49;"Solar Energy"
"1835822";"Nord-Vest (RO11)";"United States (US)";6;6,19;0,09;0,11;8,08;"Cloud Computing & Edge Computing"
"39964";"Nord-Vest (RO11)";"United States (US)";4;3,28;0,05;0,08;5,55;"Waste Management"
"1644423";"Nord-Vest (RO11)";"United States (US)";5;7,46;0,1;0,06;4,71;"Blockchain Technologies"
"1877019";"Nord-Vest (RO11)";"United States (US)";2;2,13;0,02;0,07;8,72;"Smart Grid"
"2365414";"Nord-Vest (RO11)";"United States (US)";3;1,66;0,04;0,17;6,77;"Green Building"
"2030122";"Nord-Vest (RO11)";"United States (US)";3;7,69;0,05;0,05;6,84;"Biofuels"
"44704";"Nord-Vest (RO11)";"United States (US)";116;158,9;0,31;0,02;11,32;"Quantum Technologies"
"1093129";"Nord-Vest (RO11)";"United States (US)";1;7,69;0,04;0,05;8,37;"Geothermal Energy"
"50887";"Nord-Vest (RO11)";"United States (US)";13;6,99;0,04;0,06;10,35;"Environmental Engineering"
"1872119";"Nord-Vest (RO11)";"United States (US)";3;2,78;0,05;0,13;7,17;"EVs & Charging Infrastructure"
"2379611";"Nord-Vest (RO11)";"United States (US)";3;1,75;0,02;0,07;7,26;"Battery"
"2575411";"Nord-Vest (RO11)";"United States (US)";2;4,26;0,01;0,02;11,62;"Semiconductors/Chips"
"3739112";"Nord-Vest (RO11)";"United States (US)";17;6,46;0,07;0,08;6,9;"Biomaterials"
"1946212";"Nord-Vest (RO11)";"United States (US)";1;1,82;0,01;0,04;7,87;"Hydrogen Fuel Cells"
"1590312";"Nord-Vest (RO11)";"United States (US)";3;4,69;0,04;0,06;7,13;"Heat Pumps"
"210799";"Nord-Vest (RO11)";"United States (US)";2;2,74;0,02;0,04;7,52;"Mobile Networks (5G/6G)"
"2489113";"Nord-Vest (RO11)";"United States (US)";4;6,78;0,03;0,08;17,7;"High-Performance Computing (HPC)"
"117814";"Nord-Vest (RO11)";"United States (US)";189;14,75;0,04;0,05;19,15;"Other"
"263146";"Nord-Vest (RO11)";"United States (US)";5;3,4;0,02;0,07;11,89;"Cybersecurity Technologies"
"164756";"Nord-Vest (RO11)";"United States (US)";2;2,13;0,02;0,15;14,5;"Software Engineering & System Development"
"463422";"Nord-Vest (RO11)";"United States (US)";10;2,54;0,01;0,06;10,79;"Computer Vision, Language Processing & Object Recognition"
"383093";"Nord-Vest (RO11)";"United States (US)";18;6,21;0,13;0,11;5,19;"Green Consumer Goods"
"356532";"Nord-Vest (RO11)";"United States (US)";4;2,17;0,04;0,11;5,22;"Recycling"
"313212";"Nord-Vest (RO11)";"United States (US)";21;4,82;0,06;0,12;10,24;"Robotics"
"639561";"Nord-Vest (RO11)";"United States (US)";29;3,58;0,02;0,06;13,34;"Artificial Intelligence"
