"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"542256";"Ostschweiz (CH05)";"China (CN)";1;9,09;0,01;0,02;26,86;"Pollution Control"
"427556";"Ostschweiz (CH05)";"China (CN)";11;28,21;0,04;0,03;23,25;"Solar Energy"
"357479";"Ostschweiz (CH05)";"China (CN)";1;10;0,01;0,01;21,85;"Cloud Computing & Edge Computing"
"298080";"Ostschweiz (CH05)";"China (CN)";1;5;0,01;0,02;12,8;"Blockchain Technologies"
"438839";"Ostschweiz (CH05)";"China (CN)";2;10;0,01;0,02;18,28;"Green Building"
"817525";"Ostschweiz (CH05)";"China (CN)";4;8;0,01;0,02;19,34;"Quantum Technologies"
"2284100";"Ostschweiz (CH05)";"China (CN)";1;25;0,01;0,01;24,78;"Geothermal Energy"
"928823";"Ostschweiz (CH05)";"China (CN)";7;12,96;0,01;0,02;27,65;"Environmental Engineering"
"482728";"Ostschweiz (CH05)";"China (CN)";2;11,76;0;0,01;24,48;"Semiconductors/Chips"
"695825";"Ostschweiz (CH05)";"China (CN)";7;16,28;0,01;0,01;26,04;"Biomaterials"
"308330";"Ostschweiz (CH05)";"China (CN)";1;7,14;0;0,01;26,05;"Heat Pumps"
"388227";"Ostschweiz (CH05)";"China (CN)";1;9,09;0;0,01;28,79;"Mobile Networks (5G/6G)"
"225030";"Ostschweiz (CH05)";"China (CN)";1;20;0,01;0,02;33,92;"Satellite Connectivity"
"464220";"Ostschweiz (CH05)";"China (CN)";1;11,11;0,01;0,01;21,74;"High-Performance Computing (HPC)"
"213537";"Ostschweiz (CH05)";"China (CN)";45;10,02;0,01;0,02;18,88;"Other"
"457917";"Ostschweiz (CH05)";"China (CN)";4;8,89;0,01;0,02;23,26;"Cybersecurity Technologies"
"276519";"Ostschweiz (CH05)";"China (CN)";1;2,13;0,01;0,07;17,08;"Software Engineering & System Development"
"834251";"Ostschweiz (CH05)";"China (CN)";3;3,26;0;0,01;36,18;"Computer Vision, Language Processing & Object Recognition"
"707441";"Ostschweiz (CH05)";"China (CN)";4;7,27;0,01;0,02;24,08;"Green Consumer Goods"
"545611";"Ostschweiz (CH05)";"China (CN)";3;4,05;0;0,02;32,76;"Robotics"
"1139811";"Ostschweiz (CH05)";"China (CN)";21;3,41;0,01;0,04;18,93;"Artificial Intelligence"
