"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"26612";"Ostschweiz (CH05)";"United States (US)";1;9,09;0,02;0,02;6,42;"Pollution Control"
"1511151";"Ostschweiz (CH05)";"United States (US)";1;50;0,02;0;11,65;"Carbon Capture & Storage"
"1656031";"Ostschweiz (CH05)";"United States (US)";2;200;0,04;0;7,7;"Sustainable Agriculture"
"1721332";"Ostschweiz (CH05)";"United States (US)";1;50;0,02;0;6,73;"Biomass Energy"
"1891726";"Ostschweiz (CH05)";"United States (US)";4;44,44;0,07;0,01;4,71;"Internet of Things (IoT)"
"2240617";"Ostschweiz (CH05)";"United States (US)";14;35,9;0,19;0,03;6,49;"Solar Energy"
"1858722";"Ostschweiz (CH05)";"United States (US)";3;30;0,04;0,01;8,08;"Cloud Computing & Edge Computing"
"1644324";"Ostschweiz (CH05)";"United States (US)";4;20;0,08;0,02;4,71;"Blockchain Technologies"
"2035125";"Ostschweiz (CH05)";"United States (US)";2;11,11;0,04;0,02;7,09;"Energy Efficiency"
"1894519";"Ostschweiz (CH05)";"United States (US)";1;16,67;0,01;0;8,72;"Smart Grid"
"2394216";"Ostschweiz (CH05)";"United States (US)";1;5;0,01;0,02;6,77;"Green Building"
"44667";"Ostschweiz (CH05)";"United States (US)";24;48;0,06;0,02;11,32;"Quantum Technologies"
"1095524";"Ostschweiz (CH05)";"United States (US)";5;125;0,22;0,01;8,37;"Geothermal Energy"
"50734";"Ostschweiz (CH05)";"United States (US)";10;18,52;0,03;0,02;10,35;"Environmental Engineering"
"1883514";"Ostschweiz (CH05)";"United States (US)";1;14,29;0,02;0,01;7,17;"EVs & Charging Infrastructure"
"2372611";"Ostschweiz (CH05)";"United States (US)";1;20;0,01;0;7,26;"Battery"
"2579212";"Ostschweiz (CH05)";"United States (US)";6;35,29;0,03;0,01;11,62;"Semiconductors/Chips"
"374356";"Ostschweiz (CH05)";"United States (US)";11;25,58;0,05;0,01;6,9;"Biomaterials"
"1953810";"Ostschweiz (CH05)";"United States (US)";2;14,29;0,02;0,01;7,87;"Hydrogen Fuel Cells"
"1597911";"Ostschweiz (CH05)";"United States (US)";2;14,29;0,03;0,01;7,13;"Heat Pumps"
"212059";"Ostschweiz (CH05)";"United States (US)";6;54,55;0,05;0,01;7,52;"Mobile Networks (5G/6G)"
"1215514";"Ostschweiz (CH05)";"United States (US)";4;80;0,1;0,02;12,69;"Satellite Connectivity"
"248558";"Ostschweiz (CH05)";"United States (US)";2;22,22;0,02;0,01;17,7;"High-Performance Computing (HPC)"
"117852";"Ostschweiz (CH05)";"United States (US)";158;35,19;0,03;0,02;19,15;"Other"
"262626";"Ostschweiz (CH05)";"United States (US)";10;22,22;0,04;0,02;11,89;"Cybersecurity Technologies"
"1622110";"Ostschweiz (CH05)";"United States (US)";6;12,77;0,06;0,07;14,5;"Software Engineering & System Development"
"465018";"Ostschweiz (CH05)";"United States (US)";14;15,22;0,02;0,01;10,79;"Computer Vision, Language Processing & Object Recognition"
"382773";"Ostschweiz (CH05)";"United States (US)";27;49,09;0,19;0,02;5,19;"Green Consumer Goods"
"354862";"Ostschweiz (CH05)";"United States (US)";10;22,73;0,11;0,03;5,22;"Recycling"
"314932";"Ostschweiz (CH05)";"United States (US)";5;6,76;0,01;0,02;10,24;"Robotics"
"638217";"Ostschweiz (CH05)";"United States (US)";75;12,2;0,04;0,04;13,34;"Artificial Intelligence"
