"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"26537";"Paraguay (PY)";"United States (US)";1;12,5;0,02;0,01;6,42;"Pollution Control"
"1905327";"Paraguay (PY)";"United States (US)";1;12,5;0,02;0,01;4,71;"Internet of Things (IoT)"
"2077422";"Paraguay (PY)";"United States (US)";2;28,57;0,04;0,01;6,37;"Water Management"
"2255818";"Paraguay (PY)";"United States (US)";1;33,33;0,01;0;15,64;"Nuclear Energy"
"2244917";"Paraguay (PY)";"United States (US)";1;8,33;0,01;0,01;6,49;"Solar Energy"
"1643224";"Paraguay (PY)";"United States (US)";1;12,5;0,02;0,01;4,71;"Blockchain Technologies"
"2035620";"Paraguay (PY)";"United States (US)";1;11,11;0,02;0,01;7,09;"Energy Efficiency"
"1881024";"Paraguay (PY)";"United States (US)";2;7,41;0,02;0,02;8,72;"Smart Grid"
"2025318";"Paraguay (PY)";"United States (US)";2;20;0,04;0,01;6,84;"Biofuels"
"44822";"Paraguay (PY)";"United States (US)";2;33,33;0,01;0;11,32;"Quantum Technologies"
"50590";"Paraguay (PY)";"United States (US)";5;29,41;0,01;0,01;10,35;"Environmental Engineering"
"1869914";"Paraguay (PY)";"United States (US)";1;9,09;0,02;0,01;7,17;"EVs & Charging Infrastructure"
"2380412";"Paraguay (PY)";"United States (US)";1;12,5;0,01;0;7,26;"Battery"
"2594115";"Paraguay (PY)";"United States (US)";1;14,29;0;0;11,62;"Semiconductors/Chips"
"373586";"Paraguay (PY)";"United States (US)";8;13,79;0,03;0,02;6,9;"Biomaterials"
"1930311";"Paraguay (PY)";"United States (US)";1;16,67;0,01;0;7,87;"Hydrogen Fuel Cells"
"1203614";"Paraguay (PY)";"United States (US)";1;25;0,02;0,01;12,69;"Satellite Connectivity"
"118114";"Paraguay (PY)";"United States (US)";100;24,88;0,02;0,02;19,15;"Other"
"262226";"Paraguay (PY)";"United States (US)";1;8,33;0;0,01;11,89;"Cybersecurity Technologies"
"463522";"Paraguay (PY)";"United States (US)";3;7,14;0;0,01;10,79;"Computer Vision, Language Processing & Object Recognition"
"380823";"Paraguay (PY)";"United States (US)";7;15,91;0,05;0,02;5,19;"Green Consumer Goods"
"354442";"Paraguay (PY)";"United States (US)";3;12,5;0,03;0,01;5,22;"Recycling"
"639851";"Paraguay (PY)";"United States (US)";5;7,25;0;0;13,34;"Artificial Intelligence"
