"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1256";"Provincia Autonoma di Trento (ITH2)";"China (CN)";3;20;0,03;0,06;40,87;"Drones"
"545255";"Provincia Autonoma di Trento (ITH2)";"China (CN)";1;2,78;0,01;0,05;26,86;"Pollution Control"
"3041120";"Provincia Autonoma di Trento (ITH2)";"China (CN)";1;3,12;0,01;0,05;22,11;"Sustainable Agriculture"
"3107107";"Provincia Autonoma di Trento (ITH2)";"China (CN)";4;12,9;0,03;0,05;21,49;"Biomass Energy"
"3436106";"Provincia Autonoma di Trento (ITH2)";"China (CN)";7;12,73;0,03;0,05;21,82;"Internet of Things (IoT)"
"414768";"Provincia Autonoma di Trento (ITH2)";"China (CN)";1;4,17;0;0,03;36,46;"Water Management"
"4011103";"Provincia Autonoma di Trento (ITH2)";"China (CN)";2;8;0,01;0,04;21,43;"Nuclear Energy"
"412199";"Provincia Autonoma di Trento (ITH2)";"China (CN)";2;6,25;0,01;0,03;23,25;"Solar Energy"
"3359100";"Provincia Autonoma di Trento (ITH2)";"China (CN)";2;4,35;0,01;0,05;21,85;"Cloud Computing & Edge Computing"
"759933";"Provincia Autonoma di Trento (ITH2)";"China (CN)";8;10,13;0,03;0,05;20,73;"Waste Management"
"2294107";"Provincia Autonoma di Trento (ITH2)";"China (CN)";52;46,43;0,12;0,12;43,6;"Generative AI"
"2835102";"Provincia Autonoma di Trento (ITH2)";"China (CN)";3;9,09;0,02;0,03;12,8;"Blockchain Technologies"
"350360";"Provincia Autonoma di Trento (ITH2)";"China (CN)";3;13,04;0,01;0,03;32,36;"Energy Efficiency"
"339570";"Provincia Autonoma di Trento (ITH2)";"China (CN)";3;8,33;0,01;0,03;31,98;"Smart Grid"
"389548";"Provincia Autonoma di Trento (ITH2)";"China (CN)";3;13,64;0,02;0,03;21,04;"Biofuels"
"813725";"Provincia Autonoma di Trento (ITH2)";"China (CN)";179;37,92;0,28;0,14;19,34;"Quantum Technologies"
"2275100";"Provincia Autonoma di Trento (ITH2)";"China (CN)";1;20;0,01;0,02;24,78;"Geothermal Energy"
"961823";"Provincia Autonoma di Trento (ITH2)";"China (CN)";15;7,77;0,02;0,06;27,65;"Environmental Engineering"
"403536";"Provincia Autonoma di Trento (ITH2)";"China (CN)";3;5,88;0;0,02;42,46;"Battery"
"480928";"Provincia Autonoma di Trento (ITH2)";"China (CN)";6;7,59;0,01;0,04;24,48;"Semiconductors/Chips"
"681325";"Provincia Autonoma di Trento (ITH2)";"China (CN)";8;4,06;0,01;0,06;26,04;"Biomaterials"
"335336";"Provincia Autonoma di Trento (ITH2)";"China (CN)";3;7,69;0;0,03;42,46;"Hydrogen Fuel Cells"
"298430";"Provincia Autonoma di Trento (ITH2)";"China (CN)";2;15,38;0,01;0,01;26,05;"Heat Pumps"
"371827";"Provincia Autonoma di Trento (ITH2)";"China (CN)";66;39,29;0,14;0,1;28,79;"Mobile Networks (5G/6G)"
"236430";"Provincia Autonoma di Trento (ITH2)";"China (CN)";3;8,57;0,03;0,11;33,92;"Satellite Connectivity"
"461420";"Provincia Autonoma di Trento (ITH2)";"China (CN)";5;10,64;0,03;0,07;21,74;"High-Performance Computing (HPC)"
"212467";"Provincia Autonoma di Trento (ITH2)";"China (CN)";112;10,8;0,02;0,04;18,88;"Other"
"458517";"Provincia Autonoma di Trento (ITH2)";"China (CN)";17;9,94;0,04;0,08;23,26;"Cybersecurity Technologies"
"287419";"Provincia Autonoma di Trento (ITH2)";"China (CN)";6;4,96;0,05;0,19;17,08;"Software Engineering & System Development"
"818751";"Provincia Autonoma di Trento (ITH2)";"China (CN)";228;28,15;0,09;0,12;36,18;"Computer Vision, Language Processing & Object Recognition"
"700741";"Provincia Autonoma di Trento (ITH2)";"China (CN)";4;2,58;0,01;0,06;24,08;"Green Consumer Goods"
"640412";"Provincia Autonoma di Trento (ITH2)";"China (CN)";3;3,53;0,01;0,05;23,53;"Recycling"
"553911";"Provincia Autonoma di Trento (ITH2)";"China (CN)";27;9,75;0,02;0,08;32,76;"Robotics"
"1168811";"Provincia Autonoma di Trento (ITH2)";"China (CN)";158;9,35;0,06;0,12;18,93;"Artificial Intelligence"
