"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"7049";"Provincia Autonoma di Trento (ITH2)";"United States (US)";4;26,67;0,23;0,06;7,33;"Drones"
"26554";"Provincia Autonoma di Trento (ITH2)";"United States (US)";3;8,33;0,06;0,05;6,42;"Pollution Control"
"1500333";"Provincia Autonoma di Trento (ITH2)";"United States (US)";1;14,29;0,02;0,01;11,65;"Carbon Capture & Storage"
"1667931";"Provincia Autonoma di Trento (ITH2)";"United States (US)";1;3,12;0,02;0,05;7,7;"Sustainable Agriculture"
"1709331";"Provincia Autonoma di Trento (ITH2)";"United States (US)";9;29,03;0,21;0,05;6,73;"Biomass Energy"
"1897026";"Provincia Autonoma di Trento (ITH2)";"United States (US)";19;34,55;0,34;0,05;4,71;"Internet of Things (IoT)"
"497455";"Provincia Autonoma di Trento (ITH2)";"United States (US)";1;16,67;0,11;0,03;5,05;"Hydroelectric Power"
"2090522";"Provincia Autonoma di Trento (ITH2)";"United States (US)";3;12,5;0,05;0,03;6,37;"Water Management"
"2236918";"Provincia Autonoma di Trento (ITH2)";"United States (US)";10;40;0,09;0,04;15,64;"Nuclear Energy"
"2246617";"Provincia Autonoma di Trento (ITH2)";"United States (US)";3;9,38;0,04;0,03;6,49;"Solar Energy"
"1858127";"Provincia Autonoma di Trento (ITH2)";"United States (US)";16;34,78;0,23;0,05;8,08;"Cloud Computing & Edge Computing"
"39885";"Provincia Autonoma di Trento (ITH2)";"United States (US)";14;17,72;0,17;0,05;5,55;"Waste Management"
"1231630";"Provincia Autonoma di Trento (ITH2)";"United States (US)";36;32,14;0,38;0,12;10,05;"Generative AI"
"1645823";"Provincia Autonoma di Trento (ITH2)";"United States (US)";9;27,27;0,18;0,03;4,71;"Blockchain Technologies"
"2022820";"Provincia Autonoma di Trento (ITH2)";"United States (US)";3;13,04;0,05;0,03;7,09;"Energy Efficiency"
"1885719";"Provincia Autonoma di Trento (ITH2)";"United States (US)";4;11,11;0,03;0,03;8,72;"Smart Grid"
"2379514";"Provincia Autonoma di Trento (ITH2)";"United States (US)";11;13,92;0,16;0,08;6,77;"Green Building"
"2033617";"Provincia Autonoma di Trento (ITH2)";"United States (US)";4;18,18;0,07;0,03;6,84;"Biofuels"
"44506";"Provincia Autonoma di Trento (ITH2)";"United States (US)";229;48,52;0,62;0,14;11,32;"Quantum Technologies"
"50681";"Provincia Autonoma di Trento (ITH2)";"United States (US)";49;25,39;0,14;0,06;10,35;"Environmental Engineering"
"1890014";"Provincia Autonoma di Trento (ITH2)";"United States (US)";2;9,52;0,03;0,03;7,17;"EVs & Charging Infrastructure"
"2381116";"Provincia Autonoma di Trento (ITH2)";"United States (US)";2;3,92;0,01;0,02;7,26;"Battery"
"2578710";"Provincia Autonoma di Trento (ITH2)";"United States (US)";10;12,66;0,04;0,04;11,62;"Semiconductors/Chips"
"373846";"Provincia Autonoma di Trento (ITH2)";"United States (US)";19;9,64;0,08;0,06;6,9;"Biomaterials"
"1936311";"Provincia Autonoma di Trento (ITH2)";"United States (US)";4;10,26;0,04;0,03;7,87;"Hydrogen Fuel Cells"
"211469";"Provincia Autonoma di Trento (ITH2)";"United States (US)";39;23,21;0,32;0,1;7,52;"Mobile Networks (5G/6G)"
"1217814";"Provincia Autonoma di Trento (ITH2)";"United States (US)";13;37,14;0,32;0,11;12,69;"Satellite Connectivity"
"247988";"Provincia Autonoma di Trento (ITH2)";"United States (US)";17;36,17;0,13;0,07;17,7;"High-Performance Computing (HPC)"
"118030";"Provincia Autonoma di Trento (ITH2)";"United States (US)";373;35,97;0,08;0,04;19,15;"Other"
"263526";"Provincia Autonoma di Trento (ITH2)";"United States (US)";41;23,98;0,17;0,08;11,89;"Cybersecurity Technologies"
"164566";"Provincia Autonoma di Trento (ITH2)";"United States (US)";16;13,22;0,17;0,19;14,5;"Software Engineering & System Development"
"463502";"Provincia Autonoma di Trento (ITH2)";"United States (US)";185;22,84;0,26;0,12;10,79;"Computer Vision, Language Processing & Object Recognition"
"381833";"Provincia Autonoma di Trento (ITH2)";"United States (US)";25;16,13;0,18;0,06;5,19;"Green Consumer Goods"
"353192";"Provincia Autonoma di Trento (ITH2)";"United States (US)";12;14,12;0,13;0,05;5,22;"Recycling"
"315682";"Provincia Autonoma di Trento (ITH2)";"United States (US)";64;23,1;0,17;0,08;10,24;"Robotics"
"638431";"Provincia Autonoma di Trento (ITH2)";"United States (US)";201;11,89;0,11;0,12;13,34;"Artificial Intelligence"
