"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"7077";"Rwanda (RW)";"United States (US)";1;100;0,06;0;7,33;"Drones"
"26626";"Rwanda (RW)";"United States (US)";3;75;0,06;0,01;6,42;"Pollution Control"
"1666831";"Rwanda (RW)";"United States (US)";8;17,78;0,17;0,07;7,7;"Sustainable Agriculture"
"1722530";"Rwanda (RW)";"United States (US)";1;16,67;0,02;0,01;6,73;"Biomass Energy"
"1912526";"Rwanda (RW)";"United States (US)";2;4,55;0,04;0,04;4,71;"Internet of Things (IoT)"
"2083422";"Rwanda (RW)";"United States (US)";4;28,57;0,07;0,02;6,37;"Water Management"
"2262817";"Rwanda (RW)";"United States (US)";2;11,76;0,03;0,01;6,49;"Solar Energy"
"1832224";"Rwanda (RW)";"United States (US)";1;5,26;0,01;0,02;8,08;"Cloud Computing & Edge Computing"
"40109";"Rwanda (RW)";"United States (US)";6;20;0,07;0,02;5,55;"Waste Management"
"1664324";"Rwanda (RW)";"United States (US)";2;20;0,04;0,01;4,71;"Blockchain Technologies"
"2026125";"Rwanda (RW)";"United States (US)";2;16,67;0,04;0,01;7,09;"Energy Efficiency"
"1878519";"Rwanda (RW)";"United States (US)";8;29,63;0,07;0,02;8,72;"Smart Grid"
"2382216";"Rwanda (RW)";"United States (US)";2;18,18;0,03;0,01;6,77;"Green Building"
"2038617";"Rwanda (RW)";"United States (US)";1;14,29;0,02;0,01;6,84;"Biofuels"
"44595";"Rwanda (RW)";"United States (US)";1;33,33;0;0;11,32;"Quantum Technologies"
"50546";"Rwanda (RW)";"United States (US)";15;24,59;0,04;0,02;10,35;"Environmental Engineering"
"1863414";"Rwanda (RW)";"United States (US)";9;20;0,15;0,06;7,17;"EVs & Charging Infrastructure"
"2399911";"Rwanda (RW)";"United States (US)";2;33,33;0,01;0;7,26;"Battery"
"371386";"Rwanda (RW)";"United States (US)";2;25;0,01;0;6,9;"Biomaterials"
"2122114";"Rwanda (RW)";"United States (US)";3;11,54;0,02;0,02;7,52;"Mobile Networks (5G/6G)"
"1195814";"Rwanda (RW)";"United States (US)";1;100;0,02;0;12,69;"Satellite Connectivity"
"2471410";"Rwanda (RW)";"United States (US)";1;16,67;0,01;0,01;17,7;"High-Performance Computing (HPC)"
"118038";"Rwanda (RW)";"United States (US)";244;46,92;0,05;0,02;19,15;"Other"
"263326";"Rwanda (RW)";"United States (US)";9;26,47;0,04;0,02;11,89;"Cybersecurity Technologies"
"163236";"Rwanda (RW)";"United States (US)";1;50;0,01;0;14,5;"Software Engineering & System Development"
"465252";"Rwanda (RW)";"United States (US)";14;35;0,02;0,01;10,79;"Computer Vision, Language Processing & Object Recognition"
"383783";"Rwanda (RW)";"United States (US)";3;20;0,02;0,01;5,19;"Green Consumer Goods"
"356662";"Rwanda (RW)";"United States (US)";2;13,33;0,02;0,01;5,22;"Recycling"
"314272";"Rwanda (RW)";"United States (US)";5;45,45;0,01;0;10,24;"Robotics"
"639791";"Rwanda (RW)";"United States (US)";26;13,76;0,01;0,01;13,34;"Artificial Intelligence"
