"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"7010";"Sri Lanka (LK)";"United States (US)";1;6,25;0,06;0,07;7,33;"Drones"
"26829";"Sri Lanka (LK)";"United States (US)";23;14,29;0,49;0,22;6,42;"Pollution Control"
"1522732";"Sri Lanka (LK)";"United States (US)";9;81,82;0,16;0,02;11,65;"Carbon Capture & Storage"
"1667147";"Sri Lanka (LK)";"United States (US)";5;2,07;0,11;0,4;7,7;"Sustainable Agriculture"
"1717630";"Sri Lanka (LK)";"United States (US)";8;9,76;0,19;0,13;6,73;"Biomass Energy"
"1913228";"Sri Lanka (LK)";"United States (US)";9;4,15;0,16;0,18;4,71;"Internet of Things (IoT)"
"503654";"Sri Lanka (LK)";"United States (US)";1;7,14;0,09;0,08;6,15;"Wind Energy"
"2086622";"Sri Lanka (LK)";"United States (US)";21;19,81;0,38;0,12;6,37;"Water Management"
"2232818";"Sri Lanka (LK)";"United States (US)";1;6,67;0,01;0,02;15,64;"Nuclear Energy"
"2241518";"Sri Lanka (LK)";"United States (US)";9;12,33;0,12;0,06;6,49;"Solar Energy"
"1845127";"Sri Lanka (LK)";"United States (US)";10;7,35;0,14;0,16;8,08;"Cloud Computing & Edge Computing"
"40144";"Sri Lanka (LK)";"United States (US)";46;12,2;0,55;0,25;5,55;"Waste Management"
"1240430";"Sri Lanka (LK)";"United States (US)";5;6,17;0,05;0,08;10,05;"Generative AI"
"1659623";"Sri Lanka (LK)";"United States (US)";16;12,31;0,32;0,12;4,71;"Blockchain Technologies"
"2022321";"Sri Lanka (LK)";"United States (US)";8;8,6;0,14;0,12;7,09;"Energy Efficiency"
"1886019";"Sri Lanka (LK)";"United States (US)";7;4,49;0,06;0,12;8,72;"Smart Grid"
"2390614";"Sri Lanka (LK)";"United States (US)";2;0,74;0,03;0,26;6,77;"Green Building"
"2039122";"Sri Lanka (LK)";"United States (US)";9;8,04;0,16;0,14;6,84;"Biofuels"
"44537";"Sri Lanka (LK)";"United States (US)";185;77,08;0,5;0,07;11,32;"Quantum Technologies"
"50760";"Sri Lanka (LK)";"United States (US)";47;10,11;0,14;0,14;10,35;"Environmental Engineering"
"1872514";"Sri Lanka (LK)";"United States (US)";2;2,94;0,03;0,08;7,17;"EVs & Charging Infrastructure"
"2393011";"Sri Lanka (LK)";"United States (US)";7;5,34;0,04;0,05;7,26;"Battery"
"2579010";"Sri Lanka (LK)";"United States (US)";9;15;0,04;0,03;11,62;"Semiconductors/Chips"
"372039";"Sri Lanka (LK)";"United States (US)";45;12,75;0,2;0,11;6,9;"Biomaterials"
"1946115";"Sri Lanka (LK)";"United States (US)";8;34,78;0,07;0,02;7,87;"Hydrogen Fuel Cells"
"1592911";"Sri Lanka (LK)";"United States (US)";3;13,04;0,04;0,02;7,13;"Heat Pumps"
"211949";"Sri Lanka (LK)";"United States (US)";17;10,9;0,14;0,1;7,52;"Mobile Networks (5G/6G)"
"1219814";"Sri Lanka (LK)";"United States (US)";4;57,14;0,1;0,02;12,69;"Satellite Connectivity"
"246178";"Sri Lanka (LK)";"United States (US)";8;11,11;0,06;0,1;17,7;"High-Performance Computing (HPC)"
"118074";"Sri Lanka (LK)";"United States (US)";508;18,48;0,11;0,11;19,15;"Other"
"262356";"Sri Lanka (LK)";"United States (US)";29;10,86;0,12;0,13;11,89;"Cybersecurity Technologies"
"162986";"Sri Lanka (LK)";"United States (US)";8;5,71;0,09;0,22;14,5;"Software Engineering & System Development"
"461762";"Sri Lanka (LK)";"United States (US)";46;6,74;0,06;0,1;10,79;"Computer Vision, Language Processing & Object Recognition"
"381815";"Sri Lanka (LK)";"United States (US)";50;9,9;0,36;0,19;5,19;"Green Consumer Goods"
"355242";"Sri Lanka (LK)";"United States (US)";48;10,98;0,54;0,26;5,22;"Recycling"
"313502";"Sri Lanka (LK)";"United States (US)";16;6,13;0,04;0,07;10,24;"Robotics"
"638501";"Sri Lanka (LK)";"United States (US)";92;6,77;0,05;0,1;13,34;"Artificial Intelligence"
