"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"26610";"Tirol (AT33)";"United States (US)";4;12,12;0,09;0,05;6,42;"Pollution Control"
"1514932";"Tirol (AT33)";"United States (US)";3;23,08;0,05;0,03;11,65;"Carbon Capture & Storage"
"1895926";"Tirol (AT33)";"United States (US)";2;8,33;0,04;0,02;4,71;"Internet of Things (IoT)"
"2088822";"Tirol (AT33)";"United States (US)";3;12;0,05;0,03;6,37;"Water Management"
"2256718";"Tirol (AT33)";"United States (US)";9;25,71;0,08;0,05;15,64;"Nuclear Energy"
"1859224";"Tirol (AT33)";"United States (US)";1;2,86;0,01;0,04;8,08;"Cloud Computing & Edge Computing"
"40176";"Tirol (AT33)";"United States (US)";4;8,7;0,05;0,03;5,55;"Waste Management"
"1221044";"Tirol (AT33)";"United States (US)";1;3,7;0,01;0,03;10,05;"Generative AI"
"1659128";"Tirol (AT33)";"United States (US)";6;30;0,12;0,02;4,71;"Blockchain Technologies"
"2032920";"Tirol (AT33)";"United States (US)";1;4,17;0,02;0,03;7,09;"Energy Efficiency"
"1898919";"Tirol (AT33)";"United States (US)";1;7,14;0,01;0,01;8,72;"Smart Grid"
"2388514";"Tirol (AT33)";"United States (US)";9;16,67;0,13;0,05;6,77;"Green Building"
"2040017";"Tirol (AT33)";"United States (US)";4;6,45;0,07;0,08;6,84;"Biofuels"
"44512";"Tirol (AT33)";"United States (US)";286;38,7;0,77;0,23;11,32;"Quantum Technologies"
"1093224";"Tirol (AT33)";"United States (US)";1;10;0,04;0,04;8,37;"Geothermal Energy"
"50561";"Tirol (AT33)";"United States (US)";58;34,73;0,17;0,05;10,35;"Environmental Engineering"
"2394412";"Tirol (AT33)";"United States (US)";1;2,22;0,01;0,02;7,26;"Battery"
"2582212";"Tirol (AT33)";"United States (US)";13;20,63;0,05;0,03;11,62;"Semiconductors/Chips"
"3717211";"Tirol (AT33)";"United States (US)";7;5,22;0,03;0,04;6,9;"Biomaterials"
"1939010";"Tirol (AT33)";"United States (US)";7;14,58;0,06;0,03;7,87;"Hydrogen Fuel Cells"
"2131510";"Tirol (AT33)";"United States (US)";3;25;0,02;0,01;7,52;"Mobile Networks (5G/6G)"
"1198014";"Tirol (AT33)";"United States (US)";1;50;0,02;0,01;12,69;"Satellite Connectivity"
"2461113";"Tirol (AT33)";"United States (US)";10;21,28;0,08;0,07;17,7;"High-Performance Computing (HPC)"
"118115";"Tirol (AT33)";"United States (US)";548;39,03;0,12;0,06;19,15;"Other"
"263006";"Tirol (AT33)";"United States (US)";15;24,19;0,06;0,03;11,89;"Cybersecurity Technologies"
"162576";"Tirol (AT33)";"United States (US)";9;14,29;0,1;0,1;14,5;"Software Engineering & System Development"
"464652";"Tirol (AT33)";"United States (US)";17;10,18;0,02;0,02;10,79;"Computer Vision, Language Processing & Object Recognition"
"382023";"Tirol (AT33)";"United States (US)";6;6,98;0,04;0,03;5,19;"Green Consumer Goods"
"354552";"Tirol (AT33)";"United States (US)";6;15,79;0,07;0,02;5,22;"Recycling"
"313352";"Tirol (AT33)";"United States (US)";16;13,01;0,04;0,03;10,24;"Robotics"
"636781";"Tirol (AT33)";"United States (US)";161;12,68;0,09;0,09;13,34;"Artificial Intelligence"
