"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"7111";"Uruguay (UY)";"United States (US)";1;33,33;0,06;0,01;7,33;"Drones"
"26524";"Uruguay (UY)";"United States (US)";7;38,89;0,15;0,02;6,42;"Pollution Control"
"1647831";"Uruguay (UY)";"United States (US)";14;51,85;0,3;0,04;7,7;"Sustainable Agriculture"
"1711431";"Uruguay (UY)";"United States (US)";11;26,19;0,26;0,07;6,73;"Biomass Energy"
"505049";"Uruguay (UY)";"United States (US)";1;50;0,09;0,01;6,15;"Wind Energy"
"2091031";"Uruguay (UY)";"United States (US)";10;32,26;0,18;0,04;6,37;"Water Management"
"2229818";"Uruguay (UY)";"United States (US)";1;33,33;0,01;0;15,64;"Nuclear Energy"
"2248517";"Uruguay (UY)";"United States (US)";3;11,54;0,04;0,02;6,49;"Solar Energy"
"1858822";"Uruguay (UY)";"United States (US)";2;6,06;0,03;0,04;8,08;"Cloud Computing & Edge Computing"
"40138";"Uruguay (UY)";"United States (US)";11;15,49;0,13;0,05;5,55;"Waste Management"
"1226730";"Uruguay (UY)";"United States (US)";4;26,67;0,04;0,02;10,05;"Generative AI"
"1651424";"Uruguay (UY)";"United States (US)";1;4,17;0,02;0,02;4,71;"Blockchain Technologies"
"2018520";"Uruguay (UY)";"United States (US)";4;14,81;0,07;0,03;7,09;"Energy Efficiency"
"1888124";"Uruguay (UY)";"United States (US)";8;34,78;0,07;0,02;8,72;"Smart Grid"
"2374914";"Uruguay (UY)";"United States (US)";4;17,39;0,06;0,02;6,77;"Green Building"
"2033517";"Uruguay (UY)";"United States (US)";6;8,7;0,11;0,08;6,84;"Biofuels"
"44648";"Uruguay (UY)";"United States (US)";19;28,79;0,05;0,02;11,32;"Quantum Technologies"
"50621";"Uruguay (UY)";"United States (US)";22;22,22;0,06;0,03;10,35;"Environmental Engineering"
"1873914";"Uruguay (UY)";"United States (US)";6;24;0,1;0,03;7,17;"EVs & Charging Infrastructure"
"2375811";"Uruguay (UY)";"United States (US)";6;14,29;0,03;0,02;7,26;"Battery"
"2587510";"Uruguay (UY)";"United States (US)";1;8,33;0;0,01;11,62;"Semiconductors/Chips"
"371776";"Uruguay (UY)";"United States (US)";5;5,81;0,02;0,03;6,9;"Biomaterials"
"1938311";"Uruguay (UY)";"United States (US)";4;25;0,04;0,01;7,87;"Hydrogen Fuel Cells"
"211479";"Uruguay (UY)";"United States (US)";3;7,89;0,02;0,02;7,52;"Mobile Networks (5G/6G)"
"1211814";"Uruguay (UY)";"United States (US)";1;100;0,02;0;12,69;"Satellite Connectivity"
"248068";"Uruguay (UY)";"United States (US)";3;7,5;0,02;0,06;17,7;"High-Performance Computing (HPC)"
"117876";"Uruguay (UY)";"United States (US)";372;26,76;0,08;0,06;19,15;"Other"
"2622111";"Uruguay (UY)";"United States (US)";5;9,26;0,02;0,03;11,89;"Cybersecurity Technologies"
"162946";"Uruguay (UY)";"United States (US)";5;16,13;0,05;0,05;14,5;"Software Engineering & System Development"
"462718";"Uruguay (UY)";"United States (US)";27;33,33;0,04;0,01;10,79;"Computer Vision, Language Processing & Object Recognition"
"383303";"Uruguay (UY)";"United States (US)";11;11,34;0,08;0,04;5,19;"Green Consumer Goods"
"354302";"Uruguay (UY)";"United States (US)";5;16,13;0,06;0,02;5,22;"Recycling"
"314732";"Uruguay (UY)";"United States (US)";19;33,93;0,05;0,02;10,24;"Robotics"
"638241";"Uruguay (UY)";"United States (US)";34;10,06;0,02;0,02;13,34;"Artificial Intelligence"
