"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"26605";"Utrecht (NL31)";"United States (US)";41;23,3;0,88;0,24;6,42;"Pollution Control"
"1506234";"Utrecht (NL31)";"United States (US)";40;40,82;0,69;0,2;11,65;"Carbon Capture & Storage"
"1652431";"Utrecht (NL31)";"United States (US)";15;57,69;0,32;0,04;7,7;"Sustainable Agriculture"
"1697143";"Utrecht (NL31)";"United States (US)";12;54,55;0,28;0,03;6,73;"Biomass Energy"
"1901036";"Utrecht (NL31)";"United States (US)";15;71,43;0,27;0,02;4,71;"Internet of Things (IoT)"
"496655";"Utrecht (NL31)";"United States (US)";1;12,5;0,11;0,04;5,05;"Hydroelectric Power"
"2087922";"Utrecht (NL31)";"United States (US)";25;25,25;0,45;0,11;6,37;"Water Management"
"2241818";"Utrecht (NL31)";"United States (US)";13;61,9;0,12;0,03;15,64;"Nuclear Energy"
"2259517";"Utrecht (NL31)";"United States (US)";24;41,38;0,32;0,05;6,49;"Solar Energy"
"1848323";"Utrecht (NL31)";"United States (US)";25;89,29;0,35;0,03;8,08;"Cloud Computing & Edge Computing"
"39959";"Utrecht (NL31)";"United States (US)";32;26,02;0,38;0,08;5,55;"Waste Management"
"1228930";"Utrecht (NL31)";"United States (US)";57;67,86;0,59;0,09;10,05;"Generative AI"
"1653623";"Utrecht (NL31)";"United States (US)";11;44;0,22;0,02;4,71;"Blockchain Technologies"
"2018720";"Utrecht (NL31)";"United States (US)";23;21,9;0,4;0,13;7,09;"Energy Efficiency"
"1898719";"Utrecht (NL31)";"United States (US)";10;20,41;0,09;0,04;8,72;"Smart Grid"
"2367714";"Utrecht (NL31)";"United States (US)";12;16,44;0,17;0,07;6,77;"Green Building"
"2041021";"Utrecht (NL31)";"United States (US)";29;33,33;0,52;0,11;6,84;"Biofuels"
"44536";"Utrecht (NL31)";"United States (US)";267;69,71;0,72;0,12;11,32;"Quantum Technologies"
"1094524";"Utrecht (NL31)";"United States (US)";17;22,37;0,75;0,28;8,37;"Geothermal Energy"
"50685";"Utrecht (NL31)";"United States (US)";288;42,92;0,83;0,2;10,35;"Environmental Engineering"
"1884714";"Utrecht (NL31)";"United States (US)";11;14,1;0,19;0,1;7,17;"EVs & Charging Infrastructure"
"2384811";"Utrecht (NL31)";"United States (US)";21;30;0,11;0,03;7,26;"Battery"
"2575810";"Utrecht (NL31)";"United States (US)";29;34,94;0,12;0,04;11,62;"Semiconductors/Chips"
"371506";"Utrecht (NL31)";"United States (US)";66;24;0,29;0,08;6,9;"Biomaterials"
"1949710";"Utrecht (NL31)";"United States (US)";23;31,51;0,2;0,05;7,87;"Hydrogen Fuel Cells"
"1612411";"Utrecht (NL31)";"United States (US)";4;11,76;0,05;0,03;7,13;"Heat Pumps"
"2132410";"Utrecht (NL31)";"United States (US)";26;72,22;0,21;0,02;7,52;"Mobile Networks (5G/6G)"
"1209814";"Utrecht (NL31)";"United States (US)";12;57,14;0,3;0,07;12,69;"Satellite Connectivity"
"246708";"Utrecht (NL31)";"United States (US)";52;70,27;0,41;0,1;17,7;"High-Performance Computing (HPC)"
"117942";"Utrecht (NL31)";"United States (US)";2592;50,72;0,56;0,21;19,15;"Other"
"262476";"Utrecht (NL31)";"United States (US)";68;66,02;0,28;0,05;11,89;"Cybersecurity Technologies"
"162656";"Utrecht (NL31)";"United States (US)";19;20,88;0,2;0,14;14,5;"Software Engineering & System Development"
"465052";"Utrecht (NL31)";"United States (US)";255;46,45;0,35;0,08;10,79;"Computer Vision, Language Processing & Object Recognition"
"384023";"Utrecht (NL31)";"United States (US)";37;17,7;0,27;0,08;5,19;"Green Consumer Goods"
"353462";"Utrecht (NL31)";"United States (US)";28;15,56;0,31;0,11;5,22;"Recycling"
"313632";"Utrecht (NL31)";"United States (US)";71;46,1;0,19;0,04;10,24;"Robotics"
"639091";"Utrecht (NL31)";"United States (US)";585;24,05;0,31;0,17;13,34;"Artificial Intelligence"
