"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"6978";"Vzhodna Slovenija (SI02)";"United States (US)";1;100;0,06;0;7,33;"Drones"
"26774";"Vzhodna Slovenija (SI02)";"United States (US)";6;4,11;0,13;0,2;6,42;"Pollution Control"
"1664031";"Vzhodna Slovenija (SI02)";"United States (US)";4;11,11;0,09;0,06;7,7;"Sustainable Agriculture"
"1721232";"Vzhodna Slovenija (SI02)";"United States (US)";3;4,55;0,07;0,1;6,73;"Biomass Energy"
"1900141";"Vzhodna Slovenija (SI02)";"United States (US)";8;17,02;0,14;0,04;4,71;"Internet of Things (IoT)"
"498355";"Vzhodna Slovenija (SI02)";"United States (US)";1;3,85;0,11;0,14;5,05;"Hydroelectric Power"
"2087137";"Vzhodna Slovenija (SI02)";"United States (US)";8;9,09;0,15;0,1;6,37;"Water Management"
"2241519";"Vzhodna Slovenija (SI02)";"United States (US)";52;35,14;0,47;0,21;15,64;"Nuclear Energy"
"2266123";"Vzhodna Slovenija (SI02)";"United States (US)";6;9,84;0,08;0,05;6,49;"Solar Energy"
"1855522";"Vzhodna Slovenija (SI02)";"United States (US)";7;17,95;0,1;0,04;8,08;"Cloud Computing & Edge Computing"
"40118";"Vzhodna Slovenija (SI02)";"United States (US)";6;3,28;0,07;0,12;5,55;"Waste Management"
"1224330";"Vzhodna Slovenija (SI02)";"United States (US)";7;17,95;0,07;0,04;10,05;"Generative AI"
"1646723";"Vzhodna Slovenija (SI02)";"United States (US)";5;5,62;0,1;0,09;4,71;"Blockchain Technologies"
"2025920";"Vzhodna Slovenija (SI02)";"United States (US)";6;8,82;0,11;0,08;7,09;"Energy Efficiency"
"1891124";"Vzhodna Slovenija (SI02)";"United States (US)";1;1,64;0,01;0,05;8,72;"Smart Grid"
"2391814";"Vzhodna Slovenija (SI02)";"United States (US)";19;8,96;0,27;0,2;6,77;"Green Building"
"2017817";"Vzhodna Slovenija (SI02)";"United States (US)";6;8,33;0,11;0,09;6,84;"Biofuels"
"44538";"Vzhodna Slovenija (SI02)";"United States (US)";249;51,45;0,67;0,15;11,32;"Quantum Technologies"
"1111324";"Vzhodna Slovenija (SI02)";"United States (US)";1;4,35;0,04;0,09;8,37;"Geothermal Energy"
"50844";"Vzhodna Slovenija (SI02)";"United States (US)";32;8,47;0,09;0,11;10,35;"Environmental Engineering"
"2392411";"Vzhodna Slovenija (SI02)";"United States (US)";10;4,41;0,05;0,09;7,26;"Battery"
"2604810";"Vzhodna Slovenija (SI02)";"United States (US)";19;15,83;0,08;0,06;11,62;"Semiconductors/Chips"
"374276";"Vzhodna Slovenija (SI02)";"United States (US)";33;6,07;0,14;0,16;6,9;"Biomaterials"
"1954610";"Vzhodna Slovenija (SI02)";"United States (US)";13;6,37;0,11;0,14;7,87;"Hydrogen Fuel Cells"
"1610711";"Vzhodna Slovenija (SI02)";"United States (US)";7;6,25;0,09;0,1;7,13;"Heat Pumps"
"212699";"Vzhodna Slovenija (SI02)";"United States (US)";7;16,28;0,06;0,03;7,52;"Mobile Networks (5G/6G)"
"1212514";"Vzhodna Slovenija (SI02)";"United States (US)";5;45,45;0,12;0,03;12,69;"Satellite Connectivity"
"246678";"Vzhodna Slovenija (SI02)";"United States (US)";12;27,27;0,09;0,06;17,7;"High-Performance Computing (HPC)"
"117863";"Vzhodna Slovenija (SI02)";"United States (US)";464;17,7;0,1;0,11;19,15;"Other"
"263036";"Vzhodna Slovenija (SI02)";"United States (US)";10;9,09;0,04;0,05;11,89;"Cybersecurity Technologies"
"162166";"Vzhodna Slovenija (SI02)";"United States (US)";5;11,9;0,05;0,07;14,5;"Software Engineering & System Development"
"463322";"Vzhodna Slovenija (SI02)";"United States (US)";54;10,98;0,07;0,07;10,79;"Computer Vision, Language Processing & Object Recognition"
"383143";"Vzhodna Slovenija (SI02)";"United States (US)";31;7,29;0,22;0,16;5,19;"Green Consumer Goods"
"354313";"Vzhodna Slovenija (SI02)";"United States (US)";19;7,01;0,21;0,16;5,22;"Recycling"
"315972";"Vzhodna Slovenija (SI02)";"United States (US)";36;10,91;0,1;0,09;10,24;"Robotics"
"640317";"Vzhodna Slovenija (SI02)";"United States (US)";157;10,39;0,08;0,11;13,34;"Artificial Intelligence"
