"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"517656";"Warmińsko-Mazurskie (PL62)";"China (CN)";2;3,64;0,01;0,08;26,86;"Pollution Control"
"2943109";"Warmińsko-Mazurskie (PL62)";"China (CN)";1;1,92;0,01;0,09;22,11;"Sustainable Agriculture"
"3062109";"Warmińsko-Mazurskie (PL62)";"China (CN)";1;1,23;0,01;0,13;21,49;"Biomass Energy"
"384450";"Warmińsko-Mazurskie (PL62)";"China (CN)";4;3,03;0,02;0,16;21,04;"Biofuels"
"817825";"Warmińsko-Mazurskie (PL62)";"China (CN)";1;11,11;0;0;19,34;"Quantum Technologies"
"946823";"Warmińsko-Mazurskie (PL62)";"China (CN)";1;1,15;0;0,03;27,65;"Environmental Engineering"
"700119";"Warmińsko-Mazurskie (PL62)";"China (CN)";4;5,06;0;0,02;26,04;"Biomaterials"
"212097";"Warmińsko-Mazurskie (PL62)";"China (CN)";20;2,29;0;0,04;18,88;"Other"
"831951";"Warmińsko-Mazurskie (PL62)";"China (CN)";6;25;0;0;36,18;"Computer Vision, Language Processing & Object Recognition"
"676913";"Warmińsko-Mazurskie (PL62)";"China (CN)";11;11,22;0,02;0,04;24,08;"Green Consumer Goods"
"655812";"Warmińsko-Mazurskie (PL62)";"China (CN)";1;1,61;0;0,04;23,53;"Recycling"
"557011";"Warmińsko-Mazurskie (PL62)";"China (CN)";1;5,88;0;0;32,76;"Robotics"
"1155211";"Warmińsko-Mazurskie (PL62)";"China (CN)";8;6,72;0;0,01;18,93;"Artificial Intelligence"
