"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1162";"West Midlands (UKG3)";"China (CN)";55;189,66;0,57;0,12;40,87;"Drones"
"517256";"West Midlands (UKG3)";"China (CN)";47;31,54;0,24;0,21;26,86;"Pollution Control"
"2912117";"West Midlands (UKG3)";"China (CN)";45;68,18;0,31;0,13;29;"Carbon Capture & Storage"
"3071119";"West Midlands (UKG3)";"China (CN)";14;45,16;0,1;0,05;22,11;"Sustainable Agriculture"
"3262108";"West Midlands (UKG3)";"China (CN)";64;49,23;0,47;0,21;21,49;"Biomass Energy"
"3395106";"West Midlands (UKG3)";"China (CN)";73;74,49;0,28;0,08;21,82;"Internet of Things (IoT)"
"1060157";"West Midlands (UKG3)";"China (CN)";12;63,16;0,16;0,1;39,44;"Hydroelectric Power"
"924156";"West Midlands (UKG3)";"China (CN)";17;47,22;0,3;0,21;32,38;"Wind Energy"
"399279";"West Midlands (UKG3)";"China (CN)";32;52,46;0,1;0,07;36,46;"Water Management"
"398070";"West Midlands (UKG3)";"China (CN)";31;37,8;0,2;0,12;21,43;"Nuclear Energy"
"421456";"West Midlands (UKG3)";"China (CN)";90;51,72;0,34;0,15;23,25;"Solar Energy"
"348779";"West Midlands (UKG3)";"China (CN)";50;50;0,26;0,11;21,85;"Cloud Computing & Edge Computing"
"772233";"West Midlands (UKG3)";"China (CN)";112;35,11;0,36;0,21;20,73;"Waste Management"
"2318106";"West Midlands (UKG3)";"China (CN)";84;94,38;0,2;0,09;43,6;"Generative AI"
"287880";"West Midlands (UKG3)";"China (CN)";61;47,66;0,46;0,12;12,8;"Blockchain Technologies"
"341679";"West Midlands (UKG3)";"China (CN)";75;72,82;0,29;0,13;32,36;"Energy Efficiency"
"337670";"West Midlands (UKG3)";"China (CN)";100;64,52;0,24;0,12;31,98;"Smart Grid"
"461939";"West Midlands (UKG3)";"China (CN)";44;29,33;0,23;0,14;18,28;"Green Building"
"379050";"West Midlands (UKG3)";"China (CN)";18;22,5;0,1;0,1;21,04;"Biofuels"
"806625";"West Midlands (UKG3)";"China (CN)";506;69,7;0,8;0,22;19,34;"Quantum Technologies"
"2269100";"West Midlands (UKG3)";"China (CN)";9;29,03;0,13;0,11;24,78;"Geothermal Energy"
"939623";"West Midlands (UKG3)";"China (CN)";243;48,21;0,26;0,15;27,65;"Environmental Engineering"
"327847";"West Midlands (UKG3)";"China (CN)";154;54,8;0,75;0,35;25,13;"EVs & Charging Infrastructure"
"404147";"West Midlands (UKG3)";"China (CN)";300;46,8;0,27;0,25;42,46;"Battery"
"481928";"West Midlands (UKG3)";"China (CN)";118;30,41;0,23;0,19;24,48;"Semiconductors/Chips"
"695225";"West Midlands (UKG3)";"China (CN)";121;24,64;0,14;0,15;26,04;"Biomaterials"
"331836";"West Midlands (UKG3)";"China (CN)";119;55,61;0,19;0,15;42,46;"Hydrogen Fuel Cells"
"307140";"West Midlands (UKG3)";"China (CN)";80;58,39;0,28;0,12;26,05;"Heat Pumps"
"371627";"West Midlands (UKG3)";"China (CN)";199;98,51;0,43;0,12;28,79;"Mobile Networks (5G/6G)"
"225830";"West Midlands (UKG3)";"China (CN)";46;158,62;0,43;0,09;33,92;"Satellite Connectivity"
"466420";"West Midlands (UKG3)";"China (CN)";28;39,44;0,18;0,1;21,74;"High-Performance Computing (HPC)"
"211207";"West Midlands (UKG3)";"China (CN)";978;36,22;0,21;0,11;18,88;"Other"
"461117";"West Midlands (UKG3)";"China (CN)";150;39,06;0,31;0,19;23,26;"Cybersecurity Technologies"
"286019";"West Midlands (UKG3)";"China (CN)";42;50;0,38;0,13;17,08;"Software Engineering & System Development"
"846251";"West Midlands (UKG3)";"China (CN)";416;43,97;0,17;0,14;36,18;"Computer Vision, Language Processing & Object Recognition"
"681513";"West Midlands (UKG3)";"China (CN)";173;44,25;0,27;0,15;24,08;"Green Consumer Goods"
"639312";"West Midlands (UKG3)";"China (CN)";162;38,94;0,4;0,24;23,53;"Recycling"
"555711";"West Midlands (UKG3)";"China (CN)";206;40,95;0,17;0,14;32,76;"Robotics"
"1175311";"West Midlands (UKG3)";"China (CN)";580;15,91;0,22;0,26;18,93;"Artificial Intelligence"
