"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"7094";"West Wales and The Valleys (UKL1)";"United States (US)";4;57,14;0,23;0,03;7,33;"Drones"
"26746";"West Wales and The Valleys (UKL1)";"United States (US)";17;18,48;0,36;0,13;6,42;"Pollution Control"
"1523532";"West Wales and The Valleys (UKL1)";"United States (US)";12;28,57;0,21;0,08;11,65;"Carbon Capture & Storage"
"1673031";"West Wales and The Valleys (UKL1)";"United States (US)";2;2,78;0,04;0,12;7,7;"Sustainable Agriculture"
"1718143";"West Wales and The Valleys (UKL1)";"United States (US)";7;13,46;0,16;0,08;6,73;"Biomass Energy"
"1900526";"West Wales and The Valleys (UKL1)";"United States (US)";5;50;0,09;0,01;4,71;"Internet of Things (IoT)"
"514848";"West Wales and The Valleys (UKL1)";"United States (US)";1;10;0,09;0,06;6,15;"Wind Energy"
"2064722";"West Wales and The Valleys (UKL1)";"United States (US)";8;29,63;0,15;0,03;6,37;"Water Management"
"2233518";"West Wales and The Valleys (UKL1)";"United States (US)";5;13,89;0,04;0,05;15,64;"Nuclear Energy"
"2263917";"West Wales and The Valleys (UKL1)";"United States (US)";18;13,53;0,24;0,12;6,49;"Solar Energy"
"1832522";"West Wales and The Valleys (UKL1)";"United States (US)";4;57,14;0,06;0,01;8,08;"Cloud Computing & Edge Computing"
"40098";"West Wales and The Valleys (UKL1)";"United States (US)";17;19,54;0,2;0,06;5,55;"Waste Management"
"1241144";"West Wales and The Valleys (UKL1)";"United States (US)";9;30;0,09;0,03;10,05;"Generative AI"
"1658923";"West Wales and The Valleys (UKL1)";"United States (US)";8;40;0,16;0,02;4,71;"Blockchain Technologies"
"2040619";"West Wales and The Valleys (UKL1)";"United States (US)";7;26,92;0,12;0,03;7,09;"Energy Efficiency"
"1888419";"West Wales and The Valleys (UKL1)";"United States (US)";7;18,42;0,06;0,03;8,72;"Smart Grid"
"2366414";"West Wales and The Valleys (UKL1)";"United States (US)";3;7,5;0,04;0,04;6,77;"Green Building"
"2042121";"West Wales and The Valleys (UKL1)";"United States (US)";8;11,76;0,14;0,08;6,84;"Biofuels"
"44650";"West Wales and The Valleys (UKL1)";"United States (US)";83;44,39;0,22;0,06;11,32;"Quantum Technologies"
"1104129";"West Wales and The Valleys (UKL1)";"United States (US)";2;50;0,09;0,01;8,37;"Geothermal Energy"
"50777";"West Wales and The Valleys (UKL1)";"United States (US)";52;46,85;0,15;0,03;10,35;"Environmental Engineering"
"1885014";"West Wales and The Valleys (UKL1)";"United States (US)";4;13,33;0,07;0,04;7,17;"EVs & Charging Infrastructure"
"2374213";"West Wales and The Valleys (UKL1)";"United States (US)";5;6,76;0,03;0,03;7,26;"Battery"
"2598312";"West Wales and The Valleys (UKL1)";"United States (US)";31;28,44;0,13;0,05;11,62;"Semiconductors/Chips"
"373546";"West Wales and The Valleys (UKL1)";"United States (US)";18;13,64;0,08;0,04;6,9;"Biomaterials"
"1934010";"West Wales and The Valleys (UKL1)";"United States (US)";2;6,25;0,02;0,02;7,87;"Hydrogen Fuel Cells"
"1611015";"West Wales and The Valleys (UKL1)";"United States (US)";2;10,53;0,03;0,02;7,13;"Heat Pumps"
"2133114";"West Wales and The Valleys (UKL1)";"United States (US)";12;22,64;0,1;0,03;7,52;"Mobile Networks (5G/6G)"
"1199814";"West Wales and The Valleys (UKL1)";"United States (US)";5;38,46;0,12;0,04;12,69;"Satellite Connectivity"
"2467113";"West Wales and The Valleys (UKL1)";"United States (US)";5;83,33;0,04;0,01;17,7;"High-Performance Computing (HPC)"
"117966";"West Wales and The Valleys (UKL1)";"United States (US)";917;58,19;0,2;0,07;19,15;"Other"
"263406";"West Wales and The Valleys (UKL1)";"United States (US)";15;20,83;0,06;0,04;11,89;"Cybersecurity Technologies"
"163446";"West Wales and The Valleys (UKL1)";"United States (US)";5;31,25;0,05;0,02;14,5;"Software Engineering & System Development"
"461632";"West Wales and The Valleys (UKL1)";"United States (US)";58;23,58;0,08;0,04;10,79;"Computer Vision, Language Processing & Object Recognition"
"382963";"West Wales and The Valleys (UKL1)";"United States (US)";15;15,96;0,11;0,03;5,19;"Green Consumer Goods"
"354372";"West Wales and The Valleys (UKL1)";"United States (US)";20;18,87;0,22;0,06;5,22;"Recycling"
"315162";"West Wales and The Valleys (UKL1)";"United States (US)";16;16,49;0,04;0,03;10,24;"Robotics"
"639231";"West Wales and The Valleys (UKL1)";"United States (US)";116;11,95;0,06;0,07;13,34;"Artificial Intelligence"
