"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1236";"Wielkopolskie (PL41)";"China (CN)";1;7,14;0,01;0,06;40,87;"Drones"
"516956";"Wielkopolskie (PL41)";"China (CN)";3;3,61;0,02;0,11;26,86;"Pollution Control"
"2861123";"Wielkopolskie (PL41)";"China (CN)";3;20;0,02;0,03;29;"Carbon Capture & Storage"
"2997108";"Wielkopolskie (PL41)";"China (CN)";1;1,08;0,01;0,15;22,11;"Sustainable Agriculture"
"3102115";"Wielkopolskie (PL41)";"China (CN)";3;1,8;0,02;0,26;21,49;"Biomass Energy"
"3405106";"Wielkopolskie (PL41)";"China (CN)";3;8,33;0,01;0,03;21,82;"Internet of Things (IoT)"
"405078";"Wielkopolskie (PL41)";"China (CN)";7;9,86;0,02;0,08;36,46;"Water Management"
"3951102";"Wielkopolskie (PL41)";"China (CN)";1;10;0,01;0,01;21,43;"Nuclear Energy"
"430187";"Wielkopolskie (PL41)";"China (CN)";1;2,56;0;0,03;23,25;"Solar Energy"
"353280";"Wielkopolskie (PL41)";"China (CN)";2;6,67;0,01;0,03;21,85;"Cloud Computing & Edge Computing"
"751146";"Wielkopolskie (PL41)";"China (CN)";14;5,71;0,04;0,16;20,73;"Waste Management"
"297299";"Wielkopolskie (PL41)";"China (CN)";3;6,82;0,02;0,04;12,8;"Blockchain Technologies"
"3331102";"Wielkopolskie (PL41)";"China (CN)";1;4;0;0,02;31,98;"Smart Grid"
"448339";"Wielkopolskie (PL41)";"China (CN)";3;2,19;0,02;0,13;18,28;"Green Building"
"393748";"Wielkopolskie (PL41)";"China (CN)";11;8,15;0,06;0,16;21,04;"Biofuels"
"831325";"Wielkopolskie (PL41)";"China (CN)";42;20,69;0,07;0,06;19,34;"Quantum Technologies"
"954323";"Wielkopolskie (PL41)";"China (CN)";28;11,34;0,03;0,07;27,65;"Environmental Engineering"
"329547";"Wielkopolskie (PL41)";"China (CN)";3;5;0,01;0,07;25,13;"EVs & Charging Infrastructure"
"422529";"Wielkopolskie (PL41)";"China (CN)";25;12,5;0,02;0,08;42,46;"Battery"
"468428";"Wielkopolskie (PL41)";"China (CN)";6;8,82;0,01;0,03;24,48;"Semiconductors/Chips"
"701019";"Wielkopolskie (PL41)";"China (CN)";23;3,17;0,03;0,22;26,04;"Biomaterials"
"328436";"Wielkopolskie (PL41)";"China (CN)";12;19,67;0,02;0,04;42,46;"Hydrogen Fuel Cells"
"291630";"Wielkopolskie (PL41)";"China (CN)";2;5,26;0,01;0,03;26,05;"Heat Pumps"
"372135";"Wielkopolskie (PL41)";"China (CN)";1;1,05;0;0,06;28,79;"Mobile Networks (5G/6G)"
"240330";"Wielkopolskie (PL41)";"China (CN)";1;12,5;0,01;0,03;33,92;"Satellite Connectivity"
"464720";"Wielkopolskie (PL41)";"China (CN)";3;7,69;0,02;0,05;21,74;"High-Performance Computing (HPC)"
"210287";"Wielkopolskie (PL41)";"China (CN)";210;8,8;0,05;0,1;18,88;"Other"
"477017";"Wielkopolskie (PL41)";"China (CN)";4;4,35;0,01;0,04;23,26;"Cybersecurity Technologies"
"812651";"Wielkopolskie (PL41)";"China (CN)";8;3,08;0;0,04;36,18;"Computer Vision, Language Processing & Object Recognition"
"687513";"Wielkopolskie (PL41)";"China (CN)";23;3,75;0,04;0,23;24,08;"Green Consumer Goods"
"643912";"Wielkopolskie (PL41)";"China (CN)";11;4,03;0,03;0,16;23,53;"Recycling"
"559411";"Wielkopolskie (PL41)";"China (CN)";13;4,17;0,01;0,09;32,76;"Robotics"
"1169011";"Wielkopolskie (PL41)";"China (CN)";40;4,66;0,02;0,06;18,93;"Artificial Intelligence"
