"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1299";"Australia (AU)";"China (CN)";276;71,5;2,84;1,62;40,87;"Drones"
"536256";"Australia (AU)";"China (CN)";503;45,89;2,58;1,51;26,86;"Pollution Control"
"2880109";"Australia (AU)";"China (CN)";401;37,79;2,78;2,14;29;"Carbon Capture & Storage"
"3027108";"Australia (AU)";"China (CN)";262;31,41;1,95;1,37;22,11;"Sustainable Agriculture"
"3210118";"Australia (AU)";"China (CN)";350;38,89;2,58;1,42;21,49;"Biomass Energy"
"3392108";"Australia (AU)";"China (CN)";855;63,19;3,3;1,14;21,82;"Internet of Things (IoT)"
"1028157";"Australia (AU)";"China (CN)";150;61,48;2,05;1,32;39,44;"Hydroelectric Power"
"923156";"Australia (AU)";"China (CN)";91;31,38;1,62;1,67;32,38;"Wind Energy"
"4141102";"Australia (AU)";"China (CN)";857;75,18;2,72;1,32;36,46;"Water Management"
"411767";"Australia (AU)";"China (CN)";139;31,24;0,91;0,63;21,43;"Nuclear Energy"
"414760";"Australia (AU)";"China (CN)";656;39,95;2,47;1,44;23,25;"Solar Energy"
"345280";"Australia (AU)";"China (CN)";832;64;4,36;1,49;21,85;"Cloud Computing & Edge Computing"
"768933";"Australia (AU)";"China (CN)";939;36,71;2,98;1,68;20,73;"Waste Management"
"2338106";"Australia (AU)";"China (CN)";1093;85,12;2,63;1,35;43,6;"Generative AI"
"2860102";"Australia (AU)";"China (CN)";612;44,12;4,57;1,32;12,8;"Blockchain Technologies"
"351560";"Australia (AU)";"China (CN)";431;37,71;1,66;1,42;32,36;"Energy Efficiency"
"338270";"Australia (AU)";"China (CN)";733;30,34;1,73;1,83;31,98;"Smart Grid"
"443439";"Australia (AU)";"China (CN)";653;32,36;3,43;1,94;18,28;"Green Building"
"392448";"Australia (AU)";"China (CN)";458;44,77;2,65;1,25;21,04;"Biofuels"
"827325";"Australia (AU)";"China (CN)";1480;42,46;2,34;1,06;19,34;"Quantum Technologies"
"239390";"Australia (AU)";"China (CN)";150;31,58;2,24;1,76;24,78;"Geothermal Energy"
"940623";"Australia (AU)";"China (CN)";2339;40,64;2,53;1,72;27,65;"Environmental Engineering"
"319647";"Australia (AU)";"China (CN)";417;31,24;2,04;1,64;25,13;"EVs & Charging Infrastructure"
"428629";"Australia (AU)";"China (CN)";3545;89,59;3,22;1,53;42,46;"Battery"
"475728";"Australia (AU)";"China (CN)";862;44,21;1,71;0,95;24,48;"Semiconductors/Chips"
"687925";"Australia (AU)";"China (CN)";1709;42,21;1,97;1,22;26,04;"Biomaterials"
"338936";"Australia (AU)";"China (CN)";2255;98,64;3,66;1,58;42,46;"Hydrogen Fuel Cells"
"293830";"Australia (AU)";"China (CN)";368;41,3;1,27;0,8;26,05;"Heat Pumps"
"397226";"Australia (AU)";"China (CN)";1495;81,83;3,19;1,12;28,79;"Mobile Networks (5G/6G)"
"236930";"Australia (AU)";"China (CN)";199;54,82;1,84;1,14;33,92;"Satellite Connectivity"
"462120";"Australia (AU)";"China (CN)";442;63,78;2,84;0,97;21,74;"High-Performance Computing (HPC)"
"212167";"Australia (AU)";"China (CN)";12939;28,14;2,83;1,9;18,88;"Other"
"465317";"Australia (AU)";"China (CN)";2082;50,18;4,35;2,02;23,26;"Cybersecurity Technologies"
"289419";"Australia (AU)";"China (CN)";540;53,05;4,9;1,58;17,08;"Software Engineering & System Development"
"839751";"Australia (AU)";"China (CN)";5085;55,91;2,1;1,36;36,18;"Computer Vision, Language Processing & Object Recognition"
"680113";"Australia (AU)";"China (CN)";1521;45,2;2,35;1,25;24,08;"Green Consumer Goods"
"655512";"Australia (AU)";"China (CN)";1119;40,51;2,79;1,62;23,53;"Recycling"
"546011";"Australia (AU)";"China (CN)";1354;38,39;1,14;0,97;32,76;"Robotics"
"1139611";"Australia (AU)";"China (CN)";7773;27,98;2,92;1,98;18,93;"Artificial Intelligence"
