"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"2969108";"Basilicata (ITF5)";"China (CN)";2;14,29;0,01;0,02;22,11;"Sustainable Agriculture"
"1021157";"Basilicata (ITF5)";"China (CN)";3;60;0,04;0,03;39,44;"Hydroelectric Power"
"3931103";"Basilicata (ITF5)";"China (CN)";4;66,67;0,03;0,01;21,43;"Nuclear Energy"
"403569";"Basilicata (ITF5)";"China (CN)";1;11,11;0;0,01;23,25;"Solar Energy"
"752933";"Basilicata (ITF5)";"China (CN)";2;8,7;0,01;0,02;20,73;"Waste Management"
"2143107";"Basilicata (ITF5)";"China (CN)";2;33,33;0;0,01;43,6;"Generative AI"
"827025";"Basilicata (ITF5)";"China (CN)";168;247,06;0,27;0,02;19,34;"Quantum Technologies"
"959623";"Basilicata (ITF5)";"China (CN)";30;19,87;0,03;0,05;27,65;"Environmental Engineering"
"710019";"Basilicata (ITF5)";"China (CN)";3;4,55;0;0,02;26,04;"Biomaterials"
"459520";"Basilicata (ITF5)";"China (CN)";1;100;0,01;0;21,74;"High-Performance Computing (HPC)"
"209447";"Basilicata (ITF5)";"China (CN)";76;11,08;0,02;0,03;18,88;"Other"
"826951";"Basilicata (ITF5)";"China (CN)";51;68,92;0,02;0,01;36,18;"Computer Vision, Language Processing & Object Recognition"
"676713";"Basilicata (ITF5)";"China (CN)";2;3,45;0;0,02;24,08;"Green Consumer Goods"
"1149011";"Basilicata (ITF5)";"China (CN)";16;8,94;0,01;0,01;18,93;"Artificial Intelligence"
