"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"7097";"Bremen (DE50)";"United States (US)";1;50;0,06;0,01;7,33;"Drones"
"26587";"Bremen (DE50)";"United States (US)";36;39,13;0,77;0,13;6,42;"Pollution Control"
"1507333";"Bremen (DE50)";"United States (US)";19;33,93;0,33;0,11;11,65;"Carbon Capture & Storage"
"1707331";"Bremen (DE50)";"United States (US)";2;16,67;0,05;0,02;6,73;"Biomass Energy"
"1911627";"Bremen (DE50)";"United States (US)";1;2,38;0,02;0,04;4,71;"Internet of Things (IoT)"
"507949";"Bremen (DE50)";"United States (US)";2;66,67;0,21;0,02;5,05;"Hydroelectric Power"
"502186";"Bremen (DE50)";"United States (US)";3;17,65;0,28;0,1;6,15;"Wind Energy"
"2064822";"Bremen (DE50)";"United States (US)";12;17,91;0,22;0,08;6,37;"Water Management"
"2252518";"Bremen (DE50)";"United States (US)";5;26,32;0,04;0,03;15,64;"Nuclear Energy"
"2259219";"Bremen (DE50)";"United States (US)";14;45,16;0,19;0,03;6,49;"Solar Energy"
"1849422";"Bremen (DE50)";"United States (US)";1;3,45;0,01;0,03;8,08;"Cloud Computing & Edge Computing"
"40079";"Bremen (DE50)";"United States (US)";23;26,14;0,27;0,06;5,55;"Waste Management"
"1225630";"Bremen (DE50)";"United States (US)";4;9,09;0,04;0,05;10,05;"Generative AI"
"1647023";"Bremen (DE50)";"United States (US)";3;15;0,06;0,02;4,71;"Blockchain Technologies"
"2033020";"Bremen (DE50)";"United States (US)";4;6,35;0,07;0,08;7,09;"Energy Efficiency"
"1885619";"Bremen (DE50)";"United States (US)";2;3,57;0,02;0,04;8,72;"Smart Grid"
"2381316";"Bremen (DE50)";"United States (US)";5;22,73;0,07;0,02;6,77;"Green Building"
"2029917";"Bremen (DE50)";"United States (US)";11;18,03;0,2;0,07;6,84;"Biofuels"
"44578";"Bremen (DE50)";"United States (US)";42;29,79;0,11;0,04;11,32;"Quantum Technologies"
"1106724";"Bremen (DE50)";"United States (US)";9;75;0,4;0,04;8,37;"Geothermal Energy"
"50496";"Bremen (DE50)";"United States (US)";82;29,5;0,24;0,08;10,35;"Environmental Engineering"
"1872814";"Bremen (DE50)";"United States (US)";3;4,76;0,05;0,08;7,17;"EVs & Charging Infrastructure"
"2384213";"Bremen (DE50)";"United States (US)";11;9,48;0,06;0,04;7,26;"Battery"
"2589212";"Bremen (DE50)";"United States (US)";28;19,18;0,12;0,07;11,62;"Semiconductors/Chips"
"3727112";"Bremen (DE50)";"United States (US)";12;7,45;0,05;0,05;6,9;"Biomaterials"
"1942010";"Bremen (DE50)";"United States (US)";8;9,41;0,07;0,06;7,87;"Hydrogen Fuel Cells"
"1590011";"Bremen (DE50)";"United States (US)";8;12,12;0,1;0,06;7,13;"Heat Pumps"
"212979";"Bremen (DE50)";"United States (US)";3;2,94;0,02;0,06;7,52;"Mobile Networks (5G/6G)"
"1197614";"Bremen (DE50)";"United States (US)";8;18,6;0,2;0,13;12,69;"Satellite Connectivity"
"2486113";"Bremen (DE50)";"United States (US)";11;13,92;0,09;0,11;17,7;"High-Performance Computing (HPC)"
"118070";"Bremen (DE50)";"United States (US)";2001;45,12;0,43;0,18;19,15;"Other"
"261256";"Bremen (DE50)";"United States (US)";9;12,86;0,04;0,03;11,89;"Cybersecurity Technologies"
"163986";"Bremen (DE50)";"United States (US)";3;3,66;0,03;0,13;14,5;"Software Engineering & System Development"
"465292";"Bremen (DE50)";"United States (US)";37;12,29;0,05;0,04;10,79;"Computer Vision, Language Processing & Object Recognition"
"381273";"Bremen (DE50)";"United States (US)";5;4,85;0,04;0,04;5,19;"Green Consumer Goods"
"356082";"Bremen (DE50)";"United States (US)";18;15,52;0,2;0,07;5,22;"Recycling"
"316002";"Bremen (DE50)";"United States (US)";20;7,43;0,05;0,07;10,24;"Robotics"
"637061";"Bremen (DE50)";"United States (US)";118;11,92;0,06;0,07;13,34;"Artificial Intelligence"
