"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"7035";"Centro (PT) (PT16)";"United States (US)";3;12,5;0,17;0,1;7,33;"Drones"
"26727";"Centro (PT) (PT16)";"United States (US)";10;3,42;0,21;0,4;6,42;"Pollution Control"
"1502032";"Centro (PT) (PT16)";"United States (US)";6;12,77;0,1;0,09;11,65;"Carbon Capture & Storage"
"1663031";"Centro (PT) (PT16)";"United States (US)";2;1,77;0,04;0,19;7,7;"Sustainable Agriculture"
"1723144";"Centro (PT) (PT16)";"United States (US)";8;6,3;0,19;0,2;6,73;"Biomass Energy"
"1903026";"Centro (PT) (PT16)";"United States (US)";18;6,1;0,32;0,25;4,71;"Internet of Things (IoT)"
"509349";"Centro (PT) (PT16)";"United States (US)";1;10;0,11;0,05;5,05;"Hydroelectric Power"
"2078922";"Centro (PT) (PT16)";"United States (US)";12;7,02;0,22;0,2;6,37;"Water Management"
"2244518";"Centro (PT) (PT16)";"United States (US)";4;10,81;0,04;0,05;15,64;"Nuclear Energy"
"2263318";"Centro (PT) (PT16)";"United States (US)";7;7,78;0,09;0,08;6,49;"Solar Energy"
"1853522";"Centro (PT) (PT16)";"United States (US)";20;7,3;0,28;0,31;8,08;"Cloud Computing & Edge Computing"
"39924";"Centro (PT) (PT16)";"United States (US)";24;5,84;0,29;0,27;5,55;"Waste Management"
"1233030";"Centro (PT) (PT16)";"United States (US)";2;1,89;0,02;0,11;10,05;"Generative AI"
"1645923";"Centro (PT) (PT16)";"United States (US)";5;4,59;0,1;0,1;4,71;"Blockchain Technologies"
"2037420";"Centro (PT) (PT16)";"United States (US)";3;3,26;0,05;0,11;7,09;"Energy Efficiency"
"1876519";"Centro (PT) (PT16)";"United States (US)";12;8,28;0,1;0,11;8,72;"Smart Grid"
"2392414";"Centro (PT) (PT16)";"United States (US)";15;3,58;0,21;0,4;6,77;"Green Building"
"2023122";"Centro (PT) (PT16)";"United States (US)";10;3,62;0,18;0,34;6,84;"Biofuels"
"44557";"Centro (PT) (PT16)";"United States (US)";141;39,94;0,38;0,11;11,32;"Quantum Technologies"
"1095024";"Centro (PT) (PT16)";"United States (US)";2;6,06;0,09;0,12;8,37;"Geothermal Energy"
"50696";"Centro (PT) (PT16)";"United States (US)";37;6,62;0,11;0,17;10,35;"Environmental Engineering"
"1867514";"Centro (PT) (PT16)";"United States (US)";14;11,57;0,24;0,15;7,17;"EVs & Charging Infrastructure"
"2396213";"Centro (PT) (PT16)";"United States (US)";12;6,32;0,06;0,07;7,26;"Battery"
"2600610";"Centro (PT) (PT16)";"United States (US)";13;6,13;0,05;0,1;11,62;"Semiconductors/Chips"
"373796";"Centro (PT) (PT16)";"United States (US)";51;5,08;0,22;0,3;6,9;"Biomaterials"
"1952910";"Centro (PT) (PT16)";"United States (US)";4;3,33;0,04;0,08;7,87;"Hydrogen Fuel Cells"
"1614011";"Centro (PT) (PT16)";"United States (US)";6;6,98;0,08;0,08;7,13;"Heat Pumps"
"2127310";"Centro (PT) (PT16)";"United States (US)";27;7,63;0,22;0,22;7,52;"Mobile Networks (5G/6G)"
"1202714";"Centro (PT) (PT16)";"United States (US)";6;16,22;0,15;0,12;12,69;"Satellite Connectivity"
"248568";"Centro (PT) (PT16)";"United States (US)";13;12,15;0,1;0,15;17,7;"High-Performance Computing (HPC)"
"118085";"Centro (PT) (PT16)";"United States (US)";590;14,04;0,13;0,17;19,15;"Other"
"263786";"Centro (PT) (PT16)";"United States (US)";18;5,7;0,07;0,15;11,89;"Cybersecurity Technologies"
"1633110";"Centro (PT) (PT16)";"United States (US)";11;6,59;0,12;0,26;14,5;"Software Engineering & System Development"
"462932";"Centro (PT) (PT16)";"United States (US)";64;7,87;0,09;0,12;10,79;"Computer Vision, Language Processing & Object Recognition"
"383393";"Centro (PT) (PT16)";"United States (US)";34;3,22;0,24;0,39;5,19;"Green Consumer Goods"
"354702";"Centro (PT) (PT16)";"United States (US)";22;3,39;0,25;0,38;5,22;"Recycling"
"314132";"Centro (PT) (PT16)";"United States (US)";27;7,03;0,07;0,11;10,24;"Robotics"
"637991";"Centro (PT) (PT16)";"United States (US)";104;6,75;0,06;0,11;13,34;"Artificial Intelligence"
