"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"26686";"Champagne-Ardenne (FR21)";"United States (US)";2;22,22;0,04;0,01;6,42;"Pollution Control"
"1504732";"Champagne-Ardenne (FR21)";"United States (US)";2;100;0,03;0;11,65;"Carbon Capture & Storage"
"1914141";"Champagne-Ardenne (FR21)";"United States (US)";1;4,55;0,02;0,02;4,71;"Internet of Things (IoT)"
"1834128";"Champagne-Ardenne (FR21)";"United States (US)";1;4,17;0,01;0,03;8,08;"Cloud Computing & Edge Computing"
"39913";"Champagne-Ardenne (FR21)";"United States (US)";1;5,88;0,01;0,01;5,55;"Waste Management"
"1641823";"Champagne-Ardenne (FR21)";"United States (US)";1;9,09;0,02;0,01;4,71;"Blockchain Technologies"
"2027017";"Champagne-Ardenne (FR21)";"United States (US)";1;1,56;0,02;0,08;6,84;"Biofuels"
"44798";"Champagne-Ardenne (FR21)";"United States (US)";3;7,89;0,01;0,01;11,32;"Quantum Technologies"
"50793";"Champagne-Ardenne (FR21)";"United States (US)";14;21,88;0,04;0,02;10,35;"Environmental Engineering"
"373706";"Champagne-Ardenne (FR21)";"United States (US)";6;3,59;0,03;0,05;6,9;"Biomaterials"
"1589911";"Champagne-Ardenne (FR21)";"United States (US)";1;4;0,01;0,02;7,13;"Heat Pumps"
"2123114";"Champagne-Ardenne (FR21)";"United States (US)";3;5,45;0,02;0,03;7,52;"Mobile Networks (5G/6G)"
"1218115";"Champagne-Ardenne (FR21)";"United States (US)";4;66,67;0,1;0,02;12,69;"Satellite Connectivity"
"117743";"Champagne-Ardenne (FR21)";"United States (US)";77;23,91;0,02;0,01;19,15;"Other"
"263846";"Champagne-Ardenne (FR21)";"United States (US)";5;15,62;0,02;0,02;11,89;"Cybersecurity Technologies"
"163136";"Champagne-Ardenne (FR21)";"United States (US)";1;10;0,01;0,02;14,5;"Software Engineering & System Development"
"463108";"Champagne-Ardenne (FR21)";"United States (US)";5;4,85;0,01;0,02;10,79;"Computer Vision, Language Processing & Object Recognition"
"383816";"Champagne-Ardenne (FR21)";"United States (US)";4;2,86;0,03;0,05;5,19;"Green Consumer Goods"
"353182";"Champagne-Ardenne (FR21)";"United States (US)";2;3,45;0,02;0,03;5,22;"Recycling"
"316502";"Champagne-Ardenne (FR21)";"United States (US)";4;5,63;0,01;0,02;10,24;"Robotics"
"638571";"Champagne-Ardenne (FR21)";"United States (US)";8;3,76;0;0,02;13,34;"Artificial Intelligence"
