"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"523756";"Costa Rica (CR)";"China (CN)";1;4,55;0,01;0,03;26,86;"Pollution Control"
"3120108";"Costa Rica (CR)";"China (CN)";1;5,56;0,01;0,03;22,11;"Sustainable Agriculture"
"452339";"Costa Rica (CR)";"China (CN)";1;3,7;0,01;0,03;18,28;"Green Building"
"387650";"Costa Rica (CR)";"China (CN)";4;5,88;0,02;0,08;21,04;"Biofuels"
"819130";"Costa Rica (CR)";"China (CN)";5;62,5;0,01;0;19,34;"Quantum Technologies"
"928323";"Costa Rica (CR)";"China (CN)";4;4,44;0;0,03;27,65;"Environmental Engineering"
"320647";"Costa Rica (CR)";"China (CN)";1;3,45;0;0,04;25,13;"EVs & Charging Infrastructure"
"432229";"Costa Rica (CR)";"China (CN)";2;10,53;0;0,01;42,46;"Battery"
"695129";"Costa Rica (CR)";"China (CN)";4;4,26;0;0,03;26,04;"Biomaterials"
"391826";"Costa Rica (CR)";"China (CN)";1;16,67;0;0;28,79;"Mobile Networks (5G/6G)"
"209667";"Costa Rica (CR)";"China (CN)";65;4,61;0,01;0,06;18,88;"Other"
"817951";"Costa Rica (CR)";"China (CN)";1;1,52;0;0,01;36,18;"Computer Vision, Language Processing & Object Recognition"
"691913";"Costa Rica (CR)";"China (CN)";3;4,23;0;0,03;24,08;"Green Consumer Goods"
"636712";"Costa Rica (CR)";"China (CN)";1;3,45;0;0,02;23,53;"Recycling"
"1175711";"Costa Rica (CR)";"China (CN)";4;1,44;0;0,02;18,93;"Artificial Intelligence"
