"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1266";"Gelderland (NL22)";"China (CN)";2;18,18;0,02;0,05;40,87;"Drones"
"534556";"Gelderland (NL22)";"China (CN)";59;18,38;0,3;0,44;26,86;"Pollution Control"
"2771126";"Gelderland (NL22)";"China (CN)";7;12,28;0,05;0,11;29;"Carbon Capture & Storage"
"3077108";"Gelderland (NL22)";"China (CN)";28;11,52;0,21;0,4;22,11;"Sustainable Agriculture"
"3272108";"Gelderland (NL22)";"China (CN)";13;14,29;0,1;0,14;21,49;"Biomass Energy"
"3424106";"Gelderland (NL22)";"China (CN)";4;23,53;0,02;0,01;21,82;"Internet of Things (IoT)"
"1109157";"Gelderland (NL22)";"China (CN)";1;14,29;0,01;0,04;39,44;"Hydroelectric Power"
"1000156";"Gelderland (NL22)";"China (CN)";5;20;0,09;0,14;32,38;"Wind Energy"
"412368";"Gelderland (NL22)";"China (CN)";34;22,08;0,11;0,18;36,46;"Water Management"
"411967";"Gelderland (NL22)";"China (CN)";1;16,67;0,01;0,01;21,43;"Nuclear Energy"
"424656";"Gelderland (NL22)";"China (CN)";5;9,43;0,02;0,05;23,25;"Solar Energy"
"3430100";"Gelderland (NL22)";"China (CN)";6;35,29;0,03;0,02;21,85;"Cloud Computing & Edge Computing"
"756633";"Gelderland (NL22)";"China (CN)";75;17,01;0,24;0,29;20,73;"Waste Management"
"2186107";"Gelderland (NL22)";"China (CN)";8;21,05;0,02;0,04;43,6;"Generative AI"
"2833103";"Gelderland (NL22)";"China (CN)";4;30,77;0,03;0,01;12,8;"Blockchain Technologies"
"345060";"Gelderland (NL22)";"China (CN)";5;12,82;0,02;0,05;32,36;"Energy Efficiency"
"344659";"Gelderland (NL22)";"China (CN)";4;12,12;0,01;0,02;31,98;"Smart Grid"
"458239";"Gelderland (NL22)";"China (CN)";2;5;0,01;0,04;18,28;"Green Building"
"398248";"Gelderland (NL22)";"China (CN)";21;7,45;0,12;0,34;21,04;"Biofuels"
"813425";"Gelderland (NL22)";"China (CN)";130;43,33;0,21;0,09;19,34;"Quantum Technologies"
"244790";"Gelderland (NL22)";"China (CN)";3;25;0,04;0,04;24,78;"Geothermal Energy"
"931923";"Gelderland (NL22)";"China (CN)";144;20,93;0,16;0,21;27,65;"Environmental Engineering"
"328347";"Gelderland (NL22)";"China (CN)";3;18,75;0,01;0,02;25,13;"EVs & Charging Infrastructure"
"428229";"Gelderland (NL22)";"China (CN)";14;29,17;0,01;0,02;42,46;"Battery"
"460136";"Gelderland (NL22)";"China (CN)";6;12;0,01;0,02;24,48;"Semiconductors/Chips"
"683625";"Gelderland (NL22)";"China (CN)";88;22,92;0,1;0,12;26,04;"Biomaterials"
"327636";"Gelderland (NL22)";"China (CN)";19;32,2;0,03;0,04;42,46;"Hydrogen Fuel Cells"
"285837";"Gelderland (NL22)";"China (CN)";2;10;0,01;0,02;26,05;"Heat Pumps"
"384027";"Gelderland (NL22)";"China (CN)";11;68,75;0,02;0,01;28,79;"Mobile Networks (5G/6G)"
"453420";"Gelderland (NL22)";"China (CN)";9;27,27;0,06;0,05;21,74;"High-Performance Computing (HPC)"
"211727";"Gelderland (NL22)";"China (CN)";1177;19,28;0,26;0,25;18,88;"Other"
"470917";"Gelderland (NL22)";"China (CN)";16;15,38;0,03;0,05;23,26;"Cybersecurity Technologies"
"288919";"Gelderland (NL22)";"China (CN)";8;11,11;0,07;0,11;17,08;"Software Engineering & System Development"
"841751";"Gelderland (NL22)";"China (CN)";48;8,32;0,02;0,09;36,18;"Computer Vision, Language Processing & Object Recognition"
"702941";"Gelderland (NL22)";"China (CN)";76;14,87;0,12;0,19;24,08;"Green Consumer Goods"
"652112";"Gelderland (NL22)";"China (CN)";47;16,26;0,12;0,17;23,53;"Recycling"
"558111";"Gelderland (NL22)";"China (CN)";27;11,11;0,02;0,07;32,76;"Robotics"
"1151811";"Gelderland (NL22)";"China (CN)";77;3,89;0,03;0,14;18,93;"Artificial Intelligence"
