"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"539656";"Hannover (DE92)";"China (CN)";4;6,78;0,02;0,08;26,86;"Pollution Control"
"2813123";"Hannover (DE92)";"China (CN)";30;51,72;0,21;0,12;29;"Carbon Capture & Storage"
"2906108";"Hannover (DE92)";"China (CN)";11;57,89;0,08;0,03;22,11;"Sustainable Agriculture"
"3189107";"Hannover (DE92)";"China (CN)";4;30,77;0,03;0,02;21,49;"Biomass Energy"
"3443106";"Hannover (DE92)";"China (CN)";1;5,26;0;0,02;21,82;"Internet of Things (IoT)"
"1064157";"Hannover (DE92)";"China (CN)";22;75,86;0,3;0,16;39,44;"Hydroelectric Power"
"974156";"Hannover (DE92)";"China (CN)";1;10;0,02;0,06;32,38;"Wind Energy"
"415568";"Hannover (DE92)";"China (CN)";11;37,93;0,03;0,03;36,46;"Water Management"
"400970";"Hannover (DE92)";"China (CN)";4;11,11;0,03;0,05;21,43;"Nuclear Energy"
"427756";"Hannover (DE92)";"China (CN)";4;3,45;0,02;0,1;23,25;"Solar Energy"
"3343100";"Hannover (DE92)";"China (CN)";2;7,14;0,01;0,03;21,85;"Cloud Computing & Edge Computing"
"755733";"Hannover (DE92)";"China (CN)";4;6,56;0,01;0,04;20,73;"Waste Management"
"2386107";"Hannover (DE92)";"China (CN)";3;4,23;0,01;0,07;43,6;"Generative AI"
"2789103";"Hannover (DE92)";"China (CN)";3;30;0,02;0,01;12,8;"Blockchain Technologies"
"335370";"Hannover (DE92)";"China (CN)";5;7,14;0,01;0,05;31,98;"Smart Grid"
"457839";"Hannover (DE92)";"China (CN)";5;4,55;0,03;0,11;18,28;"Green Building"
"383650";"Hannover (DE92)";"China (CN)";4;14,81;0,02;0,03;21,04;"Biofuels"
"808525";"Hannover (DE92)";"China (CN)";42;13,29;0,07;0,1;19,34;"Quantum Technologies"
"242890";"Hannover (DE92)";"China (CN)";13;20,97;0,19;0,23;24,78;"Geothermal Energy"
"950223";"Hannover (DE92)";"China (CN)";78;21,49;0,08;0,11;27,65;"Environmental Engineering"
"408834";"Hannover (DE92)";"China (CN)";29;29;0,03;0,04;42,46;"Battery"
"461228";"Hannover (DE92)";"China (CN)";11;4,53;0,02;0,12;24,48;"Semiconductors/Chips"
"710918";"Hannover (DE92)";"China (CN)";20;7,46;0,02;0,08;26,04;"Biomaterials"
"352929";"Hannover (DE92)";"China (CN)";7;6,73;0,01;0,07;42,46;"Hydrogen Fuel Cells"
"301730";"Hannover (DE92)";"China (CN)";10;15,15;0,03;0,06;26,05;"Heat Pumps"
"393026";"Hannover (DE92)";"China (CN)";1;1,75;0;0,04;28,79;"Mobile Networks (5G/6G)"
"223330";"Hannover (DE92)";"China (CN)";1;11,11;0,01;0,03;33,92;"Satellite Connectivity"
"455220";"Hannover (DE92)";"China (CN)";3;8,82;0,02;0,05;21,74;"High-Performance Computing (HPC)"
"212877";"Hannover (DE92)";"China (CN)";316;20,03;0,07;0,07;18,88;"Other"
"474217";"Hannover (DE92)";"China (CN)";7;8,97;0,01;0,04;23,26;"Cybersecurity Technologies"
"293219";"Hannover (DE92)";"China (CN)";5;3,7;0,05;0,21;17,08;"Software Engineering & System Development"
"828751";"Hannover (DE92)";"China (CN)";30;5,49;0,01;0,08;36,18;"Computer Vision, Language Processing & Object Recognition"
"693013";"Hannover (DE92)";"China (CN)";3;2,56;0;0,04;24,08;"Green Consumer Goods"
"659512";"Hannover (DE92)";"China (CN)";3;3,66;0,01;0,05;23,53;"Recycling"
"550811";"Hannover (DE92)";"China (CN)";11;2,33;0,01;0,13;32,76;"Robotics"
"1149411";"Hannover (DE92)";"China (CN)";92;5,19;0,03;0,13;18,93;"Artificial Intelligence"
