"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1248";"Ipeiros (EL21)";"China (CN)";12;85,71;0,12;0,06;40,87;"Drones"
"537256";"Ipeiros (EL21)";"China (CN)";3;100;0,02;0;26,86;"Pollution Control"
"2977108";"Ipeiros (EL21)";"China (CN)";1;4,17;0,01;0,04;22,11;"Sustainable Agriculture"
"3579101";"Ipeiros (EL21)";"China (CN)";14;21,54;0,05;0,05;21,82;"Internet of Things (IoT)"
"420058";"Ipeiros (EL21)";"China (CN)";5;33,33;0,02;0,02;36,46;"Water Management"
"422256";"Ipeiros (EL21)";"China (CN)";2;10;0,01;0,02;23,25;"Solar Energy"
"3427100";"Ipeiros (EL21)";"China (CN)";13;17,33;0,07;0,09;21,85;"Cloud Computing & Edge Computing"
"746733";"Ipeiros (EL21)";"China (CN)";5;12,5;0,02;0,03;20,73;"Waste Management"
"2278107";"Ipeiros (EL21)";"China (CN)";4;21,05;0,01;0,02;43,6;"Generative AI"
"298580";"Ipeiros (EL21)";"China (CN)";8;27,59;0,06;0,03;12,8;"Blockchain Technologies"
"3411103";"Ipeiros (EL21)";"China (CN)";2;4,08;0,01;0,06;32,36;"Energy Efficiency"
"338070";"Ipeiros (EL21)";"China (CN)";3;13,04;0,01;0,02;31,98;"Smart Grid"
"393848";"Ipeiros (EL21)";"China (CN)";2;8,33;0,01;0,03;21,04;"Biofuels"
"830225";"Ipeiros (EL21)";"China (CN)";8;32;0,01;0,01;19,34;"Quantum Technologies"
"947323";"Ipeiros (EL21)";"China (CN)";5;5,62;0,01;0,03;27,65;"Environmental Engineering"
"406336";"Ipeiros (EL21)";"China (CN)";31;140,91;0,03;0,01;42,46;"Battery"
"486136";"Ipeiros (EL21)";"China (CN)";2;5,88;0;0,02;24,48;"Semiconductors/Chips"
"681525";"Ipeiros (EL21)";"China (CN)";4;7,02;0;0,02;26,04;"Biomaterials"
"328236";"Ipeiros (EL21)";"China (CN)";41;215,79;0,07;0,01;42,46;"Hydrogen Fuel Cells"
"303330";"Ipeiros (EL21)";"China (CN)";3;21,43;0,01;0,01;26,05;"Heat Pumps"
"379427";"Ipeiros (EL21)";"China (CN)";52;86,67;0,11;0,04;28,79;"Mobile Networks (5G/6G)"
"234630";"Ipeiros (EL21)";"China (CN)";11;366,67;0,1;0,01;33,92;"Satellite Connectivity"
"448020";"Ipeiros (EL21)";"China (CN)";7;17,5;0,04;0,06;21,74;"High-Performance Computing (HPC)"
"209887";"Ipeiros (EL21)";"China (CN)";36;6,28;0,01;0,02;18,88;"Other"
"469917";"Ipeiros (EL21)";"China (CN)";11;16,42;0,02;0,03;23,26;"Cybersecurity Technologies"
"284519";"Ipeiros (EL21)";"China (CN)";1;5,56;0,01;0,03;17,08;"Software Engineering & System Development"
"840551";"Ipeiros (EL21)";"China (CN)";17;13,6;0,01;0,02;36,18;"Computer Vision, Language Processing & Object Recognition"
"684513";"Ipeiros (EL21)";"China (CN)";3;3,9;0;0,03;24,08;"Green Consumer Goods"
"637012";"Ipeiros (EL21)";"China (CN)";1;3,85;0;0,02;23,53;"Recycling"
"575611";"Ipeiros (EL21)";"China (CN)";8;13,56;0,01;0,02;32,76;"Robotics"
"1152011";"Ipeiros (EL21)";"China (CN)";11;2,86;0;0,03;18,93;"Artificial Intelligence"
