"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1227";"Jordan (JO)";"China (CN)";5;8,33;0,05;0,25;40,87;"Drones"
"539756";"Jordan (JO)";"China (CN)";4;16,67;0,02;0,03;26,86;"Pollution Control"
"2772123";"Jordan (JO)";"China (CN)";15;57,69;0,1;0,05;29;"Carbon Capture & Storage"
"3000108";"Jordan (JO)";"China (CN)";9;9,78;0,07;0,15;22,11;"Sustainable Agriculture"
"3236107";"Jordan (JO)";"China (CN)";4;8;0,03;0,08;21,49;"Biomass Energy"
"3571109";"Jordan (JO)";"China (CN)";53;14,52;0,2;0,31;21,82;"Internet of Things (IoT)"
"1073157";"Jordan (JO)";"China (CN)";2;14,29;0,03;0,08;39,44;"Hydroelectric Power"
"1006156";"Jordan (JO)";"China (CN)";2;10;0,04;0,11;32,38;"Wind Energy"
"419558";"Jordan (JO)";"China (CN)";9;7,76;0,03;0,13;36,46;"Water Management"
"4100100";"Jordan (JO)";"China (CN)";15;17,44;0,1;0,12;21,43;"Nuclear Energy"
"407860";"Jordan (JO)";"China (CN)";31;10,26;0,12;0,26;23,25;"Solar Energy"
"3316100";"Jordan (JO)";"China (CN)";49;17,19;0,26;0,33;21,85;"Cloud Computing & Edge Computing"
"771533";"Jordan (JO)";"China (CN)";9;4,89;0,03;0,12;20,73;"Waste Management"
"2142109";"Jordan (JO)";"China (CN)";9;11,84;0,02;0,08;43,6;"Generative AI"
"291680";"Jordan (JO)";"China (CN)";36;9,86;0,27;0,35;12,8;"Blockchain Technologies"
"360199";"Jordan (JO)";"China (CN)";18;11,04;0,07;0,2;32,36;"Energy Efficiency"
"333270";"Jordan (JO)";"China (CN)";30;10,42;0,07;0,22;31,98;"Smart Grid"
"440739";"Jordan (JO)";"China (CN)";9;3,91;0,05;0,22;18,28;"Green Building"
"393948";"Jordan (JO)";"China (CN)";2;7,14;0,01;0,03;21,04;"Biofuels"
"826925";"Jordan (JO)";"China (CN)";15;13,76;0,02;0,03;19,34;"Quantum Technologies"
"2452101";"Jordan (JO)";"China (CN)";6;28,57;0,09;0,08;24,78;"Geothermal Energy"
"939723";"Jordan (JO)";"China (CN)";56;19,18;0,06;0,09;27,65;"Environmental Engineering"
"335947";"Jordan (JO)";"China (CN)";17;10,18;0,08;0,21;25,13;"EVs & Charging Infrastructure"
"426529";"Jordan (JO)";"China (CN)";26;19,26;0,02;0,05;42,46;"Battery"
"472728";"Jordan (JO)";"China (CN)";8;7,69;0,02;0,05;24,48;"Semiconductors/Chips"
"710618";"Jordan (JO)";"China (CN)";15;4,35;0,02;0,1;26,04;"Biomaterials"
"352329";"Jordan (JO)";"China (CN)";10;19,23;0,02;0,04;42,46;"Hydrogen Fuel Cells"
"283937";"Jordan (JO)";"China (CN)";67;44,37;0,23;0,14;26,05;"Heat Pumps"
"373130";"Jordan (JO)";"China (CN)";72;16,04;0,15;0,28;28,79;"Mobile Networks (5G/6G)"
"453620";"Jordan (JO)";"China (CN)";13;11,11;0,08;0,16;21,74;"High-Performance Computing (HPC)"
"210577";"Jordan (JO)";"China (CN)";173;11,31;0,04;0,06;18,88;"Other"
"452417";"Jordan (JO)";"China (CN)";98;10,66;0,2;0,45;23,26;"Cybersecurity Technologies"
"280319";"Jordan (JO)";"China (CN)";5;2,5;0,05;0,31;17,08;"Software Engineering & System Development"
"816351";"Jordan (JO)";"China (CN)";74;12,07;0,03;0,09;36,18;"Computer Vision, Language Processing & Object Recognition"
"703041";"Jordan (JO)";"China (CN)";38;10,98;0,06;0,13;24,08;"Green Consumer Goods"
"659312";"Jordan (JO)";"China (CN)";27;11,39;0,07;0,14;23,53;"Recycling"
"562311";"Jordan (JO)";"China (CN)";28;12,5;0,02;0,06;32,76;"Robotics"
"1169911";"Jordan (JO)";"China (CN)";230;4,33;0,09;0,38;18,93;"Artificial Intelligence"
