"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"2866120";"Közép-Dunántúl (HU21)";"China (CN)";1;14,29;0,01;0,01;29;"Carbon Capture & Storage"
"2980108";"Közép-Dunántúl (HU21)";"China (CN)";3;20;0,02;0,02;22,11;"Sustainable Agriculture"
"3269107";"Közép-Dunántúl (HU21)";"China (CN)";8;22,86;0,06;0,06;21,49;"Biomass Energy"
"410868";"Közép-Dunántúl (HU21)";"China (CN)";2;7,14;0,01;0,03;36,46;"Water Management"
"765633";"Közép-Dunántúl (HU21)";"China (CN)";7;12,96;0,02;0,04;20,73;"Waste Management"
"390548";"Közép-Dunántúl (HU21)";"China (CN)";3;8,82;0,02;0,04;21,04;"Biofuels"
"828925";"Közép-Dunántúl (HU21)";"China (CN)";1;8,33;0;0;19,34;"Quantum Technologies"
"948823";"Közép-Dunántúl (HU21)";"China (CN)";15;19,23;0,02;0,02;27,65;"Environmental Engineering"
"461328";"Közép-Dunántúl (HU21)";"China (CN)";1;16,67;0;0;24,48;"Semiconductors/Chips"
"681130";"Közép-Dunántúl (HU21)";"China (CN)";3;5,26;0;0,02;26,04;"Biomaterials"
"210607";"Közép-Dunántúl (HU21)";"China (CN)";70;11,63;0,02;0,02;18,88;"Other"
"675913";"Közép-Dunántúl (HU21)";"China (CN)";1;2,78;0;0,01;24,08;"Green Consumer Goods"
"663312";"Közép-Dunántúl (HU21)";"China (CN)";1;2,38;0;0,02;23,53;"Recycling"
"571311";"Közép-Dunántúl (HU21)";"China (CN)";4;7,27;0;0,02;32,76;"Robotics"
