"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1204";"Közép-Magyarország (HU10)";"China (CN)";1;3,23;0,01;0,13;40,87;"Drones"
"529856";"Közép-Magyarország (HU10)";"China (CN)";3;3,26;0,02;0,13;26,86;"Pollution Control"
"2808122";"Közép-Magyarország (HU10)";"China (CN)";5;14,29;0,03;0,07;29;"Carbon Capture & Storage"
"3066108";"Közép-Magyarország (HU10)";"China (CN)";5;4,13;0,04;0,2;22,11;"Sustainable Agriculture"
"3080107";"Közép-Magyarország (HU10)";"China (CN)";10;8,13;0,07;0,19;21,49;"Biomass Energy"
"3596101";"Közép-Magyarország (HU10)";"China (CN)";4;2,56;0,02;0,13;21,82;"Internet of Things (IoT)"
"999157";"Közép-Magyarország (HU10)";"China (CN)";13;100;0,18;0,07;39,44;"Hydroelectric Power"
"395978";"Közép-Magyarország (HU10)";"China (CN)";11;9,4;0,03;0,14;36,46;"Water Management"
"394670";"Közép-Magyarország (HU10)";"China (CN)";30;11,24;0,2;0,38;21,43;"Nuclear Energy"
"411860";"Közép-Magyarország (HU10)";"China (CN)";21;10,45;0,08;0,18;23,25;"Solar Energy"
"3429100";"Közép-Magyarország (HU10)";"China (CN)";2;1,23;0,01;0,19;21,85;"Cloud Computing & Edge Computing"
"763233";"Közép-Magyarország (HU10)";"China (CN)";11;4,6;0,03;0,16;20,73;"Waste Management"
"2355106";"Közép-Magyarország (HU10)";"China (CN)";3;3,7;0,01;0,08;43,6;"Generative AI"
"2863102";"Közép-Magyarország (HU10)";"China (CN)";7;6,48;0,05;0,1;12,8;"Blockchain Technologies"
"354460";"Közép-Magyarország (HU10)";"China (CN)";16;12,12;0,06;0,16;32,36;"Energy Efficiency"
"346859";"Közép-Magyarország (HU10)";"China (CN)";15;10;0,04;0,11;31,98;"Smart Grid"
"450439";"Közép-Magyarország (HU10)";"China (CN)";6;3,43;0,03;0,17;18,28;"Green Building"
"399448";"Közép-Magyarország (HU10)";"China (CN)";8;8,7;0,05;0,11;21,04;"Biofuels"
"819525";"Közép-Magyarország (HU10)";"China (CN)";574;47,09;0,91;0,37;19,34;"Quantum Technologies"
"243690";"Közép-Magyarország (HU10)";"China (CN)";1;3,45;0,01;0,11;24,78;"Geothermal Energy"
"959323";"Közép-Magyarország (HU10)";"China (CN)";52;10,24;0,06;0,15;27,65;"Environmental Engineering"
"322947";"Közép-Magyarország (HU10)";"China (CN)";5;3,68;0,02;0,17;25,13;"EVs & Charging Infrastructure"
"425229";"Közép-Magyarország (HU10)";"China (CN)";12;8,28;0,01;0,06;42,46;"Battery"
"482136";"Közép-Magyarország (HU10)";"China (CN)";18;7,38;0,04;0,12;24,48;"Semiconductors/Chips"
"682225";"Közép-Magyarország (HU10)";"China (CN)";22;4,01;0,03;0,16;26,04;"Biomaterials"
"343236";"Közép-Magyarország (HU10)";"China (CN)";12;15,19;0,02;0,05;42,46;"Hydrogen Fuel Cells"
"299630";"Közép-Magyarország (HU10)";"China (CN)";9;7,44;0,03;0,11;26,05;"Heat Pumps"
"374427";"Közép-Magyarország (HU10)";"China (CN)";6;2;0,01;0,18;28,79;"Mobile Networks (5G/6G)"
"463123";"Közép-Magyarország (HU10)";"China (CN)";1;0,74;0,01;0,19;21,74;"High-Performance Computing (HPC)"
"213237";"Közép-Magyarország (HU10)";"China (CN)";317;8,25;0,07;0,16;18,88;"Other"
"449517";"Közép-Magyarország (HU10)";"China (CN)";13;4,18;0,03;0,15;23,26;"Cybersecurity Technologies"
"285319";"Közép-Magyarország (HU10)";"China (CN)";4;1,92;0,04;0,32;17,08;"Software Engineering & System Development"
"832451";"Közép-Magyarország (HU10)";"China (CN)";36;3,95;0,01;0,14;36,18;"Computer Vision, Language Processing & Object Recognition"
"679713";"Közép-Magyarország (HU10)";"China (CN)";40;8,11;0,06;0,18;24,08;"Green Consumer Goods"
"641212";"Közép-Magyarország (HU10)";"China (CN)";19;6,15;0,05;0,18;23,53;"Recycling"
"564011";"Közép-Magyarország (HU10)";"China (CN)";42;5,03;0,04;0,23;32,76;"Robotics"
"1139311";"Közép-Magyarország (HU10)";"China (CN)";115;4,54;0,04;0,18;18,93;"Artificial Intelligence"
