"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1524234";"Kosovo (XK)";"United States (US)";1;100;0,02;0;11,65;"Carbon Capture & Storage"
"1708231";"Kosovo (XK)";"United States (US)";1;50;0,02;0;6,73;"Biomass Energy"
"2082922";"Kosovo (XK)";"United States (US)";1;9,09;0,02;0,01;6,37;"Water Management"
"2249319";"Kosovo (XK)";"United States (US)";1;25;0,01;0,01;15,64;"Nuclear Energy"
"40151";"Kosovo (XK)";"United States (US)";1;5,26;0,01;0,01;5,55;"Waste Management"
"1640023";"Kosovo (XK)";"United States (US)";1;6,67;0,02;0,01;4,71;"Blockchain Technologies"
"2374514";"Kosovo (XK)";"United States (US)";1;9,09;0,01;0,01;6,77;"Green Building"
"50849";"Kosovo (XK)";"United States (US)";3;16,67;0,01;0,01;10,35;"Environmental Engineering"
"371576";"Kosovo (XK)";"United States (US)";1;6,25;0;0;6,9;"Biomaterials"
"211599";"Kosovo (XK)";"United States (US)";1;5,88;0,01;0,01;7,52;"Mobile Networks (5G/6G)"
"117735";"Kosovo (XK)";"United States (US)";21;9,95;0;0,01;19,15;"Other"
"263046";"Kosovo (XK)";"United States (US)";4;10,53;0,02;0,02;11,89;"Cybersecurity Technologies"
"315842";"Kosovo (XK)";"United States (US)";1;4,55;0;0,01;10,24;"Robotics"
"637341";"Kosovo (XK)";"United States (US)";3;2,33;0;0,01;13,34;"Artificial Intelligence"
