"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"520356";"Languedoc-Roussillon (FR81)";"China (CN)";5;2,78;0,03;0,25;26,86;"Pollution Control"
"2913116";"Languedoc-Roussillon (FR81)";"China (CN)";17;14,78;0,12;0,23;29;"Carbon Capture & Storage"
"3123108";"Languedoc-Roussillon (FR81)";"China (CN)";9;6,82;0,07;0,22;22,11;"Sustainable Agriculture"
"3068107";"Languedoc-Roussillon (FR81)";"China (CN)";18;14,06;0,13;0,2;21,49;"Biomass Energy"
"3549101";"Languedoc-Roussillon (FR81)";"China (CN)";2;9,09;0,01;0,02;21,82;"Internet of Things (IoT)"
"943157";"Languedoc-Roussillon (FR81)";"China (CN)";2;9,09;0,03;0,12;39,44;"Hydroelectric Power"
"946156";"Languedoc-Roussillon (FR81)";"China (CN)";1;33,33;0,02;0,02;32,38;"Wind Energy"
"398778";"Languedoc-Roussillon (FR81)";"China (CN)";5;2,54;0,02;0,23;36,46;"Water Management"
"397670";"Languedoc-Roussillon (FR81)";"China (CN)";3;1,38;0,02;0,31;21,43;"Nuclear Energy"
"419456";"Languedoc-Roussillon (FR81)";"China (CN)";9;5,29;0,03;0,15;23,25;"Solar Energy"
"348979";"Languedoc-Roussillon (FR81)";"China (CN)";2;6,67;0,01;0,03;21,85;"Cloud Computing & Edge Computing"
"749533";"Languedoc-Roussillon (FR81)";"China (CN)";25;8,2;0,08;0,2;20,73;"Waste Management"
"2218107";"Languedoc-Roussillon (FR81)";"China (CN)";5;13,51;0,01;0,04;43,6;"Generative AI"
"292880";"Languedoc-Roussillon (FR81)";"China (CN)";7;21,21;0,05;0,03;12,8;"Blockchain Technologies"
"340280";"Languedoc-Roussillon (FR81)";"China (CN)";2;8,7;0,01;0,03;32,36;"Energy Efficiency"
"354259";"Languedoc-Roussillon (FR81)";"China (CN)";1;3,03;0;0,02;31,98;"Smart Grid"
"464639";"Languedoc-Roussillon (FR81)";"China (CN)";6;4,55;0,03;0,13;18,28;"Green Building"
"384050";"Languedoc-Roussillon (FR81)";"China (CN)";5;2,43;0,03;0,25;21,04;"Biofuels"
"807130";"Languedoc-Roussillon (FR81)";"China (CN)";29;7,51;0,05;0,12;19,34;"Quantum Technologies"
"246090";"Languedoc-Roussillon (FR81)";"China (CN)";7;10,77;0,1;0,24;24,78;"Geothermal Energy"
"955423";"Languedoc-Roussillon (FR81)";"China (CN)";65;9,03;0,07;0,22;27,65;"Environmental Engineering"
"334047";"Languedoc-Roussillon (FR81)";"China (CN)";2;5,56;0,01;0,04;25,13;"EVs & Charging Infrastructure"
"416234";"Languedoc-Roussillon (FR81)";"China (CN)";53;17,26;0,05;0,12;42,46;"Battery"
"467728";"Languedoc-Roussillon (FR81)";"China (CN)";26;5,91;0,05;0,21;24,48;"Semiconductors/Chips"
"692129";"Languedoc-Roussillon (FR81)";"China (CN)";36;5,28;0,04;0,21;26,04;"Biomaterials"
"336036";"Languedoc-Roussillon (FR81)";"China (CN)";39;12,75;0,06;0,21;42,46;"Hydrogen Fuel Cells"
"305430";"Languedoc-Roussillon (FR81)";"China (CN)";16;14,68;0,06;0,1;26,05;"Heat Pumps"
"459320";"Languedoc-Roussillon (FR81)";"China (CN)";4;4,55;0,03;0,12;21,74;"High-Performance Computing (HPC)"
"209907";"Languedoc-Roussillon (FR81)";"China (CN)";519;6,45;0,11;0,33;18,88;"Other"
"464117";"Languedoc-Roussillon (FR81)";"China (CN)";8;10,53;0,02;0,04;23,26;"Cybersecurity Technologies"
"816051";"Languedoc-Roussillon (FR81)";"China (CN)";18;4,14;0,01;0,06;36,18;"Computer Vision, Language Processing & Object Recognition"
"702641";"Languedoc-Roussillon (FR81)";"China (CN)";26;4,71;0,04;0,21;24,08;"Green Consumer Goods"
"634512";"Languedoc-Roussillon (FR81)";"China (CN)";21;5,74;0,05;0,21;23,53;"Recycling"
"554311";"Languedoc-Roussillon (FR81)";"China (CN)";13;3,36;0,01;0,11;32,76;"Robotics"
"1173911";"Languedoc-Roussillon (FR81)";"China (CN)";37;2,97;0,01;0,09;18,93;"Artificial Intelligence"
