"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"7113";"Lombardia (ITC4)";"United States (US)";1;2,56;0,06;0,16;7,33;"Drones"
"26688";"Lombardia (ITC4)";"United States (US)";42;8,94;0,9;0,65;6,42;"Pollution Control"
"1507432";"Lombardia (ITC4)";"United States (US)";58;22,66;1;0,52;11,65;"Carbon Capture & Storage"
"1655031";"Lombardia (ITC4)";"United States (US)";14;7,61;0,3;0,3;7,7;"Sustainable Agriculture"
"1705030";"Lombardia (ITC4)";"United States (US)";13;8,33;0,31;0,25;6,73;"Biomass Energy"
"1909426";"Lombardia (ITC4)";"United States (US)";29;11,55;0,52;0,21;4,71;"Internet of Things (IoT)"
"504555";"Lombardia (ITC4)";"United States (US)";7;11,67;0,75;0,32;5,05;"Hydroelectric Power"
"513048";"Lombardia (ITC4)";"United States (US)";4;6,9;0,37;0,33;6,15;"Wind Energy"
"2078323";"Lombardia (ITC4)";"United States (US)";30;14,56;0,54;0,24;6,37;"Water Management"
"2250918";"Lombardia (ITC4)";"United States (US)";111;27,21;1;0,57;15,64;"Nuclear Energy"
"2252517";"Lombardia (ITC4)";"United States (US)";59;14,94;0,8;0,35;6,49;"Solar Energy"
"1848127";"Lombardia (ITC4)";"United States (US)";45;16,79;0,64;0,31;8,08;"Cloud Computing & Edge Computing"
"40062";"Lombardia (ITC4)";"United States (US)";63;8,69;0,75;0,48;5,55;"Waste Management"
"1236530";"Lombardia (ITC4)";"United States (US)";31;17,92;0,32;0,18;10,05;"Generative AI"
"1663523";"Lombardia (ITC4)";"United States (US)";38;20,11;0,77;0,18;4,71;"Blockchain Technologies"
"2022520";"Lombardia (ITC4)";"United States (US)";52;10,57;0,91;0,61;7,09;"Energy Efficiency"
"1897719";"Lombardia (ITC4)";"United States (US)";65;12,08;0,56;0,41;8,72;"Smart Grid"
"2384119";"Lombardia (ITC4)";"United States (US)";91;9,66;1,29;0,9;6,77;"Green Building"
"2030219";"Lombardia (ITC4)";"United States (US)";17;7,33;0,3;0,28;6,84;"Biofuels"
"44733";"Lombardia (ITC4)";"United States (US)";940;47,19;2,54;0,61;11,32;"Quantum Technologies"
"1108424";"Lombardia (ITC4)";"United States (US)";17;14,91;0,75;0,42;8,37;"Geothermal Energy"
"50587";"Lombardia (ITC4)";"United States (US)";304;17,15;0,88;0,53;10,35;"Environmental Engineering"
"1884216";"Lombardia (ITC4)";"United States (US)";44;7,46;0,75;0,73;7,17;"EVs & Charging Infrastructure"
"2377411";"Lombardia (ITC4)";"United States (US)";101;12,78;0,54;0,3;7,26;"Battery"
"2603510";"Lombardia (ITC4)";"United States (US)";172;16,12;0,72;0,52;11,62;"Semiconductors/Chips"
"371806";"Lombardia (ITC4)";"United States (US)";94;8,46;0,41;0,33;6,9;"Biomaterials"
"1956010";"Lombardia (ITC4)";"United States (US)";45;12,43;0,39;0,25;7,87;"Hydrogen Fuel Cells"
"1593011";"Lombardia (ITC4)";"United States (US)";28;9;0,35;0,28;7,13;"Heat Pumps"
"2111114";"Lombardia (ITC4)";"United States (US)";80;19,14;0,65;0,26;7,52;"Mobile Networks (5G/6G)"
"1197214";"Lombardia (ITC4)";"United States (US)";52;15,07;1,29;1,08;12,69;"Satellite Connectivity"
"2463113";"Lombardia (ITC4)";"United States (US)";79;22,7;0,62;0,49;17,7;"High-Performance Computing (HPC)"
"117937";"Lombardia (ITC4)";"United States (US)";2028;24,24;0,44;0,35;19,15;"Other"
"2620111";"Lombardia (ITC4)";"United States (US)";99;19,26;0,41;0,25;11,89;"Cybersecurity Technologies"
"162186";"Lombardia (ITC4)";"United States (US)";47;14,64;0,5;0,5;14,5;"Software Engineering & System Development"
"462992";"Lombardia (ITC4)";"United States (US)";407;17,01;0,56;0,36;10,79;"Computer Vision, Language Processing & Object Recognition"
"381233";"Lombardia (ITC4)";"United States (US)";82;7,61;0,59;0,4;5,19;"Green Consumer Goods"
"354632";"Lombardia (ITC4)";"United States (US)";69;7,17;0,78;0,57;5,22;"Recycling"
"313032";"Lombardia (ITC4)";"United States (US)";193;11,73;0,52;0,45;10,24;"Robotics"
"639901";"Lombardia (ITC4)";"United States (US)";1071;15,84;0,57;0,48;13,34;"Artificial Intelligence"
