"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1666631";"Mongolia (MN)";"United States (US)";8;34,78;0,17;0,04;7,7;"Sustainable Agriculture"
"1708143";"Mongolia (MN)";"United States (US)";3;8,82;0,07;0,05;6,73;"Biomass Energy"
"1906228";"Mongolia (MN)";"United States (US)";3;27,27;0,05;0,01;4,71;"Internet of Things (IoT)"
"502955";"Mongolia (MN)";"United States (US)";1;50;0,11;0,01;5,05;"Hydroelectric Power"
"509448";"Mongolia (MN)";"United States (US)";1;100;0,09;0,01;6,15;"Wind Energy"
"2093224";"Mongolia (MN)";"United States (US)";1;6,25;0,02;0,02;6,37;"Water Management"
"2253418";"Mongolia (MN)";"United States (US)";1;4,76;0,01;0,02;6,49;"Solar Energy"
"1838622";"Mongolia (MN)";"United States (US)";4;40;0,06;0,01;8,08;"Cloud Computing & Edge Computing"
"39881";"Mongolia (MN)";"United States (US)";3;7,32;0,04;0,03;5,55;"Waste Management"
"1241230";"Mongolia (MN)";"United States (US)";3;33,33;0,03;0,01;10,05;"Generative AI"
"1646823";"Mongolia (MN)";"United States (US)";3;25;0,06;0,01;4,71;"Blockchain Technologies"
"2018820";"Mongolia (MN)";"United States (US)";1;5,56;0,02;0,02;7,09;"Energy Efficiency"
"1885221";"Mongolia (MN)";"United States (US)";1;5;0,01;0,02;8,72;"Smart Grid"
"2380119";"Mongolia (MN)";"United States (US)";2;9,09;0,03;0,02;6,77;"Green Building"
"2036617";"Mongolia (MN)";"United States (US)";5;33,33;0,09;0,02;6,84;"Biofuels"
"44655";"Mongolia (MN)";"United States (US)";280;96,22;0,76;0,09;11,32;"Quantum Technologies"
"1093324";"Mongolia (MN)";"United States (US)";1;7,14;0,04;0,05;8,37;"Geothermal Energy"
"50809";"Mongolia (MN)";"United States (US)";15;15,96;0,04;0,03;10,35;"Environmental Engineering"
"1880914";"Mongolia (MN)";"United States (US)";1;12,5;0,02;0,01;7,17;"EVs & Charging Infrastructure"
"2604212";"Mongolia (MN)";"United States (US)";2;7,69;0,01;0,01;11,62;"Semiconductors/Chips"
"372556";"Mongolia (MN)";"United States (US)";9;12,86;0,04;0,02;6,9;"Biomaterials"
"1940810";"Mongolia (MN)";"United States (US)";2;4,88;0,02;0,03;7,87;"Hydrogen Fuel Cells"
"1592115";"Mongolia (MN)";"United States (US)";1;7,14;0,01;0,01;7,13;"Heat Pumps"
"211709";"Mongolia (MN)";"United States (US)";2;16,67;0,02;0,01;7,52;"Mobile Networks (5G/6G)"
"246798";"Mongolia (MN)";"United States (US)";4;40;0,03;0,01;17,7;"High-Performance Computing (HPC)"
"117845";"Mongolia (MN)";"United States (US)";232;27,42;0,05;0,03;19,15;"Other"
"2626111";"Mongolia (MN)";"United States (US)";7;36,84;0,03;0,01;11,89;"Cybersecurity Technologies"
"162556";"Mongolia (MN)";"United States (US)";3;37,5;0,03;0,01;14,5;"Software Engineering & System Development"
"464952";"Mongolia (MN)";"United States (US)";8;9,3;0,01;0,01;10,79;"Computer Vision, Language Processing & Object Recognition"
"381223";"Mongolia (MN)";"United States (US)";4;13,79;0,03;0,01;5,19;"Green Consumer Goods"
"353432";"Mongolia (MN)";"United States (US)";1;3,45;0,01;0,02;5,22;"Recycling"
"313182";"Mongolia (MN)";"United States (US)";1;2,78;0;0,01;10,24;"Robotics"
"640717";"Mongolia (MN)";"United States (US)";34;8,88;0,02;0,03;13,34;"Artificial Intelligence"
