"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1207";"Noord-Brabant (NL41)";"China (CN)";2;22,22;0,02;0,04;40,87;"Drones"
"516456";"Noord-Brabant (NL41)";"China (CN)";1;4,17;0,01;0,03;26,86;"Pollution Control"
"2919109";"Noord-Brabant (NL41)";"China (CN)";6;7,89;0,04;0,15;29;"Carbon Capture & Storage"
"2959108";"Noord-Brabant (NL41)";"China (CN)";3;15,79;0,02;0,03;22,11;"Sustainable Agriculture"
"3215108";"Noord-Brabant (NL41)";"China (CN)";2;5,56;0,01;0,06;21,49;"Biomass Energy"
"3563102";"Noord-Brabant (NL41)";"China (CN)";5;13,16;0,02;0,03;21,82;"Internet of Things (IoT)"
"1090157";"Noord-Brabant (NL41)";"China (CN)";3;50;0,04;0,03;39,44;"Hydroelectric Power"
"397778";"Noord-Brabant (NL41)";"China (CN)";2;18,18;0,01;0,01;36,46;"Water Management"
"414267";"Noord-Brabant (NL41)";"China (CN)";22;15,71;0,14;0,2;21,43;"Nuclear Energy"
"428356";"Noord-Brabant (NL41)";"China (CN)";42;31,11;0,16;0,12;23,25;"Solar Energy"
"3418100";"Noord-Brabant (NL41)";"China (CN)";7;13,73;0,04;0,06;21,85;"Cloud Computing & Edge Computing"
"774433";"Noord-Brabant (NL41)";"China (CN)";6;8,7;0,02;0,05;20,73;"Waste Management"
"2339107";"Noord-Brabant (NL41)";"China (CN)";12;12,12;0,03;0,1;43,6;"Generative AI"
"293780";"Noord-Brabant (NL41)";"China (CN)";2;6,06;0,01;0,03;12,8;"Blockchain Technologies"
"361660";"Noord-Brabant (NL41)";"China (CN)";16;13,33;0,06;0,15;32,36;"Energy Efficiency"
"340770";"Noord-Brabant (NL41)";"China (CN)";15;7,94;0,04;0,14;31,98;"Smart Grid"
"442939";"Noord-Brabant (NL41)";"China (CN)";54;23,48;0,28;0,22;18,28;"Green Building"
"810825";"Noord-Brabant (NL41)";"China (CN)";52;17,63;0,08;0,09;19,34;"Quantum Technologies"
"240390";"Noord-Brabant (NL41)";"China (CN)";1;8,33;0,01;0,04;24,78;"Geothermal Energy"
"963127";"Noord-Brabant (NL41)";"China (CN)";37;22,98;0,04;0,05;27,65;"Environmental Engineering"
"342347";"Noord-Brabant (NL41)";"China (CN)";19;15,83;0,09;0,15;25,13;"EVs & Charging Infrastructure"
"430629";"Noord-Brabant (NL41)";"China (CN)";41;17,98;0,04;0,09;42,46;"Battery"
"471528";"Noord-Brabant (NL41)";"China (CN)";72;11,98;0,14;0,29;24,48;"Semiconductors/Chips"
"704318";"Noord-Brabant (NL41)";"China (CN)";41;10,9;0,05;0,11;26,04;"Biomaterials"
"345629";"Noord-Brabant (NL41)";"China (CN)";46;20,81;0,07;0,15;42,46;"Hydrogen Fuel Cells"
"297830";"Noord-Brabant (NL41)";"China (CN)";10;8,85;0,03;0,1;26,05;"Heat Pumps"
"379527";"Noord-Brabant (NL41)";"China (CN)";37;19,58;0,08;0,12;28,79;"Mobile Networks (5G/6G)"
"228230";"Noord-Brabant (NL41)";"China (CN)";2;12,5;0,02;0,05;33,92;"Satellite Connectivity"
"452420";"Noord-Brabant (NL41)";"China (CN)";6;6,12;0,04;0,14;21,74;"High-Performance Computing (HPC)"
"2131112";"Noord-Brabant (NL41)";"China (CN)";127;18,93;0,03;0,03;18,88;"Other"
"451917";"Noord-Brabant (NL41)";"China (CN)";5;2,58;0,01;0,09;23,26;"Cybersecurity Technologies"
"292519";"Noord-Brabant (NL41)";"China (CN)";8;4,04;0,07;0,31;17,08;"Software Engineering & System Development"
"838951";"Noord-Brabant (NL41)";"China (CN)";82;13,9;0,03;0,09;36,18;"Computer Vision, Language Processing & Object Recognition"
"678213";"Noord-Brabant (NL41)";"China (CN)";31;14,62;0,05;0,08;24,08;"Green Consumer Goods"
"640612";"Noord-Brabant (NL41)";"China (CN)";30;22,73;0,07;0,08;23,53;"Recycling"
"552811";"Noord-Brabant (NL41)";"China (CN)";79;12,6;0,07;0,17;32,76;"Robotics"
"1141112";"Noord-Brabant (NL41)";"China (CN)";95;4,07;0,04;0,17;18,93;"Artificial Intelligence"
