"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1889327";"Severoiztochen (BG33)";"United States (US)";1;4,55;0,02;0,02;4,71;"Internet of Things (IoT)"
"2250818";"Severoiztochen (BG33)";"United States (US)";1;50;0,01;0;15,64;"Nuclear Energy"
"1848922";"Severoiztochen (BG33)";"United States (US)";2;10,53;0,03;0,02;8,08;"Cloud Computing & Edge Computing"
"40078";"Severoiztochen (BG33)";"United States (US)";2;9,52;0,02;0,01;5,55;"Waste Management"
"3721112";"Severoiztochen (BG33)";"United States (US)";1;9,09;0;0;6,9;"Biomaterials"
"2481510";"Severoiztochen (BG33)";"United States (US)";1;11,11;0,01;0,01;17,7;"High-Performance Computing (HPC)"
"117751";"Severoiztochen (BG33)";"United States (US)";20;8,2;0;0,01;19,15;"Other"
"262986";"Severoiztochen (BG33)";"United States (US)";1;3,33;0;0,01;11,89;"Cybersecurity Technologies"
"162006";"Severoiztochen (BG33)";"United States (US)";1;9,09;0,01;0,02;14,5;"Software Engineering & System Development"
"462742";"Severoiztochen (BG33)";"United States (US)";1;2,7;0;0,01;10,79;"Computer Vision, Language Processing & Object Recognition"
"380643";"Severoiztochen (BG33)";"United States (US)";1;9,09;0,01;0;5,19;"Green Consumer Goods"
"637431";"Severoiztochen (BG33)";"United States (US)";20;11,56;0,01;0,01;13,34;"Artificial Intelligence"
