"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1328";"South Sudan (SS)";"China (CN)";1;25;0,01;0,02;40,87;"Drones"
"518556";"South Sudan (SS)";"China (CN)";4;40;0,02;0,01;26,86;"Pollution Control"
"3029108";"South Sudan (SS)";"China (CN)";4;23,53;0,03;0,03;22,11;"Sustainable Agriculture"
"3194107";"South Sudan (SS)";"China (CN)";6;60;0,04;0,02;21,49;"Biomass Energy"
"3630101";"South Sudan (SS)";"China (CN)";7;21,88;0,03;0,03;21,82;"Internet of Things (IoT)"
"981157";"South Sudan (SS)";"China (CN)";4;100;0,05;0,02;39,44;"Hydroelectric Power"
"402978";"South Sudan (SS)";"China (CN)";12;57,14;0,04;0,02;36,46;"Water Management"
"395470";"South Sudan (SS)";"China (CN)";3;60;0,02;0,01;21,43;"Nuclear Energy"
"402469";"South Sudan (SS)";"China (CN)";6;30;0,02;0,02;23,25;"Solar Energy"
"3451103";"South Sudan (SS)";"China (CN)";5;17,86;0,03;0,03;21,85;"Cloud Computing & Edge Computing"
"761433";"South Sudan (SS)";"China (CN)";11;42,31;0,03;0,02;20,73;"Waste Management"
"2260107";"South Sudan (SS)";"China (CN)";11;84,62;0,03;0,01;43,6;"Generative AI"
"289380";"South Sudan (SS)";"China (CN)";3;20;0,02;0,01;12,8;"Blockchain Technologies"
"343280";"South Sudan (SS)";"China (CN)";3;21,43;0,01;0,02;32,36;"Energy Efficiency"
"335870";"South Sudan (SS)";"China (CN)";2;16,67;0;0,01;31,98;"Smart Grid"
"402048";"South Sudan (SS)";"China (CN)";11;42,31;0,06;0,03;21,04;"Biofuels"
"811425";"South Sudan (SS)";"China (CN)";18;40;0,03;0,01;19,34;"Quantum Technologies"
"2414100";"South Sudan (SS)";"China (CN)";1;10;0,01;0,04;24,78;"Geothermal Energy"
"946223";"South Sudan (SS)";"China (CN)";22;43,14;0,02;0,02;27,65;"Environmental Engineering"
"323347";"South Sudan (SS)";"China (CN)";1;16,67;0;0,01;25,13;"EVs & Charging Infrastructure"
"402936";"South Sudan (SS)";"China (CN)";8;34,78;0,01;0,01;42,46;"Battery"
"479228";"South Sudan (SS)";"China (CN)";10;27,78;0,02;0,02;24,48;"Semiconductors/Chips"
"692925";"South Sudan (SS)";"China (CN)";22;33,85;0,03;0,02;26,04;"Biomaterials"
"340236";"South Sudan (SS)";"China (CN)";8;61,54;0,01;0,01;42,46;"Hydrogen Fuel Cells"
"288730";"South Sudan (SS)";"China (CN)";6;42,86;0,02;0,01;26,05;"Heat Pumps"
"381135";"South Sudan (SS)";"China (CN)";7;22,58;0,01;0,02;28,79;"Mobile Networks (5G/6G)"
"222930";"South Sudan (SS)";"China (CN)";2;18,18;0,02;0,03;33,92;"Satellite Connectivity"
"447820";"South Sudan (SS)";"China (CN)";4;30,77;0,03;0,02;21,74;"High-Performance Computing (HPC)"
"210837";"South Sudan (SS)";"China (CN)";150;32,82;0,03;0,02;18,88;"Other"
"464017";"South Sudan (SS)";"China (CN)";12;26,09;0,03;0,02;23,26;"Cybersecurity Technologies"
"290819";"South Sudan (SS)";"China (CN)";1;9,09;0,01;0,02;17,08;"Software Engineering & System Development"
"824951";"South Sudan (SS)";"China (CN)";55;49,55;0,02;0,02;36,18;"Computer Vision, Language Processing & Object Recognition"
"686313";"South Sudan (SS)";"China (CN)";20;38,46;0,03;0,02;24,08;"Green Consumer Goods"
"659812";"South Sudan (SS)";"China (CN)";12;57,14;0,03;0,01;23,53;"Recycling"
"546611";"South Sudan (SS)";"China (CN)";29;61,7;0,02;0,01;32,76;"Robotics"
"1153711";"South Sudan (SS)";"China (CN)";66;18,03;0,02;0,03;18,93;"Artificial Intelligence"
