"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1650931";"Sud-Vest Oltenia (RO41)";"United States (US)";1;25;0,02;0,01;7,7;"Sustainable Agriculture"
"2084422";"Sud-Vest Oltenia (RO41)";"United States (US)";2;50;0,04;0;6,37;"Water Management"
"2376914";"Sud-Vest Oltenia (RO41)";"United States (US)";1;4,55;0,01;0,02;6,77;"Green Building"
"2044121";"Sud-Vest Oltenia (RO41)";"United States (US)";1;50;0,02;0;6,84;"Biofuels"
"50863";"Sud-Vest Oltenia (RO41)";"United States (US)";2;6,06;0,01;0,01;10,35;"Environmental Engineering"
"1872714";"Sud-Vest Oltenia (RO41)";"United States (US)";1;5,56;0,02;0,02;7,17;"EVs & Charging Infrastructure"
"2598710";"Sud-Vest Oltenia (RO41)";"United States (US)";1;25;0;0;11,62;"Semiconductors/Chips"
"3742112";"Sud-Vest Oltenia (RO41)";"United States (US)";3;6;0,01;0,02;6,9;"Biomaterials"
"117689";"Sud-Vest Oltenia (RO41)";"United States (US)";12;5,5;0;0,01;19,15;"Other"
"465072";"Sud-Vest Oltenia (RO41)";"United States (US)";1;1,72;0;0,01;10,79;"Computer Vision, Language Processing & Object Recognition"
"316102";"Sud-Vest Oltenia (RO41)";"United States (US)";4;2,86;0,01;0,04;10,24;"Robotics"
"639721";"Sud-Vest Oltenia (RO41)";"United States (US)";10;4,76;0,01;0,01;13,34;"Artificial Intelligence"
