"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1219";"Thailand (TH)";"China (CN)";4;8,89;0,04;0,19;40,87;"Drones"
"541189";"Thailand (TH)";"China (CN)";59;9,04;0,3;0,9;26,86;"Pollution Control"
"2843120";"Thailand (TH)";"China (CN)";44;18,8;0,31;0,47;29;"Carbon Capture & Storage"
"3160108";"Thailand (TH)";"China (CN)";13;2,78;0,1;0,77;22,11;"Sustainable Agriculture"
"3134107";"Thailand (TH)";"China (CN)";64;7,53;0,47;1,34;21,49;"Biomass Energy"
"3542104";"Thailand (TH)";"China (CN)";22;4,1;0,08;0,45;21,82;"Internet of Things (IoT)"
"1056157";"Thailand (TH)";"China (CN)";1;1,16;0,01;0,46;39,44;"Hydroelectric Power"
"947156";"Thailand (TH)";"China (CN)";2;6,67;0,04;0,17;32,38;"Wind Energy"
"394678";"Thailand (TH)";"China (CN)";31;7,14;0,1;0,5;36,46;"Water Management"
"404270";"Thailand (TH)";"China (CN)";20;10,99;0,13;0,26;21,43;"Nuclear Energy"
"4031102";"Thailand (TH)";"China (CN)";50;11,04;0,19;0,4;23,25;"Solar Energy"
"3354100";"Thailand (TH)";"China (CN)";12;4,18;0,06;0,33;21,85;"Cloud Computing & Edge Computing"
"769233";"Thailand (TH)";"China (CN)";108;7,93;0,34;0,9;20,73;"Waste Management"
"2340106";"Thailand (TH)";"China (CN)";14;6,33;0,03;0,23;43,6;"Generative AI"
"2777103";"Thailand (TH)";"China (CN)";33;12,45;0,25;0,25;12,8;"Blockchain Technologies"
"361560";"Thailand (TH)";"China (CN)";37;9,95;0,14;0,46;32,36;"Energy Efficiency"
"329470";"Thailand (TH)";"China (CN)";28;5,05;0,07;0,42;31,98;"Smart Grid"
"457039";"Thailand (TH)";"China (CN)";48;10,04;0,25;0,46;18,28;"Green Building"
"399048";"Thailand (TH)";"China (CN)";91;7,18;0,53;1,55;21,04;"Biofuels"
"829625";"Thailand (TH)";"China (CN)";695;60,33;1,1;0,35;19,34;"Quantum Technologies"
"2301104";"Thailand (TH)";"China (CN)";4;5,06;0,06;0,29;24,78;"Geothermal Energy"
"947723";"Thailand (TH)";"China (CN)";174;13,03;0,19;0,4;27,65;"Environmental Engineering"
"321647";"Thailand (TH)";"China (CN)";35;7,58;0,17;0,57;25,13;"EVs & Charging Infrastructure"
"431629";"Thailand (TH)";"China (CN)";239;21,08;0,22;0,44;42,46;"Battery"
"460528";"Thailand (TH)";"China (CN)";24;6,37;0,05;0,18;24,48;"Semiconductors/Chips"
"687325";"Thailand (TH)";"China (CN)";191;5,45;0,22;1,05;26,04;"Biomaterials"
"342236";"Thailand (TH)";"China (CN)";102;22,92;0,17;0,31;42,46;"Hydrogen Fuel Cells"
"288030";"Thailand (TH)";"China (CN)";115;18,43;0,4;0,56;26,05;"Heat Pumps"
"384527";"Thailand (TH)";"China (CN)";28;6,9;0,06;0,25;28,79;"Mobile Networks (5G/6G)"
"239830";"Thailand (TH)";"China (CN)";6;8,7;0,06;0,22;33,92;"Satellite Connectivity"
"469220";"Thailand (TH)";"China (CN)";12;6,98;0,08;0,24;21,74;"High-Performance Computing (HPC)"
"210997";"Thailand (TH)";"China (CN)";1159;12,83;0,25;0,37;18,88;"Other"
"466817";"Thailand (TH)";"China (CN)";47;9,87;0,1;0,23;23,26;"Cybersecurity Technologies"
"292019";"Thailand (TH)";"China (CN)";4;2,74;0,04;0,23;17,08;"Software Engineering & System Development"
"824051";"Thailand (TH)";"China (CN)";168;8,26;0,07;0,3;36,18;"Computer Vision, Language Processing & Object Recognition"
"699013";"Thailand (TH)";"China (CN)";315;8,79;0,49;1,33;24,08;"Green Consumer Goods"
"653112";"Thailand (TH)";"China (CN)";159;8,51;0,4;1,1;23,53;"Recycling"
"552911";"Thailand (TH)";"China (CN)";63;7,65;0,05;0,23;32,76;"Robotics"
"1167811";"Thailand (TH)";"China (CN)";274;6,8;0,1;0,29;18,93;"Artificial Intelligence"
